"ple0022","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2011","no migration background","East Germany","3933","0.809057236079367","0.797928882603025","0.820185589555709","2"
"No","2011","no migration background","West Germany","10882","0.810558903511814","0.803886444253961","0.817231362769667","2"
"No","2011","direct migration background","West Germany","1567","0.816886502227277","0.799609286206247","0.834163718248307","2"
"No","2011","direct migration background","East Germany","77","0.777213234851127","0.69353720313064","0.860889266571613","2"
"No","2011","indirect migration background","West Germany","690","0.937678086396609","0.920423295867789","0.95493287692543","2"
"No","2011","indirect migration background","East Germany","41","0.957078553725285","0.897860681280009","1.01629642617056","2"
"Yes","2011","no migration background","West Germany","2367","0.189441096488186","0.182768637230333","0.196113555746039","1"
"Yes","2011","no migration background","East Germany","859","0.190942763920633","0.179814410444291","0.202071117396975","1"
"Yes","2011","direct migration background","West Germany","358","0.183113497772723","0.165836281751693","0.200390713793753","1"
"Yes","2011","direct migration background","East Germany","18","","","","1"
"Yes","2011","indirect migration background","West Germany","64","0.0623219136033906","0.0450671230745704","0.0795767041322108","1"
"Yes","2011","indirect migration background","East Germany","4","","","","1"
"No","2012","no migration background","West Germany","","","","","2"
"No","2012","no migration background","East Germany","","","","","2"
"No","2012","direct migration background","West Germany","","","","","2"
"No","2012","direct migration background","East Germany","","","","","2"
"No","2012","indirect migration background","West Germany","","","","","2"
"No","2012","indirect migration background","East Germany","","","","","2"
"Yes","2012","no migration background","West Germany","","","","","1"
"Yes","2012","no migration background","East Germany","","","","","1"
"Yes","2012","direct migration background","West Germany","","","","","1"
"Yes","2012","direct migration background","East Germany","","","","","1"
"Yes","2012","indirect migration background","West Germany","","","","","1"
"Yes","2012","indirect migration background","East Germany","","","","","1"
"No","2013","no migration background","West Germany","9971","0.80834882865184","0.801365380211788","0.815332277091891","2"
"No","2013","no migration background","East Germany","3568","0.807184328962177","0.795468805977231","0.818899851947123","2"
"No","2013","direct migration background","West Germany","1291","0.777416225315145","0.757128405480423","0.797704045149867","2"
"No","2013","direct migration background","East Germany","70","0.780268903159178","0.690096531406464","0.870441274911892","2"
"No","2013","indirect migration background","West Germany","616","0.917556444336985","0.896745988998276","0.938366899675694","2"
"No","2013","indirect migration background","East Germany","41","0.76160685677978","0.637111218325776","0.886102495233784","2"
"Yes","2013","no migration background","West Germany","2232","0.19165117134816","0.184667722908109","0.198634619788212","1"
"Yes","2013","no migration background","East Germany","788","0.192815671037823","0.181100148052877","0.204531194022769","1"
"Yes","2013","direct migration background","West Germany","324","0.222583774684855","0.202295954850134","0.242871594519577","1"
"Yes","2013","direct migration background","East Germany","11","","","","1"
"Yes","2013","indirect migration background","West Germany","55","0.0824435556630151","0.0616331003243061","0.103254011001724","1"
"Yes","2013","indirect migration background","East Germany","4","","","","1"
"No","2014","no migration background","West Germany","","","","","2"
"No","2014","no migration background","East Germany","","","","","2"
"No","2014","direct migration background","West Germany","","","","","2"
"No","2014","direct migration background","East Germany","","","","","2"
"No","2014","indirect migration background","West Germany","","","","","2"
"No","2014","indirect migration background","East Germany","","","","","2"
"Yes","2014","no migration background","West Germany","","","","","1"
"Yes","2014","no migration background","East Germany","","","","","1"
"Yes","2014","direct migration background","West Germany","","","","","1"
"Yes","2014","direct migration background","East Germany","","","","","1"
"Yes","2014","indirect migration background","West Germany","","","","","1"
"Yes","2014","indirect migration background","East Germany","","","","","1"
"No","2015","no migration background","West Germany","11897","0.81439154438631","0.808024372097675","0.820758716674945","2"
"No","2015","no migration background","East Germany","4019","0.812724782236051","0.80179346772259","0.823656096749513","2"
"No","2015","direct migration background","West Germany","3387","0.819269563030892","0.807383438793469","0.831155687268314","2"
"No","2015","direct migration background","East Germany","246","0.79342292325742","0.747224142020211","0.839621704494629","2"
"No","2015","indirect migration background","West Germany","1388","0.9236152810557","0.910306104910742","0.936924457200659","2"
"No","2015","indirect migration background","East Germany","95","0.944626277158255","0.900457909300337","0.988794645016173","2"
"Yes","2015","no migration background","West Germany","2426","0.18560845561369","0.179241283325055","0.191975627902325","1"
"Yes","2015","no migration background","East Germany","874","0.187275217763949","0.176343903250487","0.19820653227741","1"
"Yes","2015","direct migration background","West Germany","639","0.180730436969108","0.168844312731686","0.192616561206531","1"
"Yes","2015","direct migration background","East Germany","49","0.20657707674258","0.160378295505371","0.252775857979789","1"
"Yes","2015","indirect migration background","West Germany","142","0.0763847189442997","0.0630755427993413","0.0896938950892581","1"
"Yes","2015","indirect migration background","East Germany","8","","","","1"
"No","2016","no migration background","West Germany","","","","","2"
"No","2016","no migration background","East Germany","","","","","2"
"No","2016","direct migration background","West Germany","","","","","2"
"No","2016","direct migration background","East Germany","","","","","2"
"No","2016","indirect migration background","West Germany","","","","","2"
"No","2016","indirect migration background","East Germany","","","","","2"
"Yes","2016","no migration background","West Germany","","","","","1"
"Yes","2016","no migration background","East Germany","","","","","1"
"Yes","2016","direct migration background","West Germany","","","","","1"
"Yes","2016","direct migration background","East Germany","","","","","1"
"Yes","2016","indirect migration background","West Germany","","","","","1"
"Yes","2016","indirect migration background","East Germany","","","","","1"
"No","2017","no migration background","West Germany","12785","0.828532152717954","0.822535409354742","0.834528896081166","2"
"No","2017","no migration background","East Germany","4291","0.822275980651043","0.811849521653955","0.83270243964813","2"
"No","2017","direct migration background","West Germany","3674","0.833739153847662","0.822609684433861","0.844868623261464","2"
"No","2017","direct migration background","East Germany","312","0.872983994799295","0.839008383967612","0.906959605630978","2"
"No","2017","indirect migration background","West Germany","1456","0.910540798962973","0.896591021435901","0.924490576490045","2"
"No","2017","indirect migration background","East Germany","98","0.956548383841853","0.91791945722809","0.995177310455616","2"
"Yes","2017","no migration background","West Germany","2391","0.171467847282046","0.165471103918834","0.177464590645258","1"
"Yes","2017","no migration background","East Germany","873","0.177724019348957","0.16729756035187","0.188150478346045","1"
"Yes","2017","direct migration background","West Germany","625","0.166260846152338","0.155131376738536","0.17739031556614","1"
"Yes","2017","direct migration background","East Germany","57","0.127016005200705","0.0930403943690224","0.160991616032388","1"
"Yes","2017","indirect migration background","West Germany","152","0.0894592010370272","0.0755094235099551","0.103408978564099","1"
"Yes","2017","indirect migration background","East Germany","9","","","","1"
"No","2018","no migration background","West Germany","","","","","2"
"No","2018","no migration background","East Germany","","","","","2"
"No","2018","direct migration background","West Germany","","","","","2"
"No","2018","direct migration background","East Germany","","","","","2"
"No","2018","indirect migration background","West Germany","","","","","2"
"No","2018","indirect migration background","East Germany","","","","","2"
"Yes","2018","no migration background","West Germany","","","","","1"
"Yes","2018","no migration background","East Germany","","","","","1"
"Yes","2018","direct migration background","West Germany","","","","","1"
"Yes","2018","direct migration background","East Germany","","","","","1"
"Yes","2018","indirect migration background","West Germany","","","","","1"
"Yes","2018","indirect migration background","East Germany","","","","","1"
"No","2019","no migration background","West Germany","12692","0.824532056071831","0.818461399188331","0.83060271295533","2"
"No","2019","no migration background","East Germany","4289","0.814248484665022","0.803636173163712","0.824860796166332","2"
"No","2019","direct migration background","West Germany","3034","0.838262963466225","0.826176111480846","0.850349815451603","2"
"No","2019","direct migration background","East Germany","263","0.949195228936276","0.923964394186707","0.974426063685845","2"
"No","2019","indirect migration background","West Germany","1419","0.911582198486983","0.897547936031931","0.925616460942034","2"
"No","2019","indirect migration background","East Germany","121","0.96769099437774","0.937640444993708","0.997741543761773","2"
"Yes","2019","no migration background","West Germany","2389","0.175467943928169","0.16939728704467","0.181538600811669","1"
"Yes","2019","no migration background","East Germany","870","0.185751515334978","0.175139203833668","0.196363826836288","1"
"Yes","2019","direct migration background","West Germany","531","0.161737036533775","0.149650184548397","0.173823888519154","1"
"Yes","2019","direct migration background","East Germany","28","","","","1"
"Yes","2019","indirect migration background","East Germany","12","","","","1"
"Yes","2019","indirect migration background","West Germany","153","0.0884178015130175","0.0743835390579661","0.102452063968069","1"
