"ple0022","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2011","1-pers.-HH","Female","1555","0.741267974138131","0.722519532941427","0.760016415334834","2"
"No","2011","Couple + C. GT 16 ","Female","1323","0.883348685416119","0.867195201527832","0.899502169304406","2"
"No","2011","Couple + C. GT 16 ","Male","1456","0.865340667531018","0.849036867754681","0.881644467307355","2"
"No","2011","(Married) couple without C. ","Female","3142","0.756830913630485","0.743693141344296","0.769968685916674","2"
"No","2011","Couple + C. LE and GT 16","Male","555","0.880100417334618","0.854694012246499","0.905506822422736","2"
"No","2011","1-pers.-HH","Male","1238","0.849146790611879","0.830900292045199","0.867393289178559","2"
"No","2011","(Married) couple without C. ","Male","3228","0.797114993096303","0.784728177603029","0.809501808589576","2"
"No","2011","Couple + C. LE and GT 16","Female","540","0.888966824438205","0.86395295168507","0.913980697191341","2"
"No","2011","Single parent ","Male","298","0.918610273135109","0.889242134693151","0.947978411577067","2"
"No","2011","Single parent ","Female","710","0.831761205822011","0.806479143539145","0.857043268104878","2"
"No","2011","Couple + C. LE 16 ","Male","1350","0.904547950805856","0.889638140958524","0.919457760653189","2"
"No","2011","Couple + C. LE 16 ","Female","1468","0.900372815766849","0.885810799110247","0.914934832423451","2"
"Yes","2011","1-pers.-HH","Male","240","0.150853209388121","0.132606710821441","0.169099707954801","1"
"Yes","2011","1-pers.-HH","Female","541","0.258732025861869","0.239983584665166","0.277480467058573","1"
"Yes","2011","(Married) couple without C. ","Male","821","0.202885006903697","0.190498191410424","0.21527182239697","1"
"Yes","2011","(Married) couple without C. ","Female","954","0.243169086369515","0.230031314083326","0.256306858655704","1"
"Yes","2011","Single parent ","Male","35","0.0813897268648909","0.0520215884229327","0.110757865306849","1"
"Yes","2011","Single parent ","Female","131","0.168238794177989","0.142956731895122","0.193520856460855","1"
"Yes","2011","Couple + C. LE 16 ","Male","142","0.0954520491941435","0.0805422393468109","0.110361859041476","1"
"Yes","2011","Couple + C. LE 16 ","Female","157","0.099627184233151","0.0850651675765488","0.114189200889753","1"
"Yes","2011","Couple + C. GT 16 ","Male","228","0.134659332468982","0.118355532692645","0.150963132245319","1"
"Yes","2011","Couple + C. GT 16 ","Female","194","0.116651314583881","0.100497830695594","0.132804798472168","1"
"Yes","2011","Couple + C. LE and GT 16","Male","73","0.119899582665382","0.094493177577264","0.145305987753501","1"
"Yes","2011","Couple + C. LE and GT 16","Female","66","0.111033175561795","0.0860193028086594","0.13604704831493","1"
"No","2012","Couple + C. GT 16 ","Female","","","","","2"
"No","2012","Couple + C. GT 16 ","Male","","","","","2"
"No","2012","Couple + C. LE and GT 16","Male","","","","","2"
"No","2012","Couple + C. LE and GT 16","Female","","","","","2"
"No","2012","(Married) couple without C. ","Female","","","","","2"
"No","2012","1-pers.-HH","Female","","","","","2"
"No","2012","(Married) couple without C. ","Male","","","","","2"
"No","2012","1-pers.-HH","Male","","","","","2"
"No","2012","Single parent ","Male","","","","","2"
"No","2012","Single parent ","Female","","","","","2"
"No","2012","Couple + C. LE 16 ","Male","","","","","2"
"No","2012","Couple + C. LE 16 ","Female","","","","","2"
"Yes","2012","1-pers.-HH","Male","","","","","1"
"Yes","2012","1-pers.-HH","Female","","","","","1"
"Yes","2012","(Married) couple without C. ","Male","","","","","1"
"Yes","2012","(Married) couple without C. ","Female","","","","","1"
"Yes","2012","Single parent ","Male","","","","","1"
"Yes","2012","Single parent ","Female","","","","","1"
"Yes","2012","Couple + C. LE 16 ","Male","","","","","1"
"Yes","2012","Couple + C. LE 16 ","Female","","","","","1"
"Yes","2012","Couple + C. GT 16 ","Male","","","","","1"
"Yes","2012","Couple + C. GT 16 ","Female","","","","","1"
"Yes","2012","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","2012","Couple + C. LE and GT 16","Female","","","","","1"
"No","2013","Couple + C. LE and GT 16","Female","454","0.908134142383373","0.882740677384559","0.933527607382187","2"
"No","2013","Couple + C. GT 16 ","Male","1190","0.855446679705425","0.83694701461316","0.87394634479769","2"
"No","2013","Couple + C. GT 16 ","Female","1072","0.866815253672878","0.847949264260927","0.885681243084829","2"
"No","2013","Couple + C. LE and GT 16","Male","396","0.879077490682624","0.848784982012703","0.909369999352544","2"
"No","2013","1-pers.-HH","Male","1211","0.818492263976357","0.798639605592717","0.838344922359998","2"
"No","2013","1-pers.-HH","Female","1470","0.719931650268334","0.700374155315452","0.739489145221217","2"
"No","2013","(Married) couple without C. ","Female","3007","0.780018066448702","0.76694186091692","0.793094271980484","2"
"No","2013","(Married) couple without C. ","Male","3018","0.792429547190544","0.779534605299751","0.805324489081337","2"
"No","2013","Single parent ","Male","279","0.916825216770779","0.886281465057535","0.947368968484022","2"
"No","2013","Single parent ","Female","656","0.829743971708005","0.803731344992648","0.855756598423362","2"
"No","2013","Couple + C. LE 16 ","Male","1188","0.907094654907181","0.891434077166108","0.922755232648254","2"
"No","2013","Couple + C. LE 16 ","Female","1310","0.896186451972234","0.880503006148691","0.911869897795776","2"
"Yes","2013","Single parent ","Male","35","0.0831747832292212","0.0526310315159777","0.113718534942465","1"
"Yes","2013","Single parent ","Female","146","0.170256028291995","0.144243401576638","0.196268655007352","1"
"Yes","2013","Couple + C. LE 16 ","Male","132","0.0929053450928193","0.0772447673517461","0.108565922833892","1"
"Yes","2013","Couple + C. LE 16 ","Female","143","0.103813548027766","0.0881301022042241","0.119496993851309","1"
"Yes","2013","Couple + C. GT 16 ","Male","198","0.144553320294575","0.12605365520231","0.16305298538684","1"
"Yes","2013","Couple + C. GT 16 ","Female","174","0.133184746327122","0.114318756915171","0.152050735739073","1"
"Yes","2013","Couple + C. LE and GT 16","Male","49","0.120922509317376","0.0906300006474563","0.151215017987297","1"
"Yes","2013","Couple + C. LE and GT 16","Female","43","0.0918658576166272","0.0664723926178128","0.117259322615442","1"
"Yes","2013","1-pers.-HH","Male","237","0.181507736023643","0.161655077640002","0.201360394407283","1"
"Yes","2013","1-pers.-HH","Female","555","0.280068349731666","0.260510854778783","0.299625844684548","1"
"Yes","2013","(Married) couple without C. ","Male","782","0.207570452809456","0.194675510918663","0.220465394700249","1"
"Yes","2013","(Married) couple without C. ","Female","848","0.219981933551298","0.206905728019516","0.23305813908308","1"
"No","2014","1-pers.-HH","Male","","","","","2"
"No","2014","1-pers.-HH","Female","","","","","2"
"No","2014","Couple + C. GT 16 ","Male","","","","","2"
"No","2014","Couple + C. GT 16 ","Female","","","","","2"
"No","2014","Couple + C. LE and GT 16","Male","","","","","2"
"No","2014","Couple + C. LE and GT 16","Female","","","","","2"
"No","2014","(Married) couple without C. ","Male","","","","","2"
"No","2014","(Married) couple without C. ","Female","","","","","2"
"No","2014","Single parent ","Male","","","","","2"
