"year","pgisced97","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1984","general elemantary","Female","7.18","8","2286","7.09","7.27","4","6","9","10"
"1984","general elemantary","Male","7.08","8","1128","6.95","7.21","4","6","9","10"
"1984","higher education","Female","8.01","8","250","7.8","8.22","5","7","9","10"
"1984","higher education","Male","7.93","8","526","7.78","8.08","5","7","9","10"
"1984","higher vocational","Female","7.76","8","271","7.52","8","5","7","9","10"
"1984","higher vocational","Male","7.55","8","375","7.36","7.74","5","7","9","10"
"1984","in school","Female","7.9","8","89","7.51","8.29","5","7","9","10"
"1984","in school","Male","7.87","8","95","7.53","8.21","6","7","9","10"
"1984","inadequately","Female","6.87","7","587","6.68","7.06","4","5","9","10"
"1984","inadequately","Male","6.81","7","419","6.57","7.05","3","5","9","10"
"1984","middle vocational","Female","7.64","8","2513","7.56","7.72","5","7","9","10"
"1984","middle vocational","Male","7.42","8","3129","7.35","7.49","5","6","9","10"
"1984","vocational + Abi","Female","7.78","8","116","7.44","8.12","5","7","9","10"
"1984","vocational + Abi","Male","7.42","8","194","7.12","7.72","5","6","9","10"
"1985","general elemantary","Female","7.21","8","2009","7.12","7.3","5","6","9","10"
"1985","general elemantary","Male","7.1","8","1027","6.97","7.23","4","6","9","10"
"1985","higher education","Female","7.77","8","245","7.57","7.97","5","7","9","10"
"1985","higher education","Male","7.74","8","505","7.6","7.88","5","7","9","10"
"1985","higher vocational","Female","7.68","8","255","7.46","7.9","5","7","9","10"
"1985","higher vocational","Male","7.36","8","357","7.17","7.55","5","7","8","9"
"1985","in school","Female","7.58","8","72","7.12","8.04","5","7","9","9"
"1985","in school","Male","7.79","8","112","7.49","8.09","5","7","9","10"
"1985","inadequately","Female","7","7","478","6.81","7.19","4","5","9","10"
"1985","inadequately","Male","7.13","8","352","6.9","7.36","4","6","9","10"
"1985","middle vocational","Female","7.46","8","2320","7.38","7.54","5","6","9","10"
"1985","middle vocational","Male","7.29","8","2832","7.22","7.36","5","6","9","10"
"1985","vocational + Abi","Female","7.72","8","105","7.37","8.07","5","7","9","10"
"1985","vocational + Abi","Male","7.42","8","171","7.14","7.7","5","7","8","10"
"1986","general elemantary","Female","7.39","8","1883","7.3","7.48","5","6","9","10"
"1986","general elemantary","Male","7.38","8","1002","7.26","7.5","5","6","9","10"
"1986","higher education","Female","8.08","8","240","7.89","8.27","6","7","9","10"
"1986","higher education","Male","7.83","8","505","7.7","7.96","6","7","9","10"
"1986","higher vocational","Female","7.48","8","248","7.25","7.71","5","6","9","10"
"1986","higher vocational","Male","7.45","8","331","7.25","7.65","5","7","9","10"
"1986","in school","Female","7.86","8","73","7.52","8.2","6","7","9","10"
"1986","in school","Male","8","8","115","7.71","8.29","6","8","9","10"
"1986","inadequately","Female","7.05","7","453","6.87","7.23","4","6","9","10"
