"year","bula_h","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","Baden-Württemberg","college entrance qualification","7.84","8","190","5","7","9","10","7.59","8.09","8","8"
"1984","Baden-Württemberg","lower secondary degree","7.34","8","1047","5","6","9","10","7.21","7.47","8","8"
"1984","Baden-Württemberg","no degree/no degree yet","7.69","8","342","5","7","9","10","7.45","7.93","8","8"
"1984","Baden-Württemberg","Other degree","7.6","8","348","4","6","10","10","7.38","7.82","8","8"
"1984","Baden-Württemberg","secondary school degree","7.87","8","287","5","7","9","10","7.65","8.09","8","8"
"1984","Bavaria","college entrance qualification","7.84","8","232","5","7","9","10","7.59","8.09","8","8"
"1984","Bavaria","lower secondary degree","7.17","8","1094","4","6","9","10","7.04","7.3","7","8"
"1984","Bavaria","no degree/no degree yet","7.16","7","132","5","6","9","10","6.79","7.53","7","8"
"1984","Bavaria","Other degree","7.16","8","225","5","6","9","10","6.88","7.44","7","8"
"1984","Bavaria","secondary school degree","7.77","8","375","5","7","9","10","7.58","7.96","8","8"
"1984","Berlin","college entrance qualification","7.21","7.02","55","5","6","9","10","6.72","7.7","7","8"
"1984","Berlin","lower secondary degree","7.32","8","166","4","6","10","10","6.96","7.68","7","8"
"1984","Berlin","no degree/no degree yet","6.99","7","47","4","6","8","10","6.36","7.62","6","8"
"1984","Berlin","Other degree","6.94","7","49","3","6","9","10","6.12","7.76","6","8"
"1984","Berlin","secondary school degree","7.81","8","80","6","7","9","10","7.38","8.24","8","8"
"1984","Brandenburg","college entrance qualification","","","","","","","","","","",""
"1984","Brandenburg","lower secondary degree","","","","","","","","","","",""
"1984","Brandenburg","no degree/no degree yet","","","","","","","","","","",""
"1984","Brandenburg","Other degree","","","","","","","","","","",""
"1984","Brandenburg","secondary school degree","","","","","","","","","","",""
"1984","Bremen","college entrance qualification","","","","","","","","","","",""
"1984","Bremen","lower secondary degree","7","7","72","3","5","9","10","6.37","7.63","7","8"
"1984","Bremen","no degree/no degree yet","","","","","","","","","","",""
"1984","Bremen","Other degree","","","","","","","","","","",""
"1984","Bremen","secondary school degree","","","","","","","","","","",""
"1984","Hamburg","college entrance qualification","7.26","7","40","5","7","9","9","6.63","7.89","7","8"
"1984","Hamburg","lower secondary degree","7.35","8","131","4","6","9","10","6.94","7.76","8","9"
"1984","Hamburg","no degree/no degree yet","","","","","","","","","","",""
"1984","Hamburg","Other degree","6.19","7","46","2","5","8","9","5.52","6.86","6","8"
"1984","Hamburg","secondary school degree","7.84","8","58","5","7","9","10","7.38","8.3","8","9"
"1984","Hesse","college entrance qualification","7.61","8","148","5","7","9","10","7.29","7.93","8","8"
"1984","Hesse","lower secondary degree","7.42","8","537","5","6","9","10","7.24","7.6","8","8"
"1984","Hesse","no degree/no degree yet","6.91","7.45","142","2","6","9","10","6.49","7.33","7","8"
"1984","Hesse","Other degree","7.49","8","201","4","6","10","10","7.18","7.8","8","9"
"1984","Hesse","secondary school degree","7.62","8","190","5","7","9","10","7.33","7.91","8","8"
"1984","Lower Saxony","college entrance qualification","7.82","8","124","6","7","9","10","7.5","8.14","8","8"
"1984","Lower Saxony","lower secondary degree","7.17","8","676","4","6","9","10","7","7.34","7","8"
"1984","Lower Saxony","no degree/no degree yet","6.96","7.42","95","4","5","9","10","6.52","7.4","6","8"
"1984","Lower Saxony","Other degree","6.07","6","87","1","5","8","9","5.6","6.54","6","8"
"1984","Lower Saxony","secondary school degree","7.69","8","233","5","7","9","10","7.45","7.93","8","8"
"1984","Mecklenburg-Western Pomerania","college entrance qualification","","","","","","","","","","",""
"1984","Mecklenburg-Western Pomerania","lower secondary degree","","","","","","","","","","",""
"1984","Mecklenburg-Western Pomerania","no degree/no degree yet","","","","","","","","","","",""
"1984","Mecklenburg-Western Pomerania","Other degree","","","","","","","","","","",""
"1984","Mecklenburg-Western Pomerania","secondary school degree","","","","","","","","","","",""
"1984","North Rhine-Westphalia","college entrance qualification","7.91","8","369","5","7","9","10","7.73","8.09","8","8"
"1984","North Rhine-Westphalia","lower secondary degree","7.32","8","1575","5","6","9","10","7.21","7.43","8","8"
"1984","North Rhine-Westphalia","no degree/no degree yet","7.43","8","400","4","6","9","10","7.2","7.66","7","8"
"1984","North Rhine-Westphalia","Other degree","7.44","8","378","5","6","9","10","7.22","7.66","8","8"
"1984","North Rhine-Westphalia","secondary school degree","7.88","8","479","5","7","9","10","7.72","8.04","8","8"
"1984","Rhineland-Palatinate,Saarland","college entrance qualification","8.27","8","62","7","8","9","10","7.86","8.68","8","9"
"1984","Rhineland-Palatinate,Saarland","lower secondary degree","7.12","8","542","5","6","9","10","6.94","7.3","7","8"
"1984","Rhineland-Palatinate,Saarland","no degree/no degree yet","7.14","8","75","4","6","9","10","6.59","7.69","7","8"
"1984","Rhineland-Palatinate,Saarland","Other degree","7.44","8","52","3","6","10","10","6.75","8.13","8","10"
"1984","Rhineland-Palatinate,Saarland","secondary school degree","8.1","8","110","6","7","9","10","7.82","8.38","8","9"
"1984","Saxony","college entrance qualification","","","","","","","","","","",""
"1984","Saxony","lower secondary degree","","","","","","","","","","",""
"1984","Saxony","no degree/no degree yet","","","","","","","","","","",""
"1984","Saxony","Other degree","","","","","","","","","","",""
"1984","Saxony","secondary school degree","","","","","","","","","","",""
"1984","Saxony-Anhalt","college entrance qualification","","","","","","","","","","",""
"1984","Saxony-Anhalt","lower secondary degree","","","","","","","","","","",""
"1984","Saxony-Anhalt","no degree/no degree yet","","","","","","","","","","",""
"1984","Saxony-Anhalt","Other degree","","","","","","","","","","",""
"1984","Saxony-Anhalt","secondary school degree","","","","","","","","","","",""
"1984","Schleswig-Holstein","college entrance qualification","8.14","8","40","7","7","9","10","7.76","8.52","8","9"
"1984","Schleswig-Holstein","lower secondary degree","7.68","8","207","5","6","10","10","7.4","7.96","8","8"
"1984","Schleswig-Holstein","no degree/no degree yet","","","","","","","","","","",""
"1984","Schleswig-Holstein","Other degree","","","","","","","","","","",""
"1984","Schleswig-Holstein","secondary school degree","8.15","8","92","6","7","10","10","7.82","8.48","8","9"
"1984","Thuringia","college entrance qualification","","","","","","","","","","",""
"1984","Thuringia","lower secondary degree","","","","","","","","","","",""
"1984","Thuringia","no degree/no degree yet","","","","","","","","","","",""
"1984","Thuringia","Other degree","","","","","","","","","","",""
"1984","Thuringia","secondary school degree","","","","","","","","","","",""
"1985","Baden-Württemberg","college entrance qualification","7.58","8","176","5","7","9","10","7.31","7.85","8","8"
"1985","Baden-Württemberg","lower secondary degree","7.35","8","939","5","6","9","10","7.22","7.48","8","8"
"1985","Baden-Württemberg","no degree/no degree yet","7.54","8","299","5","7","9","10","7.33","7.75","8","8"
"1985","Baden-Württemberg","Other degree","7.37","8","303","5","6","9","10","7.15","7.59","8","8"
"1985","Baden-Württemberg","secondary school degree","7.84","8","281","5","7","9","10","7.63","8.05","8","8"
"1985","Bavaria","college entrance qualification","7.67","8","217","6","7","9","10","7.45","7.89","8","8"
"1985","Bavaria","lower secondary degree","6.99","7","988","4","6","8","10","6.86","7.12","7","8"
"1985","Bavaria","no degree/no degree yet","7.46","8","104","5","6","9","10","7.08","7.84","7","8"
"1985","Bavaria","Other degree","7.11","8","199","4","6","9","10","6.8","7.42","7","8"
"1985","Bavaria","secondary school degree","7.56","8","364","5","7","9","10","7.39","7.73","8","8"
