"year","education","pgisced97","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1984","college entrance qualification","general elemantary","","","","","","","","",""
"1984","college entrance qualification","higher education","8.01","8","625","7.88","8.14","5","7","9","10"
"1984","college entrance qualification","higher vocational","7.67","8","137","7.33","8.01","5","7","10","10"
"1984","college entrance qualification","in school","","","","","","","","",""
"1984","college entrance qualification","inadequately","","","","","","","","",""
"1984","college entrance qualification","middle vocational","7.52","8","305","7.3","7.74","5","7","9","10"
"1984","college entrance qualification","vocational + Abi","7.62","8","201","7.35","7.89","5","7","9","10"
"1984","lower secondary degree","general elemantary","7.05","7","2233","6.96","7.14","4","5","9","10"
"1984","lower secondary degree","higher education","","","","","","","","",""
"1984","lower secondary degree","higher vocational","7.56","8","292","7.34","7.78","5","7","9","10"
"1984","lower secondary degree","in school","","","","","","","","",""
"1984","lower secondary degree","inadequately","","","","","","","","",""
"1984","lower secondary degree","middle vocational","7.4","8","3491","7.33","7.47","5","6","9","10"
"1984","lower secondary degree","vocational + Abi","","","","","","","","",""
"1984","no degree/no degree yet","general elemantary","","","","","","","","",""
"1984","no degree/no degree yet","higher education","","","","","","","","",""
"1984","no degree/no degree yet","higher vocational","","","","","","","","",""
"1984","no degree/no degree yet","in school","7.89","8","184","7.63","8.15","5","7","9","10"
"1984","no degree/no degree yet","inadequately","6.86","7","984","6.71","7.01","4","5","9","10"
"1984","no degree/no degree yet","middle vocational","7.41","8","114","7","7.82","4","5","10","10"
"1984","no degree/no degree yet","vocational + Abi","","","","","","","","",""
"1984","Other degree","general elemantary","7.36","8","712","7.19","7.53","4","6","9","10"
"1984","Other degree","higher education","7.54","7.96","58","7.01","8.07","5","6","9","10"
"1984","Other degree","higher vocational","","","","","","","","",""
"1984","Other degree","in school","","","","","","","","",""
"1984","Other degree","inadequately","","","","","","","","",""
"1984","Other degree","middle vocational","7.25","8","525","7.06","7.44","4","6","9","10"
"1984","Other degree","vocational + Abi","6.97","7","101","6.53","7.41","4","5","8","10"
"1984","secondary school degree","general elemantary","7.63","8","469","7.45","7.81","5","7","9","10"
"1984","secondary school degree","higher education","7.9","8","67","7.48","8.32","5","7","9","10"
"1984","secondary school degree","higher vocational","7.75","8","205","7.5","8","5","7","9","10"
"1984","secondary school degree","in school","","","","","","","","",""
"1984","secondary school degree","inadequately","","","","","","","","",""
"1984","secondary school degree","middle vocational","7.91","8","1184","7.81","8.01","5","7","9","10"
"1984","secondary school degree","vocational + Abi","","","","","","","","",""
"1985","college entrance qualification","general elemantary","","","","","","","","",""
"1985","college entrance qualification","higher education","7.74","8","609","7.61","7.87","5","7","9","10"
"1985","college entrance qualification","higher vocational","7.47","8","129","7.18","7.76","5","7","8","9"
"1985","college entrance qualification","in school","","","","","","","","",""
"1985","college entrance qualification","inadequately","","","","","","","","",""
"1985","college entrance qualification","middle vocational","7.64","8","293","7.45","7.83","5","7","9","10"
"1985","college entrance qualification","vocational + Abi","7.57","8","187","7.32","7.82","5","7","8","10"
"1985","lower secondary degree","general elemantary","7.11","8","1977","7.01","7.21","4","6","9","10"
"1985","lower secondary degree","higher education","","","","","","","","",""
"1985","lower secondary degree","higher vocational","7.39","8","274","7.16","7.62","5","7","9","10"
"1985","lower secondary degree","in school","","","","","","","","",""
"1985","lower secondary degree","inadequately","","","","","","","","",""
"1985","lower secondary degree","middle vocational","7.25","8","3154","7.18","7.32","5","6","9","10"
"1985","lower secondary degree","vocational + Abi","","","","","","","","",""
"1985","no degree/no degree yet","general elemantary","","","","","","","","",""
"1985","no degree/no degree yet","higher education","","","","","","","","",""
"1985","no degree/no degree yet","higher vocational","","","","","","","","",""
"1985","no degree/no degree yet","in school","7.71","8","184","7.45","7.97","5","7","9","10"
"1985","no degree/no degree yet","inadequately","7.04","7","798","6.89","7.19","4","5","9","10"
"1985","no degree/no degree yet","middle vocational","7","7","90","6.62","7.38","4","6","9","9"
"1985","no degree/no degree yet","vocational + Abi","","","","","","","","",""
"1985","Other degree","general elemantary","7.04","7","591","6.86","7.22","4","6","9","10"
"1985","Other degree","higher education","7.52","8","54","7.13","7.91","6","7","8","9"
"1985","Other degree","higher vocational","","","","","","","","",""
"1985","Other degree","in school","","","","","","","","",""
"1985","Other degree","inadequately","","","","","","","","",""
"1985","Other degree","middle vocational","7.23","8","454","7.03","7.43","4","6","9","10"
"1985","Other degree","vocational + Abi","7.15","7.63","84","6.69","7.61","4","6","8","10"
"1985","secondary school degree","general elemantary","7.54","8","468","7.37","7.71","5","7","9","10"
"1985","secondary school degree","higher education","7.76","8","62","7.34","8.18","5","7","9","10"
"1985","secondary school degree","higher vocational","7.65","8","197","7.42","7.88","5","7","9","10"
"1985","secondary school degree","in school","","","","","","","","",""
"1985","secondary school degree","inadequately","","","","","","","","",""
"1985","secondary school degree","middle vocational","7.67","8","1135","7.57","7.77","5","7","9","10"
"1985","secondary school degree","vocational + Abi","","","","","","","","",""
"1986","college entrance qualification","general elemantary","","","","","","","","",""
"1986","college entrance qualification","higher education","7.89","8","606","7.77","8.01","6","7","9","10"
"1986","college entrance qualification","higher vocational","7.34","8","130","6.98","7.7","5","6","9","10"
"1986","college entrance qualification","in school","","","","","","","","",""
"1986","college entrance qualification","inadequately","","","","","","","","",""
"1986","college entrance qualification","middle vocational","7.71","8","321","7.54","7.88","5","7","9","9"
"1986","college entrance qualification","vocational + Abi","7.67","8","186","7.42","7.92","5","7","9","10"
"1986","lower secondary degree","general elemantary","7.34","8","1855","7.25","7.43","5","6","9","10"
"1986","lower secondary degree","higher education","","","","","","","","",""
"1986","lower secondary degree","higher vocational","7.47","8","259","7.25","7.69","5","6","9","10"
"1986","lower secondary degree","in school","","","","","","","","",""
"1986","lower secondary degree","inadequately","","","","","","","","",""
"1986","lower secondary degree","middle vocational","7.45","8","2988","7.38","7.52","5","6","9","10"
"1986","lower secondary degree","vocational + Abi","","","","","","","","",""
"1986","no degree/no degree yet","general elemantary","","","","","","","","",""
"1986","no degree/no degree yet","higher education","","","","","","","","",""
"1986","no degree/no degree yet","higher vocational","","","","","","","","",""
"1986","no degree/no degree yet","in school","7.94","8","188","7.72","8.16","6","7","9","10"
"1986","no degree/no degree yet","inadequately","6.91","7","745","6.76","7.06","4","5","9","10"
"1986","no degree/no degree yet","middle vocational","7.29","7.79","88","6.87","7.71","5","6","9","10"
"1986","no degree/no degree yet","vocational + Abi","","","","","","","","",""
"1986","Other degree","general elemantary","7.33","8","567","7.16","7.5","5","6","9","10"
"1986","Other degree","higher education","7.86","8","54","7.43","8.29","6","7","9","9"
"1986","Other degree","higher vocational","","","","","","","","",""
"1986","Other degree","in school","","","","","","","","",""
"1986","Other degree","inadequately","","","","","","","","",""
"1986","Other degree","middle vocational","7.39","8","417","7.21","7.57","5","6","9","10"
"1986","Other degree","vocational + Abi","7.12","8","79","6.59","7.65","5","6","9","10"
"1986","secondary school degree","general elemantary","7.61","8","463","7.45","7.77","5","7","9","10"
"1986","secondary school degree","higher education","8.09","8","61","7.73","8.45","7","7","9","10"
"1986","secondary school degree","higher vocational","7.54","8","179","7.3","7.78","5","7","9","9"
"1986","secondary school degree","in school","","","","","","","","",""
"1986","secondary school degree","inadequately","","","","","","","","",""
"1986","secondary school degree","middle vocational","7.71","8","1120","7.62","7.8","5","7","9","10"
"1986","secondary school degree","vocational + Abi","","","","","","","","",""
"1987","college entrance qualification","general elemantary","","","","","","","","",""
"1987","college entrance qualification","higher education","7.58","8","609","7.45","7.71","5","7","9","9"
"1987","college entrance qualification","higher vocational","7.12","7.56","122","6.76","7.48","4","7","8","9"
"1987","college entrance qualification","in school","","","","","","","","",""
"1987","college entrance qualification","inadequately","","","","","","","","",""
"1987","college entrance qualification","middle vocational","7.43","8","298","7.24","7.62","5","7","9","9"
"1987","college entrance qualification","vocational + Abi","7.55","8","186","7.3","7.8","5","7","9","10"
"1987","lower secondary degree","general elemantary","7.09","7","1824","7","7.18","5","6","8","10"
"1987","lower secondary degree","higher education","","","","","","","","",""
"1987","lower secondary degree","higher vocational","7.44","8","250","7.23","7.65","5","7","8","10"
"1987","lower secondary degree","in school","","","","","","","","",""
"1987","lower secondary degree","inadequately","","","","","","","","",""
"1987","lower secondary degree","middle vocational","7.24","8","2971","7.17","7.31","5","6","8","10"
"1987","lower secondary degree","vocational + Abi","","","","","","","","",""
"1987","no degree/no degree yet","general elemantary","","","","","","","","",""
"1987","no degree/no degree yet","higher education","","","","","","","","",""
"1987","no degree/no degree yet","higher vocational","","","","","","","","",""
"1987","no degree/no degree yet","in school","7.5","8","187","7.23","7.77","5","6","9","10"
"1987","no degree/no degree yet","inadequately","6.73","7","714","6.58","6.88","4","5","8","9"
"1987","no degree/no degree yet","middle vocational","7.39","8","88","6.96","7.82","4","7","9","9"
"1987","no degree/no degree yet","vocational + Abi","","","","","","","","",""
"1987","Other degree","general elemantary","7.26","8","559","7.11","7.41","5","6","8","10"
"1987","Other degree","higher education","7.28","7","45","6.75","7.81","5","7","8","9"
"1987","Other degree","higher vocational","","","","","","","","",""
"1987","Other degree","in school","","","","","","","","",""
"1987","Other degree","inadequately","7.07","7","30","6.34","7.8","5","6","9","10"
"1987","Other degree","middle vocational","7.26","8","414","7.08","7.44","5","6","9","10"
"1987","Other degree","vocational + Abi","7.38","8","75","6.98","7.78","5","6","8","9"
"1987","secondary school degree","general elemantary","7.3","8","424","7.13","7.47","5","6","8","9"
"1987","secondary school degree","higher education","7.39","8","62","6.96","7.82","5","6","9","9"
"1987","secondary school degree","higher vocational","7.57","8","180","7.35","7.79","5","7","9","9"
"1987","secondary school degree","in school","","","","","","","","",""
"1987","secondary school degree","inadequately","","","","","","","","",""
"1987","secondary school degree","middle vocational","7.45","8","1142","7.35","7.55","5","7","9","10"
"1987","secondary school degree","vocational + Abi","","","","","","","","",""
"1988","college entrance qualification","general elemantary","","","","","","","","",""
"1988","college entrance qualification","higher education","","","","","","","","",""
"1988","college entrance qualification","higher vocational","","","","","","","","",""
"1988","college entrance qualification","in school","","","","","","","","",""
"1988","college entrance qualification","inadequately","","","","","","","","",""
"1988","college entrance qualification","middle vocational","","","","","","","","",""
"1988","college entrance qualification","vocational + Abi","","","","","","","","",""
"1988","lower secondary degree","general elemantary","","","","","","","","",""
"1988","lower secondary degree","higher education","","","","","","","","",""
"1988","lower secondary degree","higher vocational","","","","","","","","",""
"1988","lower secondary degree","in school","","","","","","","","",""
"1988","lower secondary degree","inadequately","","","","","","","","",""
"1988","lower secondary degree","middle vocational","","","","","","","","",""
"1988","lower secondary degree","vocational + Abi","","","","","","","","",""
"1988","no degree/no degree yet","general elemantary","","","","","","","","",""
"1988","no degree/no degree yet","higher education","","","","","","","","",""
"1988","no degree/no degree yet","higher vocational","","","","","","","","",""
"1988","no degree/no degree yet","in school","","","","","","","","",""
"1988","no degree/no degree yet","inadequately","","","","","","","","",""
"1988","no degree/no degree yet","middle vocational","","","","","","","","",""
"1988","no degree/no degree yet","vocational + Abi","","","","","","","","",""
"1988","Other degree","general elemantary","","","","","","","","",""
"1988","Other degree","higher education","","","","","","","","",""
"1988","Other degree","higher vocational","","","","","","","","",""
"1988","Other degree","in school","","","","","","","","",""
"1988","Other degree","inadequately","","","","","","","","",""
"1988","Other degree","middle vocational","","","","","","","","",""
"1988","Other degree","vocational + Abi","","","","","","","","",""
"1988","secondary school degree","general elemantary","","","","","","","","",""
"1988","secondary school degree","higher education","","","","","","","","",""
"1988","secondary school degree","higher vocational","","","","","","","","",""
"1988","secondary school degree","in school","","","","","","","","",""
"1988","secondary school degree","inadequately","","","","","","","","",""
"1988","secondary school degree","middle vocational","","","","","","","","",""
"1988","secondary school degree","vocational + Abi","","","","","","","","",""
