"year","e11102","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Employed","(Married) couple without C.","7.79","8","1477","5","7","9","10","10","7.69","7.89","0","10","8","8"
"1984","Employed","1-pers.-HH","7.54","8","667","5","6","9","10","10","7.38","7.7","0","10","8","8"
"1984","Employed","Couple + C. GT 16 ","7.47","8","1278","5","6","9","10","10","7.36","7.58","0","10","8","8"
"1984","Employed","Couple + C. LE 16","7.73","8","2158","5","7","9","10","10","7.65","7.81","0","10","8","8"
"1984","Employed","Couple + C. LE and GT 16","7.44","8","1098","5","6","9","10","10","7.32","7.56","0","10","8","8"
"1984","Employed","Single parent","7.07","7","347","4","6","9","10","10","6.84","7.3","0","10","7","8"
"1984","Not Employed","(Married) couple without C.","7.39","8","1185","4","6","9","10","10","7.26","7.52","0","10","8","8"
"1984","Not Employed","1-pers.-HH","7.16","8","647","4","5","9","10","10","6.97","7.35","0","10","7","8"
"1984","Not Employed","Couple + C. GT 16 ","7.31","8","680","5","6","9","10","10","7.14","7.48","0","10","8","8"
"1984","Not Employed","Couple + C. LE 16","7.52","8","876","5","6","9","10","10","7.38","7.66","0","10","8","8"
"1984","Not Employed","Couple + C. LE and GT 16","7.42","8","596","5","6","9","10","10","7.25","7.59","0","10","8","8"
"1984","Not Employed","Single parent","6.9","7","227","4","5","9","9","10","6.6","7.2","0","10","7","8"
"1985","Employed","(Married) couple without C.","7.66","8","1332","5","7","9","10","10","7.56","7.76","0","10","8","8"
"1985","Employed","1-pers.-HH","7.45","8","601","5","6","9","10","10","7.3","7.6","0","10","8","8"
"1985","Employed","Couple + C. GT 16 ","7.37","8","1320","5","6","9","10","10","7.27","7.47","0","10","8","8"
"1985","Employed","Couple + C. LE 16","7.54","8","1888","5","7","9","10","10","7.46","7.62","0","10","8","8"
"1985","Employed","Couple + C. LE and GT 16","7.41","8","951","5","7","9","10","10","7.29","7.53","0","10","8","8"
"1985","Employed","Single parent","7.02","7","327","4","5","9","10","10","6.78","7.26","0","10","7","8"
"1985","Not Employed","(Married) couple without C.","7.28","8","1080","4","6","9","10","10","7.14","7.42","0","10","8","8"
"1985","Not Employed","1-pers.-HH","7.07","8","553","4","6","9","10","10","6.88","7.26","0","10","7","8"
"1985","Not Employed","Couple + C. GT 16 ","7.32","8","686","5","6","9","10","10","7.16","7.48","0","10","8","8"
"1985","Not Employed","Couple + C. LE 16","7.48","8","767","5","6","9","10","10","7.34","7.62","0","10","8","8"
"1985","Not Employed","Couple + C. LE and GT 16","7.25","8","523","4","6","9","10","10","7.07","7.43","0","10","8","8"
"1985","Not Employed","Single parent","6.88","7","210","5","5","8","10","10","6.58","7.18","0","10","7","8"
"1986","Employed","(Married) couple without C.","7.7","8","1364","5","7","9","10","10","7.61","7.79","0","10","8","8"
"1986","Employed","1-pers.-HH","7.7","8","574","5","7","9","10","10","7.55","7.85","0","10","8","8"
"1986","Employed","Couple + C. GT 16 ","7.48","8","1400","5","7","9","9","10","7.39","7.57","0","10","8","8"
"1986","Employed","Couple + C. LE 16","7.64","8","1717","5","7","9","10","10","7.56","7.72","0","10","8","8"
"1986","Employed","Couple + C. LE and GT 16","7.39","8","894","5","6","9","10","10","7.27","7.51","0","10","8","8"
"1986","Employed","Single parent","7.33","8","312","5","6","9","9","10","7.12","7.54","0","10","8","8"
"1986","Not Employed","(Married) couple without C.","7.41","8","1002","5","6","9","10","10","7.28","7.54","0","10","8","8"
"1986","Not Employed","1-pers.-HH","7.47","8","532","5","6","9","10","10","7.29","7.65","0","10","8","8"
"1986","Not Employed","Couple + C. GT 16 ","7.47","8","680","5","7","9","10","10","7.33","7.61","0","10","8","8"
"1986","Not Employed","Couple + C. LE 16","7.65","8","668","5","7","9","10","10","7.51","7.79","0","10","8","8"
"1986","Not Employed","Couple + C. LE and GT 16","7.48","8","496","5","7","9","10","10","7.32","7.64","0","10","8","8"
"1986","Not Employed","Single parent","7.11","8","194","4","6","8","10","10","6.82","7.4","1","10","7","8"
"1987","Employed","(Married) couple without C.","7.54","8","1354","5","7","9","10","10","7.45","7.63","0","10","8","8"
"1987","Employed","1-pers.-HH","7.24","8","573","5","6","8","10","10","7.09","7.39","0","10","7","8"
"1987","Employed","Couple + C. GT 16 ","7.25","8","1433","5","6","8","9","10","7.16","7.34","0","10","8","8"
"1987","Employed","Couple + C. LE 16","7.43","8","1714","5","7","9","9","10","7.35","7.51","0","10","8","8"
"1987","Employed","Couple + C. LE and GT 16","7.16","8","827","5","6","8","9","10","7.03","7.29","0","10","8","8"
"1987","Employed","Single parent","7","7","332","5","6","8","9","10","6.8","7.2","0","10","7","8"
"1987","Not Employed","(Married) couple without C.","7.38","8","986","5","6","9","10","10","7.26","7.5","0","10","8","8"
"1987","Not Employed","1-pers.-HH","7.03","7.33","523","5","6","8","10","10","6.84","7.22","0","10","7","8"
"1987","Not Employed","Couple + C. GT 16 ","7.28","8","691","5","6","9","10","10","7.14","7.42","0","10","8","8"
"1987","Not Employed","Couple + C. LE 16","7.26","8","633","5","6","8","9","10","7.11","7.41","0","10","8","8"
"1987","Not Employed","Couple + C. LE and GT 16","7.3","8","415","5","6","8","9","10","7.11","7.49","0","10","8","8"
"1987","Not Employed","Single parent","7.25","7","187","5","6","9","10","10","6.97","7.53","0","10","7","8"
"1988","Employed","(Married) couple without C.","","","","","","","","","","","","","",""
"1988","Employed","1-pers.-HH","","","","","","","","","","","","","",""
"1988","Employed","Couple + C. GT 16 ","","","","","","","","","","","","","",""
