"year","pgisced97","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","general elemantary","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","general elemantary","Westdeutschland, alte Bundeslaender","7.16","8","3414","4","6","9","10","7.08","7.24","8","8"
"1984","higher education","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","higher education","Westdeutschland, alte Bundeslaender","7.96","8","776","5","7","9","10","7.84","8.08","8","8"
"1984","higher vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","higher vocational","Westdeutschland, alte Bundeslaender","7.64","8","646","5","7","9","10","7.49","7.79","8","8"
"1984","in school","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","in school","Westdeutschland, alte Bundeslaender","7.89","8","184","5","7","9","10","7.63","8.15","8","8"
"1984","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","inadequately","Westdeutschland, alte Bundeslaender","6.84","7","1006","4","5","9","10","6.69","6.99","7","8"
"1984","middle vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","middle vocational","Westdeutschland, alte Bundeslaender","7.52","8","5642","5","6","9","10","7.47","7.57","8","8"
"1984","vocational + Abi","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","vocational + Abi","Westdeutschland, alte Bundeslaender","7.56","8","310","5","7","9","10","7.33","7.79","8","8"
"1985","general elemantary","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1985","general elemantary","Westdeutschland, alte Bundeslaender","7.18","8","3036","5","6","9","10","7.1","7.26","8","8"
"1985","higher education","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1985","higher education","Westdeutschland, alte Bundeslaender","7.75","8","750","5","7","9","10","7.63","7.87","8","8"
"1985","higher vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1985","higher vocational","Westdeutschland, alte Bundeslaender","7.49","8","612","5","7","9","10","7.35","7.63","8","8"
