"year","education","sampreg","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1984","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1984","college entrance qualification","Westdeutschland, alte Bundeslaender","7.79","8","1268","7.69","7.89","5","7","9","10"
"1984","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1984","lower secondary degree","Westdeutschland, alte Bundeslaender","7.28","8","6047","7.22","7.34","5","6","9","10"
"1984","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1984","no degree/no degree yet","Westdeutschland, alte Bundeslaender","7.31","8","1286","7.19","7.43","4","6","9","10"
"1984","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1984","Other degree","Westdeutschland, alte Bundeslaender","7.23","8","1425","7.11","7.35","4","6","9","10"
"1984","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1984","secondary school degree","Westdeutschland, alte Bundeslaender","7.83","8","1927","7.75","7.91","5","7","9","10"
"1985","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1985","college entrance qualification","Westdeutschland, alte Bundeslaender","7.66","8","1218","7.57","7.75","5","7","9","10"
"1985","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1985","lower secondary degree","Westdeutschland, alte Bundeslaender","7.21","8","5430","7.15","7.27","5","6","9","10"
"1985","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1985","no degree/no degree yet","Westdeutschland, alte Bundeslaender","7.34","8","1077","7.22","7.46","4","6","9","10"
"1985","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1985","Other degree","Westdeutschland, alte Bundeslaender","7.15","8","1219","7.03","7.27","4","6","9","10"
"1985","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1985","secondary school degree","Westdeutschland, alte Bundeslaender","7.64","8","1863","7.56","7.72","5","7","9","10"
"1986","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1986","college entrance qualification","Westdeutschland, alte Bundeslaender","7.75","8","1243","7.66","7.84","5","7","9","10"
"1986","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1986","lower secondary degree","Westdeutschland, alte Bundeslaender","7.41","8","5127","7.36","7.46","5","6","9","10"
"1986","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1986","no degree/no degree yet","Westdeutschland, alte Bundeslaender","7.35","8","1025","7.23","7.47","5","6","9","10"
"1986","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"1986","Other degree","Westdeutschland, alte Bundeslaender","7.36","8","1152","7.25","7.47","5","6","9","10"
"1986","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
