"year","bula_h","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","Baden-Württemberg","general elemantary","7.09","8","684","4","6","9","10","6.92","7.26","7","8"
"1984","Baden-Württemberg","higher education","8.06","8","124","6","7","9","10","7.75","8.37","8","9"
"1984","Baden-Württemberg","higher vocational","7.45","8","113","5","6","9","10","7.11","7.79","7","8"
"1984","Baden-Württemberg","in school","7.94","8","35","6","7","9","10","7.32","8.56","8","9"
"1984","Baden-Württemberg","inadequately","7.36","8","287","4","6","10","10","7.09","7.63","8","8"
"1984","Baden-Württemberg","middle vocational","7.74","8","929","5","7","9","10","7.61","7.87","8","8"
"1984","Baden-Württemberg","vocational + Abi","7.26","8","51","5","7","9","10","6.67","7.85","7","8"
"1984","Bavaria","general elemantary","7.08","7","580","4","6","9","10","6.9","7.26","7","8"
"1984","Bavaria","higher education","8.01","8","152","5","7","9","10","7.73","8.29","8","8"
"1984","Bavaria","higher vocational","7.44","8","126","5","7","9","10","7.06","7.82","8","8"
"1984","Bavaria","in school","","","","","","","","","","",""
"1984","Bavaria","inadequately","6.85","7","105","4","5","8","10","6.43","7.27","7","8"
"1984","Bavaria","middle vocational","7.43","8","1023","5","6","9","10","7.3","7.56","8","8"
"1984","Bavaria","vocational + Abi","7.29","8","55","5","5","9","10","6.78","7.8","7","8"
"1984","Berlin","general elemantary","6.77","7","94","3","5","9","10","6.23","7.31","6","8"
"1984","Berlin","higher education","7.36","8","37","5","7","9","9","6.75","7.97","7","8"
"1984","Berlin","higher vocational","","","","","","","","","","",""
"1984","Berlin","in school","","","","","","","","","","",""
"1984","Berlin","inadequately","6.34","6.69","38","2","5","8","10","5.64","7.04","5","7"
"1984","Berlin","middle vocational","7.71","8","182","5","6","9","10","7.41","8.01","8","8"
"1984","Berlin","vocational + Abi","","","","","","","","","","",""
"1984","Brandenburg","general elemantary","","","","","","","","","","",""
"1984","Brandenburg","higher education","","","","","","","","","","",""
"1984","Brandenburg","higher vocational","","","","","","","","","","",""
"1984","Brandenburg","in school","","","","","","","","","","",""
"1984","Brandenburg","inadequately","","","","","","","","","","",""
"1984","Brandenburg","middle vocational","","","","","","","","","","",""
"1984","Brandenburg","vocational + Abi","","","","","","","","","","",""
"1984","Bremen","general elemantary","7.29","7","41","4","6","9","10","6.54","8.04","6","8"
"1984","Bremen","higher education","","","","","","","","","","",""
"1984","Bremen","higher vocational","","","","","","","","","","",""
"1984","Bremen","in school","","","","","","","","","","",""
"1984","Bremen","inadequately","","","","","","","","","","",""
"1984","Bremen","middle vocational","6.72","7","73","3","5","9","10","6.05","7.39","6","8"
"1984","Bremen","vocational + Abi","","","","","","","","","","",""
"1984","Hamburg","general elemantary","7.14","8","65","3","6","8","10","6.59","7.69","7","8"
"1984","Hamburg","higher education","","","","","","","","","","",""
"1984","Hamburg","higher vocational","","","","","","","","","","",""
"1984","Hamburg","in school","","","","","","","","","","",""
"1984","Hamburg","inadequately","","","","","","","","","","",""
"1984","Hamburg","middle vocational","7.46","8","155","4","6","9","10","7.1","7.82","8","8"
"1984","Hamburg","vocational + Abi","","","","","","","","","","",""
"1984","Hesse","general elemantary","7.31","8","346","5","6","9","10","7.08","7.54","8","8"
"1984","Hesse","higher education","7.68","8","90","4","7","9","10","7.24","8.12","8","8"
"1984","Hesse","higher vocational","7.7","8","51","5","7","9","10","7.26","8.14","7","8"
"1984","Hesse","in school","","","","","","","","","","",""
"1984","Hesse","inadequately","6.6","7","105","2","5","9","10","6.09","7.11","7","8"
"1984","Hesse","middle vocational","7.5","8","581","5","6","9","10","7.33","7.67","8","8"
"1984","Hesse","vocational + Abi","8.1","8","36","6","8","9","10","7.59","8.61","8","9"
"1984","Lower Saxony","general elemantary","7.2","8","363","4","5","9","10","6.96","7.44","7","8"
"1984","Lower Saxony","higher education","8.03","8","77","6","8","9","10","7.64","8.42","8","9"
"1984","Lower Saxony","higher vocational","7.51","8","79","5","6","9","10","7.07","7.95","7","8"
"1984","Lower Saxony","in school","","","","","","","","","","",""
"1984","Lower Saxony","inadequately","5.75","5","65","1","5","8","9","5.18","6.32","5","8"
