"plh0110","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","Urban Area","West Germany","2150","0.397375757599813","0.38437547157314","0.410376043626486","2"
"Important","1990","Rural Area","West Germany","657","0.409622749920555","0.385698095551205","0.433547404289904","2"
"Important","1990","Urban Area","East Germany","","","","","2"
"Important","1990","Rural Area","East Germany","","","","","2"
"Less important","1990","Rural Area","East Germany","","","","","3"
"Less important","1990","Urban Area","West Germany","822","0.159071223323625","0.149354846676295","0.168787599970955","3"
"Less important","1990","Urban Area","East Germany","","","","","3"
"Less important","1990","Rural Area","West Germany","206","0.136252808663936","0.119562864378725","0.152942752949147","3"
"Quite unimportant","1990","Urban Area","West Germany","362","0.080875651555763","0.0736325436430741","0.088118759468452","4"
"Quite unimportant","1990","Urban Area","East Germany","","","","","4"
"Quite unimportant","1990","Rural Area","West Germany","89","0.0636800541462565","0.0518004305421766","0.0755596777503364","4"
"Quite unimportant","1990","Rural Area","East Germany","","","","","4"
"Very important","1990","Urban Area","West Germany","2109","0.362677367520799","0.349905076018017","0.37544965902358","1"
"Very important","1990","Urban Area","East Germany","","","","","1"
"Very important","1990","Rural Area","West Germany","671","0.390444387269253","0.366710160340137","0.414178614198368","1"
"Very important","1990","Rural Area","East Germany","","","","","1"
"Important","1991","Urban Area","West Germany","","","","","2"
"Important","1991","Urban Area","East Germany","","","","","2"
"Important","1991","Rural Area","West Germany","","","","","2"
"Important","1991","Rural Area","East Germany","","","","","2"
"Less important","1991","Urban Area","West Germany","","","","","3"
"Less important","1991","Rural Area","East Germany","","","","","3"
"Less important","1991","Urban Area","East Germany","","","","","3"
"Less important","1991","Rural Area","West Germany","","","","","3"
"Quite unimportant","1991","Urban Area","West Germany","","","","","4"
"Quite unimportant","1991","Urban Area","East Germany","","","","","4"
"Quite unimportant","1991","Rural Area","East Germany","","","","","4"
"Quite unimportant","1991","Rural Area","West Germany","","","","","4"
"Very important","1991","Urban Area","East Germany","","","","","1"
"Very important","1991","Urban Area","West Germany","","","","","1"
"Very important","1991","Rural Area","West Germany","","","","","1"
"Very important","1991","Rural Area","East Germany","","","","","1"
"Important","1992","Urban Area","West Germany","1930","0.374686803023346","0.361673742423219","0.387699863623472","2"
"Important","1992","Urban Area","East Germany","411","0.30586419131688","0.281473960745209","0.33025442188855","2"
"Important","1992","Rural Area","West Germany","616","0.385138935135425","0.361594351779778","0.408683518491072","2"
"Important","1992","Rural Area","East Germany","743","0.324804534195101","0.306245914814837","0.343363153575364","2"
"Less important","1992","Rural Area","East Germany","209","0.0931840097821948","0.0816640716492615","0.104703947915128","3"
"Less important","1992","Urban Area","West Germany","766","0.149438063741464","0.139853330190817","0.15902279729211","3"
"Less important","1992","Urban Area","East Germany","145","0.125487930680886","0.107952628824112","0.14302323253766","3"
"Less important","1992","Rural Area","West Germany","222","0.134426311550632","0.11792235905583","0.150930264045435","3"
"Quite unimportant","1992","Urban Area","West Germany","396","0.0894584774448522","0.0817856207781193","0.0971313341115851","4"
"Quite unimportant","1992","Urban Area","East Germany","91","0.0888213859015234","0.0737626022002958","0.103880169602751","4"
"Quite unimportant","1992","Rural Area","West Germany","84","0.0606651637820447","0.0491153840403621","0.0722149435237272","4"
"Quite unimportant","1992","Rural Area","East Germany","142","0.0785732968899589","0.0679100921053623","0.0892365016745555","4"
"Very important","1992","Urban Area","East Germany","724","0.47982649210071","0.453381369186695","0.506271615014726","1"
"Very important","1992","Urban Area","West Germany","2223","0.386416655790339","0.373326007447385","0.399507304133292","1"
"Very important","1992","Rural Area","West Germany","719","0.419769589531898","0.395891502529695","0.443647676534101","1"
"Very important","1992","Rural Area","East Germany","1352","0.503438159132746","0.48362381957432","0.523252498691172","1"
"Important","1993","Urban Area","West Germany","","","","","2"
"Important","1993","Urban Area","East Germany","","","","","2"
"Important","1993","Rural Area","West Germany","","","","","2"
"Important","1993","Rural Area","East Germany","","","","","2"
"Less important","1993","Rural Area","East Germany","","","","","3"
"Less important","1993","Urban Area","West Germany","","","","","3"
"Less important","1993","Urban Area","East Germany","","","","","3"
"Less important","1993","Rural Area","West Germany","","","","","3"
"Quite unimportant","1993","Urban Area","East Germany","","","","","4"
"Quite unimportant","1993","Urban Area","West Germany","","","","","4"
"Quite unimportant","1993","Rural Area","West Germany","","","","","4"
"Quite unimportant","1993","Rural Area","East Germany","","","","","4"
"Very important","1993","Rural Area","East Germany","","","","","1"
"Very important","1993","Urban Area","East Germany","","","","","1"
"Very important","1993","Urban Area","West Germany","","","","","1"
"Very important","1993","Rural Area","West Germany","","","","","1"
"Important","1994","Urban Area","East Germany","","","","","2"
"Important","1994","Urban Area","West Germany","","","","","2"
"Important","1994","Rural Area","West Germany","","","","","2"
"Important","1994","Rural Area","East Germany","","","","","2"
"Less important","1994","Urban Area","West Germany","","","","","3"
"Less important","1994","Urban Area","East Germany","","","","","3"
"Less important","1994","Rural Area","West Germany","","","","","3"
"Less important","1994","Rural Area","East Germany","","","","","3"
"Quite unimportant","1994","Urban Area","East Germany","","","","","4"
"Quite unimportant","1994","Urban Area","West Germany","","","","","4"
"Quite unimportant","1994","Rural Area","West Germany","","","","","4"
"Quite unimportant","1994","Rural Area","East Germany","","","","","4"
"Very important","1994","Rural Area","East Germany","","","","","1"
"Very important","1994","Urban Area","West Germany","","","","","1"
"Very important","1994","Urban Area","East Germany","","","","","1"
"Very important","1994","Rural Area","West Germany","","","","","1"
"Important","1995","Urban Area","East Germany","384","0.305183775620915","0.279635799907281","0.330731751334549","2"
"Important","1995","Rural Area","West Germany","603","0.359120176892884","0.336833449933102","0.381406903852665","2"
"Important","1995","Urban Area","West Germany","2000","0.355773005255052","0.343372814250781","0.368173196259324","2"
"Important","1995","Rural Area","East Germany","831","0.365513692958904","0.346174419026408","0.3848529668914","2"
"Less important","1995","Rural Area","West Germany","224","0.128994508263139","0.113422875706041","0.144566140820236","3"
"Less important","1995","Urban Area","East Germany","127","0.096479119707996","0.0800986420687197","0.112859597347272","3"
"Less important","1995","Rural Area","East Germany","240","0.101112262714873","0.0890053933881475","0.113219132041598","3"
"Less important","1995","Urban Area","West Germany","796","0.147581338047171","0.138394530563214","0.156768145531128","3"
"Quite unimportant","1995","Urban Area","East Germany","79","0.0811322249809529","0.0659839213332655","0.0962805286286403","4"
"Quite unimportant","1995","Urban Area","West Germany","375","0.0816351003290199","0.074543103662245","0.0887270969957948","4"
"Quite unimportant","1995","Rural Area","West Germany","99","0.059877435125205","0.0488553966503547","0.0708994736000552","4"
"Quite unimportant","1995","Rural Area","East Germany","116","0.063616366239936","0.0538149564080342","0.0734177760718377","4"
"Very important","1995","Rural Area","East Germany","1195","0.469757678086288","0.449715203096149","0.489800153076426","1"
"Very important","1995","Urban Area","West Germany","2555","0.415010556368757","0.402248342871077","0.427772769866437","1"
"Very important","1995","Urban Area","East Germany","658","0.517204879690136","0.489481029643001","0.54492872973727","1"
"Very important","1995","Rural Area","West Germany","854","0.452007879718773","0.428887325002448","0.475128434435097","1"
"Important","1996","Urban Area","East Germany","","","","","2"
"Important","1996","Urban Area","West Germany","","","","","2"
"Important","1996","Rural Area","West Germany","","","","","2"
"Important","1996","Rural Area","East Germany","","","","","2"
"Less important","1996","Rural Area","West Germany","","","","","3"
"Less important","1996","Urban Area","East Germany","","","","","3"
"Less important","1996","Rural Area","East Germany","","","","","3"
"Less important","1996","Urban Area","West Germany","","","","","3"
"Quite unimportant","1996","Urban Area","East Germany","","","","","4"
"Quite unimportant","1996","Urban Area","West Germany","","","","","4"
"Quite unimportant","1996","Rural Area","West Germany","","","","","4"
"Quite unimportant","1996","Rural Area","East Germany","","","","","4"
"Very important","1996","Rural Area","East Germany","","","","","1"
"Very important","1996","Urban Area","West Germany","","","","","1"
"Very important","1996","Urban Area","East Germany","","","","","1"
"Very important","1996","Rural Area","West Germany","","","","","1"
"Important","1997","Rural Area","West Germany","","","","","2"
"Important","1997","Urban Area","West Germany","","","","","2"
"Important","1997","Urban Area","East Germany","","","","","2"
"Important","1997","Rural Area","East Germany","","","","","2"
"Less important","1997","Rural Area","West Germany","","","","","3"
"Less important","1997","Urban Area","East Germany","","","","","3"
"Less important","1997","Rural Area","East Germany","","","","","3"
"Less important","1997","Urban Area","West Germany","","","","","3"
"Quite unimportant","1997","Urban Area","East Germany","","","","","4"
"Quite unimportant","1997","Urban Area","West Germany","","","","","4"
"Quite unimportant","1997","Rural Area","West Germany","","","","","4"
"Quite unimportant","1997","Rural Area","East Germany","","","","","4"
"Very important","1997","Rural Area","East Germany","","","","","1"
"Very important","1997","Urban Area","West Germany","","","","","1"
"Very important","1997","Urban Area","East Germany","","","","","1"
"Very important","1997","Rural Area","West Germany","","","","","1"
"Important","1998","Rural Area","West Germany","","","","","2"
"Important","1998","Urban Area","East Germany","","","","","2"
"Important","1998","Urban Area","West Germany","","","","","2"
"Important","1998","Rural Area","East Germany","","","","","2"
"Less important","1998","Urban Area","West Germany","","","","","3"
"Less important","1998","Rural Area","West Germany","","","","","3"
"Less important","1998","Urban Area","East Germany","","","","","3"
"Less important","1998","Rural Area","East Germany","","","","","3"
