"plh0110","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Full Time","in school","","","",""
"Very important","1990","Full Time","inadequately","9","","",""
"Very important","1990","Full Time","general elemantary","144","0.299798575297831","0.256841604367465","0.342755546228198"
"Very important","1990","Full Time","middle vocational","698","0.341790032460828","0.320485277522296","0.363094787399359"
"Very important","1990","Full Time","vocational + Abi","26","","",""
"Very important","1990","Full Time","higher vocational","113","0.382416650140494","0.325289589493956","0.439543710787033"
"Very important","1990","Full Time","higher education","157","0.369354543309633","0.322292392967228","0.416416693652038"
"Very important","1990","Part Time","in school","3","","",""
"Very important","1990","Part Time","inadequately","4","","",""
"Very important","1990","Part Time","general elemantary","134","0.37256293885011","0.32071162481778","0.42441425288244"
"Very important","1990","Part Time","middle vocational","307","0.418710658059362","0.382005969471733","0.455415346646991"
"Very important","1990","Part Time","vocational + Abi","18","","",""
"Very important","1990","Part Time","higher vocational","45","0.520956029831091","0.414125182860755","0.627786876801426"
"Very important","1990","Part Time","higher education","54","0.390459734842642","0.304936836244903","0.475982633440381"
"Very important","1990","Not Working","in school","17","","",""
"Very important","1990","Not Working","inadequately","13","","",""
"Very important","1990","Not Working","general elemantary","338","0.388901432314869","0.355914455529344","0.421888409100395"
"Very important","1990","Not Working","middle vocational","544","0.396377659242215","0.369304648245104","0.423450670239326"
"Very important","1990","Not Working","vocational + Abi","16","","",""
"Very important","1990","Not Working","higher vocational","70","0.50169895462841","0.417041893272815","0.586356015984004"
"Very important","1990","Not Working","higher education","48","0.360073553424283","0.274188397247009","0.445958709601557"
"Important","1990","Full Time","in school","","","",""
"Important","1990","Full Time","inadequately","7","","",""
"Important","1990","Full Time","general elemantary","181","0.42071064540216","0.374424938915111","0.466996351889208"
"Important","1990","Full Time","middle vocational","787","0.411044321056077","0.388943915054042","0.433144727058112"
"Important","1990","Full Time","vocational + Abi","36","0.350089022283124","0.256128228616759","0.444049815949488"
"Important","1990","Full Time","higher vocational","113","0.387868704947616","0.330590373958499","0.445147035936733"
"Important","1990","Full Time","higher education","157","0.389656156570305","0.342102330632064","0.437209982508545"
"Important","1990","Part Time","in school","4","","",""
"Important","1990","Part Time","inadequately","3","","",""
"Important","1990","Part Time","general elemantary","143","0.448096159481245","0.394763630680641","0.501428688281848"
"Important","1990","Part Time","middle vocational","261","0.383700796959033","0.347521467832098","0.419880126085968"
"Important","1990","Part Time","vocational + Abi","18","","",""
"Important","1990","Part Time","higher vocational","29","","",""
"Important","1990","Part Time","higher education","29","","",""
"Important","1990","Not Working","in school","31","0.316681686069179","0.221105345233354","0.412258026905004"
"Important","1990","Not Working","inadequately","11","","",""
"Important","1990","Not Working","general elemantary","349","0.41605640518381","0.382703884180603","0.449408926187017"
