"plh0110","year","bula_h","migback","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","Schleswig-Holstein","no migration background","82","0.334078142192305","0.274896250362396","0.393260034022214","2"
"Important","1990","Hamburg","no migration background","49","0.441201441153249","0.351989968154908","0.530412914151591","2"
"Important","1990","Hamburg","direct migration background","1","","","","2"
"Important","1990","Lower Saxony","direct migration background","14","","","","2"
"Important","1990","Schleswig-Holstein","direct migration background","2","","","","2"
"Important","1990","Hamburg","indirect migration background","","","","","2"
"Important","1990","Schleswig-Holstein","indirect migration background","","","","","2"
"Important","1990","Bremen","direct migration background","","","","","2"
"Important","1990","Lower Saxony","no migration background","296","0.382607870971858","0.348886584116398","0.416329157827318","2"
"Important","1990","Lower Saxony","indirect migration background","","","","","2"
"Important","1990","Bremen","indirect migration background","","","","","2"
"Important","1990","North Rhine-Westphalia","no migration background","711","0.394270701634391","0.371675792687144","0.416865610581639","2"
"Important","1990","Hesse","indirect migration background","1","","","","2"
"Important","1990","Rhineland-Palatinate,Saarland","no migration background","215","0.418346620475865","0.376586094830503","0.460107146121228","2"
"Important","1990","Rhineland-Palatinate,Saarland","indirect migration background","","","","","2"
"Important","1990","Saxony-Anhalt","indirect migration background","","","","","2"
"Important","1990","Bremen","no migration background","31","0.394405297625763","0.287311208568519","0.501499386683007","2"
"Important","1990","North Rhine-Westphalia","direct migration background","39","0.425241258282836","0.329299318462766","0.521183198102906","2"
"Important","1990","North Rhine-Westphalia","indirect migration background","3","","","","2"
"Important","1990","Hesse","no migration background","256","0.424774178159892","0.38518897113272","0.464359385187064","2"
"Important","1990","Hesse","direct migration background","27","","","","2"
"Important","1990","Thuringia","no migration background","","","","","2"
"Important","1990","Thuringia","direct migration background","","","","","2"
"Important","1990","Thuringia","indirect migration background","","","","","2"
"Important","1990","Rhineland-Palatinate,Saarland","direct migration background","5","","","","2"
"Important","1990","Baden-Württemberg","no migration background","396","0.379672228296968","0.349918754979501","0.409425701614435","2"
"Important","1990","Baden-Württemberg","direct migration background","42","0.41978499727311","0.329584879501777","0.509985115044444","2"
"Important","1990","Bavaria","direct migration background","29","","","","2"
"Important","1990","Bavaria","indirect migration background","5","","","","2"
"Important","1990","Mecklenburg-Western Pomerania","indirect migration background","","","","","2"
"Important","1990","Saxony","no migration background","","","","","2"
"Important","1990","Saxony","direct migration background","","","","","2"
"Important","1990","Saxony","indirect migration background","","","","","2"
"Important","1990","Saxony-Anhalt","no migration background","","","","","2"
"Important","1990","Saxony-Anhalt","direct migration background","","","","","2"
"Important","1990","Baden-Württemberg","indirect migration background","7","","","","2"
"Important","1990","Bavaria","no migration background","499","0.428560483541852","0.400167968829486","0.456952998254217","2"
"Important","1990","Berlin","indirect migration background","1","","","","2"
"Important","1990","Brandenburg","no migration background","","","","","2"
"Important","1990","Brandenburg","direct migration background","","","","","2"
"Important","1990","Brandenburg","indirect migration background","","","","","2"
"Important","1990","Mecklenburg-Western Pomerania","no migration background","","","","","2"
"Important","1990","Mecklenburg-Western Pomerania","direct migration background","","","","","2"
"Important","1990","Berlin","no migration background","89","0.412387509529658","0.346123391590955","0.47865162746836","2"
"Important","1990","Berlin","direct migration background","7","","","","2"
"Less important","1990","Schleswig-Holstein","indirect migration background","1","","","","3"
"Less important","1990","Lower Saxony","indirect migration background","","","","","3"
"Less important","1990","Hamburg","no migration background","22","","","","3"
"Less important","1990","Lower Saxony","direct migration background","7","","","","3"
"Less important","1990","Mecklenburg-Western Pomerania","indirect migration background","","","","","3"
"Less important","1990","Saxony","no migration background","","","","","3"
"Less important","1990","Saxony","direct migration background","","","","","3"
"Less important","1990","Schleswig-Holstein","no migration background","39","0.182274188972651","0.133832461927599","0.230715916017702","3"
"Less important","1990","Schleswig-Holstein","direct migration background","2","","","","3"
"Less important","1990","Saxony-Anhalt","indirect migration background","","","","","3"
"Less important","1990","Brandenburg","indirect migration background","","","","","3"
"Less important","1990","Lower Saxony","no migration background","107","0.131132445506591","0.107712897145342","0.154551993867839","3"
"Less important","1990","Thuringia","indirect migration background","","","","","3"
"Less important","1990","Bremen","no migration background","7","","","","3"
"Less important","1990","Saxony-Anhalt","direct migration background","","","","","3"
"Less important","1990","Hamburg","direct migration background","","","","","3"
"Less important","1990","Hamburg","indirect migration background","","","","","3"
"Less important","1990","Bremen","direct migration background","","","","","3"
"Less important","1990","Bremen","indirect migration background","","","","","3"
"Less important","1990","North Rhine-Westphalia","no migration background","278","0.165983011435307","0.148780441943892","0.183185580926722","3"
"Less important","1990","North Rhine-Westphalia","direct migration background","11","","","","3"
"Less important","1990","North Rhine-Westphalia","indirect migration background","4","","","","3"
"Less important","1990","Hesse","no migration background","105","0.174149199843389","0.143779100085923","0.204519299600855","3"
"Less important","1990","Bavaria","indirect migration background","1","","","","3"
"Less important","1990","Berlin","indirect migration background","1","","","","3"
"Less important","1990","Brandenburg","no migration background","","","","","3"
"Less important","1990","Brandenburg","direct migration background","","","","","3"
"Less important","1990","Mecklenburg-Western Pomerania","no migration background","","","","","3"
"Less important","1990","Mecklenburg-Western Pomerania","direct migration background","","","","","3"
"Less important","1990","Saxony-Anhalt","no migration background","","","","","3"
"Less important","1990","Thuringia","no migration background","","","","","3"
"Less important","1990","Thuringia","direct migration background","","","","","3"
"Less important","1990","Saxony","indirect migration background","","","","","3"
"Less important","1990","Hesse","direct migration background","9","","","","3"
"Less important","1990","Hesse","indirect migration background","1","","","","3"
"Less important","1990","Rhineland-Palatinate,Saarland","no migration background","65","0.143366469641427","0.113698554615475","0.173034384667379","3"
"Less important","1990","Rhineland-Palatinate,Saarland","direct migration background","3","","","","3"
"Less important","1990","Rhineland-Palatinate,Saarland","indirect migration background","1","","","","3"
"Less important","1990","Baden-Württemberg","indirect migration background","2","","","","3"
"Less important","1990","Bavaria","no migration background","162","0.146101769439732","0.125836916443593","0.166366622435871","3"
"Less important","1990","Bavaria","direct migration background","9","","","","3"
"Less important","1990","Berlin","no migration background","40","0.203835842385147","0.149608072066628","0.258063612703666","3"
"Less important","1990","Berlin","direct migration background","3","","","","3"
"Less important","1990","Baden-Württemberg","no migration background","138","0.142136996865781","0.12072854908143","0.163545444650133","3"
"Less important","1990","Baden-Württemberg","direct migration background","10","","","","3"
"Quite unimportant","1990","Schleswig-Holstein","indirect migration background","","","","","4"
"Quite unimportant","1990","Hamburg","indirect migration background","","","","","4"
"Quite unimportant","1990","Schleswig-Holstein","no migration background","13","","","","4"
"Quite unimportant","1990","Schleswig-Holstein","direct migration background","","","","","4"
"Quite unimportant","1990","Hamburg","no migration background","19","","","","4"
"Quite unimportant","1990","Hamburg","direct migration background","","","","","4"
"Quite unimportant","1990","Rhineland-Palatinate,Saarland","no migration background","35","0.0792300535676845","0.0563642620842693","0.1020958450511","4"
"Quite unimportant","1990","Hesse","no migration background","47","0.0996631721182065","0.0756745921388104","0.123651752097603","4"
"Quite unimportant","1990","Hesse","direct migration background","3","","","","4"
"Quite unimportant","1990","Hesse","indirect migration background","1","","","","4"
"Quite unimportant","1990","Rhineland-Palatinate,Saarland","indirect migration background","","","","","4"
"Quite unimportant","1990","Baden-Württemberg","no migration background","60","0.0748176176607875","0.0586874731652989","0.0909477621562761","4"
"Quite unimportant","1990","Baden-Württemberg","direct migration background","4","","","","4"
"Quite unimportant","1990","Baden-Württemberg","indirect migration background","1","","","","4"
"Quite unimportant","1990","Bavaria","no migration background","76","0.074694488038879","0.059611078775347","0.089777897302411","4"
"Quite unimportant","1990","Bavaria","direct migration background","5","","","","4"
"Quite unimportant","1990","Bavaria","indirect migration background","1","","","","4"
"Quite unimportant","1990","Berlin","no migration background","23","","","","4"
"Quite unimportant","1990","Brandenburg","no migration background","","","","","4"
"Quite unimportant","1990","Brandenburg","direct migration background","","","","","4"
"Quite unimportant","1990","Berlin","direct migration background","1","","","","4"
"Quite unimportant","1990","Berlin","indirect migration background","","","","","4"
"Quite unimportant","1990","Lower Saxony","no migration background","56","0.083768689098266","0.0645470654588209","0.102990312737711","4"
"Quite unimportant","1990","Lower Saxony","direct migration background","2","","","","4"
"Quite unimportant","1990","Lower Saxony","indirect migration background","2","","","","4"
"Quite unimportant","1990","Bremen","no migration background","11","","","","4"
"Quite unimportant","1990","Bremen","direct migration background","","","","","4"
"Quite unimportant","1990","Bremen","indirect migration background","","","","","4"
"Quite unimportant","1990","North Rhine-Westphalia","no migration background","82","0.0564356165292385","0.0457663034542199","0.0671049296042571","4"
"Quite unimportant","1990","North Rhine-Westphalia","direct migration background","5","","","","4"
"Quite unimportant","1990","North Rhine-Westphalia","indirect migration background","3","","","","4"
"Quite unimportant","1990","Rhineland-Palatinate,Saarland","direct migration background","1","","","","4"
"Quite unimportant","1990","Brandenburg","indirect migration background","","","","","4"
"Quite unimportant","1990","Mecklenburg-Western Pomerania","no migration background","","","","","4"
"Quite unimportant","1990","Mecklenburg-Western Pomerania","direct migration background","","","","","4"
"Quite unimportant","1990","Mecklenburg-Western Pomerania","indirect migration background","","","","","4"
"Quite unimportant","1990","Saxony","no migration background","","","","","4"
"Quite unimportant","1990","Saxony","direct migration background","","","","","4"
"Quite unimportant","1990","Saxony","indirect migration background","","","","","4"
"Quite unimportant","1990","Saxony-Anhalt","no migration background","","","","","4"
"Quite unimportant","1990","Saxony-Anhalt","direct migration background","","","","","4"
"Quite unimportant","1990","Saxony-Anhalt","indirect migration background","","","","","4"
"Quite unimportant","1990","Thuringia","no migration background","","","","","4"
"Quite unimportant","1990","Thuringia","direct migration background","","","","","4"
"Quite unimportant","1990","Thuringia","indirect migration background","","","","","4"
"Very important","1990","Schleswig-Holstein","no migration background","110","0.42585948284652","0.363816104586138","0.487902861106902","1"
"Very important","1990","Schleswig-Holstein","direct migration background","2","","","","1"
"Very important","1990","Schleswig-Holstein","indirect migration background","","","","","1"
