"plh0110","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Not Employed","Urban Area","808","0.385439779761772","0.363920521207425","0.406959038316118"
"Very important","1990","Not Employed","Rural Area","247","0.398310469863471","0.358774942882087","0.437845996844856"
"Very important","1990","Employed","Urban Area","1301","0.34786116903001","0.332032065902472","0.363690272157548"
"Very important","1990","Employed","Rural Area","424","0.384956677415518","0.355298353491759","0.414615001339276"
"Important","1990","Not Employed","Urban Area","781","0.40417945851602","0.382481860023112","0.425877057008928"
"Important","1990","Not Employed","Rural Area","235","0.408474311063715","0.368777134118086","0.448171488009344"
"Important","1990","Employed","Urban Area","1369","0.39294718552321","0.376715499553611","0.409178871492809"
"Important","1990","Employed","Rural Area","422","0.410423949139556","0.380441018095013","0.4404068801841"
"Less important","1990","Not Employed","Urban Area","224","0.115081163594393","0.10097137016341","0.129190957025376"
"Less important","1990","Not Employed","Rural Area","65","0.108868106192285","0.0837138331080436","0.134022379276526"
"Less important","1990","Employed","Urban Area","598","0.18770463219392","0.174727528178132","0.200681736209708"
"Less important","1990","Employed","Rural Area","141","0.155357528172695","0.13327796734565","0.17743708899974"
"Quite unimportant","1990","Not Employed","Urban Area","152","0.0952995981278153","0.0823169065509672","0.108282289704663"
"Quite unimportant","1990","Not Employed","Rural Area","42","0.0843471128805287","0.0619035919934855","0.106790633767572"
"Quite unimportant","1990","Employed","Urban Area","210","0.0714870132528602","0.0629247047875876","0.0800493217181327"
"Quite unimportant","1990","Employed","Rural Area","47","0.0492618452722311","0.036070969777692","0.0624527207667701"
"Very important","1991","Not Employed","Urban Area","","","",""
"Very important","1991","Not Employed","Rural Area","","","",""
"Very important","1991","Employed","Urban Area","","","",""
"Very important","1991","Employed","Rural Area","","","",""
"Important","1991","Not Employed","Urban Area","","","",""
"Important","1991","Not Employed","Rural Area","","","",""
"Important","1991","Employed","Urban Area","","","",""
"Important","1991","Employed","Rural Area","","","",""
"Less important","1991","Not Employed","Urban Area","","","",""
"Less important","1991","Not Employed","Rural Area","","","",""
"Less important","1991","Employed","Urban Area","","","",""
"Less important","1991","Employed","Rural Area","","","",""
"Quite unimportant","1991","Not Employed","Urban Area","","","",""
"Quite unimportant","1991","Not Employed","Rural Area","","","",""
"Quite unimportant","1991","Employed","Urban Area","","","",""
"Quite unimportant","1991","Employed","Rural Area","","","",""
"Very important","1992","Not Employed","Urban Area","931","0.37847569001621","0.358295860418","0.398655519614419"
"Very important","1992","Not Employed","Rural Area","533","0.41444564469493","0.386825249646536","0.442066039743324"
"Very important","1992","Employed","Urban Area","2016","0.409663413386547","0.395242141845455","0.42408468492764"
"Very important","1992","Employed","Rural Area","1538","0.476434936355681","0.458146654446387","0.494723218264975"
"Important","1992","Not Employed","Urban Area","831","0.395498043753087","0.375153850854144","0.41584223665203"
"Important","1992","Not Employed","Rural Area","442","0.381299857584771","0.354067457581194","0.408532257588348"
"Important","1992","Employed","Urban Area","1510","0.348152597163331","0.334182548974772","0.362122645351889"
"Important","1992","Employed","Rural Area","917","0.348725003515906","0.331274437254734","0.366175569777077"
"Less important","1992","Not Employed","Urban Area","232","0.10525003145122","0.0924817807030363","0.118018282199404"
"Less important","1992","Not Employed","Rural Area","115","0.0905205228563571","0.0744332485647464","0.106607797147968"
"Less important","1992","Employed","Urban Area","679","0.172541104761019","0.161460598167225","0.183621611354812"
"Less important","1992","Employed","Rural Area","316","0.133450180954213","0.120998094441999","0.145902267466427"
"Quite unimportant","1992","Not Employed","Urban Area","225","0.120776234779483","0.107217789512904","0.134334680046062"
"Quite unimportant","1992","Not Employed","Rural Area","132","0.113733974863941","0.0959331696753553","0.131534780052528"
"Quite unimportant","1992","Employed","Urban Area","262","0.0696428846891033","0.062178339828745","0.0771074295494616"
"Quite unimportant","1992","Employed","Rural Area","94","0.0413898791742003","0.034096078980005","0.0486836793683956"
"Very important","1993","Not Employed","Urban Area","","","",""
"Very important","1993","Not Employed","Rural Area","","","",""
"Very important","1993","Employed","Urban Area","","","",""
"Very important","1993","Employed","Rural Area","","","",""
"Important","1993","Not Employed","Urban Area","","","",""
"Important","1993","Not Employed","Rural Area","","","",""
"Important","1993","Employed","Urban Area","","","",""
"Important","1993","Employed","Rural Area","","","",""
"Less important","1993","Not Employed","Urban Area","","","",""
"Less important","1993","Not Employed","Rural Area","","","",""
"Less important","1993","Employed","Urban Area","","","",""
"Less important","1993","Employed","Rural Area","","","",""
"Quite unimportant","1993","Not Employed","Urban Area","","","",""
"Quite unimportant","1993","Not Employed","Rural Area","","","",""
"Quite unimportant","1993","Employed","Urban Area","","","",""
"Quite unimportant","1993","Employed","Rural Area","","","",""
"Very important","1994","Not Employed","Urban Area","","","",""
"Very important","1994","Not Employed","Rural Area","","","",""
"Very important","1994","Employed","Urban Area","","","",""
"Very important","1994","Employed","Rural Area","","","",""
"Important","1994","Not Employed","Urban Area","","","",""
"Important","1994","Not Employed","Rural Area","","","",""
"Important","1994","Employed","Urban Area","","","",""
"Important","1994","Employed","Rural Area","","","",""
"Less important","1994","Not Employed","Urban Area","","","",""
"Less important","1994","Not Employed","Rural Area","","","",""
"Less important","1994","Employed","Urban Area","","","",""
"Less important","1994","Employed","Rural Area","","","",""
"Quite unimportant","1994","Not Employed","Urban Area","","","",""
"Quite unimportant","1994","Not Employed","Rural Area","","","",""
"Quite unimportant","1994","Employed","Urban Area","","","",""
"Quite unimportant","1994","Employed","Rural Area","","","",""
"Very important","1995","Not Employed","Urban Area","1196","0.44421594193565","0.42492678323705","0.463505100634249"
"Very important","1995","Not Employed","Rural Area","665","0.448687443889926","0.423184290496598","0.474190597283254"
"Very important","1995","Employed","Urban Area","2017","0.413136763470676","0.398628787514286","0.427644739427066"
"Very important","1995","Employed","Rural Area","1384","0.466868750143181","0.448053921318866","0.485683578967497"
"Important","1995","Not Employed","Urban Area","891","0.355784980686587","0.337199559762734","0.37437040161044"
"Important","1995","Not Employed","Rural Area","550","0.383119702971189","0.358191516978678","0.408047888963701"
"Important","1995","Employed","Urban Area","1493","0.346427228183725","0.332407343597193","0.360447112770257"
"Important","1995","Employed","Rural Area","884","0.346264707721271","0.328321880333423","0.36420753510912"
"Less important","1995","Not Employed","Urban Area","275","0.11071485987954","0.0985337559581798","0.122895963800901"
"Less important","1995","Not Employed","Rural Area","124","0.0721420065603707","0.0588754611282824","0.0854085519924591"
"Less important","1995","Employed","Urban Area","648","0.164324601460016","0.153406137223479","0.175243065696554"
"Less important","1995","Employed","Rural Area","340","0.15050608243274","0.137021330500646","0.163990834364833"
"Quite unimportant","1995","Not Employed","Urban Area","187","0.0892842174982229","0.0782143619669647","0.100354073029481"
"Quite unimportant","1995","Not Employed","Rural Area","122","0.0960508465785138","0.0809415034936627","0.111160189663365"
"Quite unimportant","1995","Employed","Urban Area","267","0.0761114068855822","0.0682982574473904","0.0839245563237741"
"Quite unimportant","1995","Employed","Rural Area","93","0.0363604597028074","0.0293012223003725","0.0434196971052422"
"Very important","1996","Not Employed","Urban Area","","","",""
"Very important","1996","Not Employed","Rural Area","","","",""
"Very important","1996","Employed","Urban Area","","","",""
"Very important","1996","Employed","Rural Area","","","",""
"Important","1996","Not Employed","Urban Area","","","",""
"Important","1996","Not Employed","Rural Area","","","",""
"Important","1996","Employed","Urban Area","","","",""
"Important","1996","Employed","Rural Area","","","",""
"Less important","1996","Not Employed","Urban Area","","","",""
"Less important","1996","Not Employed","Rural Area","","","",""
"Less important","1996","Employed","Urban Area","","","",""
"Less important","1996","Employed","Rural Area","","","",""
"Quite unimportant","1996","Not Employed","Urban Area","","","",""
"Quite unimportant","1996","Not Employed","Rural Area","","","",""
"Quite unimportant","1996","Employed","Urban Area","","","",""
"Quite unimportant","1996","Employed","Rural Area","","","",""
"Very important","1997","Not Employed","Urban Area","","","",""
"Very important","1997","Not Employed","Rural Area","","","",""
"Very important","1997","Employed","Urban Area","","","",""
"Very important","1997","Employed","Rural Area","","","",""
"Important","1997","Not Employed","Urban Area","","","",""
"Important","1997","Not Employed","Rural Area","","","",""
"Important","1997","Employed","Urban Area","","","",""
"Important","1997","Employed","Rural Area","","","",""
"Less important","1997","Not Employed","Urban Area","","","",""
"Less important","1997","Not Employed","Rural Area","","","",""
"Less important","1997","Employed","Urban Area","","","",""
"Less important","1997","Employed","Rural Area","","","",""
"Quite unimportant","1997","Not Employed","Urban Area","","","",""
"Quite unimportant","1997","Not Employed","Rural Area","","","",""
"Quite unimportant","1997","Employed","Urban Area","","","",""
"Quite unimportant","1997","Employed","Rural Area","","","",""
"Very important","1998","Not Employed","Urban Area","","","",""
"Very important","1998","Not Employed","Rural Area","","","",""
"Very important","1998","Employed","Urban Area","","","",""
"Very important","1998","Employed","Rural Area","","","",""
"Important","1998","Not Employed","Urban Area","","","",""
"Important","1998","Not Employed","Rural Area","","","",""
"Important","1998","Employed","Urban Area","","","",""
"Important","1998","Employed","Rural Area","","","",""
"Less important","1998","Not Employed","Urban Area","","","",""
"Less important","1998","Not Employed","Rural Area","","","",""
"Less important","1998","Employed","Urban Area","","","",""
"Less important","1998","Employed","Rural Area","","","",""
"Quite unimportant","1998","Not Employed","Urban Area","","","",""
"Quite unimportant","1998","Not Employed","Rural Area","","","",""
"Quite unimportant","1998","Employed","Urban Area","","","",""
"Quite unimportant","1998","Employed","Rural Area","","","",""
"Very important","1999","Not Employed","Urban Area","","","",""
"Very important","1999","Not Employed","Rural Area","","","",""
"Very important","1999","Employed","Urban Area","","","",""
