"plh0110","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Very important","1990","no migration background","West Germany","2565","0.367911794991692","0.356254603251173","0.37956898673221"
"Very important","1990","no migration background","East Germany","","","",""
"Very important","1990","direct migration background","West Germany","196","0.393615257808941","0.347809774757162","0.43942074086072"
"Very important","1990","direct migration background","East Germany","","","",""
"Very important","1990","indirect migration background","West Germany","19","","",""
"Very important","1990","indirect migration background","East Germany","","","",""
"Important","1990","no migration background","West Germany","2624","0.400244323561178","0.388400743086775","0.412087904035582"
"Important","1990","no migration background","East Germany","","","",""
"Important","1990","direct migration background","West Germany","166","0.409873073842224","0.363762048188471","0.455984099495977"
"Important","1990","direct migration background","East Germany","","","",""
"Important","1990","indirect migration background","West Germany","17","","",""
"Important","1990","indirect migration background","East Germany","","","",""
"Less important","1990","no migration background","West Germany","963","0.154727787481417","0.145985688992524","0.16346988597031"
"Less important","1990","no migration background","East Germany","","","",""
"Less important","1990","direct migration background","West Germany","54","0.135640727773334","0.10353743527216","0.167744020274507"
"Less important","1990","direct migration background","East Germany","","","",""
"Less important","1990","indirect migration background","West Germany","11","","",""
"Less important","1990","indirect migration background","East Germany","","","",""
"Quite unimportant","1990","no migration background","West Germany","422","0.0771160939657132","0.070667288305723","0.0835648996257034"
"Quite unimportant","1990","no migration background","East Germany","","","",""
"Quite unimportant","1990","direct migration background","West Germany","21","","",""
"Quite unimportant","1990","direct migration background","East Germany","","","",""
"Quite unimportant","1990","indirect migration background","West Germany","8","","",""
"Quite unimportant","1990","indirect migration background","East Germany","","","",""
"Very important","1991","no migration background","West Germany","","","",""
"Very important","1991","no migration background","East Germany","","","",""
"Very important","1991","direct migration background","West Germany","","","",""
"Very important","1991","direct migration background","East Germany","","","",""
"Very important","1991","indirect migration background","West Germany","","","",""
"Very important","1991","indirect migration background","East Germany","","","",""
"Important","1991","no migration background","West Germany","","","",""
"Important","1991","no migration background","East Germany","","","",""
"Important","1991","direct migration background","West Germany","","","",""
"Important","1991","direct migration background","East Germany","","","",""
"Important","1991","indirect migration background","West Germany","","","",""
"Important","1991","indirect migration background","East Germany","","","",""
"Less important","1991","no migration background","West Germany","","","",""
"Less important","1991","no migration background","East Germany","","","",""
"Less important","1991","direct migration background","West Germany","","","",""
"Less important","1991","direct migration background","East Germany","","","",""
"Less important","1991","indirect migration background","West Germany","","","",""
"Less important","1991","indirect migration background","East Germany","","","",""
"Quite unimportant","1991","no migration background","West Germany","","","",""
"Quite unimportant","1991","no migration background","East Germany","","","",""
"Quite unimportant","1991","direct migration background","West Germany","","","",""
"Quite unimportant","1991","direct migration background","East Germany","","","",""
"Quite unimportant","1991","indirect migration background","West Germany","","","",""
"Quite unimportant","1991","indirect migration background","East Germany","","","",""
"Very important","1992","no migration background","West Germany","2717","0.389381495474723","0.377500987063571","0.401262003885874"
"Very important","1992","no migration background","East Germany","2066","0.499131921002163","0.483158695110782","0.515105146893545"
"Very important","1992","direct migration background","West Germany","212","0.475792304671903","0.428478637625937","0.52310597171787"
"Very important","1992","direct migration background","East Germany","68","0.436595774741111","0.355307129374295","0.517884420107927"
"Very important","1992","indirect migration background","West Germany","22","","",""
"Very important","1992","indirect migration background","East Germany","3","","",""
"Important","1992","no migration background","West Germany","2380","0.379766327816466","0.367941405705749","0.391591249927183"
"Important","1992","no migration background","East Germany","1125","0.314083963482011","0.299255995372024","0.328911931591998"
"Important","1992","direct migration background","West Germany","143","0.339619927471403","0.29475367780008","0.384486177142726"
"Important","1992","direct migration background","East Germany","49","0.360752106435442","0.28204405461016","0.439460158260724"
"Important","1992","indirect migration background","West Germany","23","","",""
"Important","1992","indirect migration background","East Germany","3","","",""
"Less important","1992","no migration background","West Germany","919","0.145480950496007","0.1368902944625","0.154071606529513"
"Less important","1992","no migration background","East Germany","354","0.106940229997822","0.0970675717542894","0.116812888241354"
"Less important","1992","direct migration background","West Germany","51","0.133519235766971","0.10129537381186","0.165743097722082"
"Less important","1992","direct migration background","East Germany","9","","",""
"Less important","1992","indirect migration background","West Germany","19","","",""
"Less important","1992","indirect migration background","East Germany","3","","",""
"Quite unimportant","1992","no migration background","West Germany","455","0.0853712262128051","0.078562896480611","0.0921795559449991"
"Quite unimportant","1992","no migration background","East Germany","219","0.0798438855180037","0.0711847432820678","0.0885030277539396"
"Quite unimportant","1992","direct migration background","West Germany","22","","",""
"Quite unimportant","1992","direct migration background","East Germany","17","","",""
"Quite unimportant","1992","indirect migration background","West Germany","6","","",""
"Quite unimportant","1992","indirect migration background","East Germany","1","","",""
"Very important","1993","no migration background","West Germany","","","",""
"Very important","1993","no migration background","East Germany","","","",""
"Very important","1993","direct migration background","West Germany","","","",""
"Very important","1993","direct migration background","East Germany","","","",""
"Very important","1993","indirect migration background","West Germany","","","",""
"Very important","1993","indirect migration background","East Germany","","","",""
"Important","1993","no migration background","West Germany","","","",""
"Important","1993","no migration background","East Germany","","","",""
"Important","1993","direct migration background","West Germany","","","",""
"Important","1993","direct migration background","East Germany","","","",""
"Important","1993","indirect migration background","West Germany","","","",""
"Important","1993","indirect migration background","East Germany","","","",""
"Less important","1993","no migration background","West Germany","","","",""
"Less important","1993","no migration background","East Germany","","","",""
"Less important","1993","direct migration background","West Germany","","","",""
"Less important","1993","direct migration background","East Germany","","","",""
"Less important","1993","indirect migration background","West Germany","","","",""
"Less important","1993","indirect migration background","East Germany","","","",""
"Quite unimportant","1993","no migration background","West Germany","","","",""
"Quite unimportant","1993","no migration background","East Germany","","","",""
"Quite unimportant","1993","direct migration background","West Germany","","","",""
"Quite unimportant","1993","direct migration background","East Germany","","","",""
"Quite unimportant","1993","indirect migration background","West Germany","","","",""
"Quite unimportant","1993","indirect migration background","East Germany","","","",""
"Very important","1994","no migration background","West Germany","","","",""
"Very important","1994","no migration background","East Germany","","","",""
"Very important","1994","direct migration background","West Germany","","","",""
"Very important","1994","direct migration background","East Germany","","","",""
"Very important","1994","indirect migration background","West Germany","","","",""
"Very important","1994","indirect migration background","East Germany","","","",""
"Important","1994","no migration background","West Germany","","","",""
"Important","1994","no migration background","East Germany","","","",""
"Important","1994","direct migration background","West Germany","","","",""
"Important","1994","direct migration background","East Germany","","","",""
"Important","1994","indirect migration background","West Germany","","","",""
"Important","1994","indirect migration background","East Germany","","","",""
"Less important","1994","no migration background","West Germany","","","",""
"Less important","1994","no migration background","East Germany","","","",""
"Less important","1994","direct migration background","West Germany","","","",""
"Less important","1994","direct migration background","East Germany","","","",""
"Less important","1994","indirect migration background","West Germany","","","",""
"Less important","1994","indirect migration background","East Germany","","","",""
"Quite unimportant","1994","no migration background","West Germany","","","",""
"Quite unimportant","1994","no migration background","East Germany","","","",""
"Quite unimportant","1994","direct migration background","West Germany","","","",""
"Quite unimportant","1994","direct migration background","East Germany","","","",""
"Quite unimportant","1994","indirect migration background","West Germany","","","",""
"Quite unimportant","1994","indirect migration background","East Germany","","","",""
"Very important","1995","no migration background","West Germany","2816","0.411464967091664","0.399395551940737","0.42353438224259"
"Very important","1995","no migration background","East Germany","1785","0.490382403289854","0.473758889402774","0.507005917176934"
"Very important","1995","direct migration background","West Germany","552","0.525484832681094","0.49448883256402","0.556480832798167"
"Very important","1995","direct migration background","East Germany","66","0.447631565341848","0.365263502655253","0.529999628028443"
"Very important","1995","indirect migration background","West Germany","41","0.310633001682561","0.228853478062729","0.392412525302393"
"Very important","1995","indirect migration background","East Germany","2","","",""
"Important","1995","no migration background","West Germany","2249","0.363392375228795","0.351595758832817","0.375188991624772"
"Important","1995","no migration background","East Germany","1162","0.344668387705992","0.328864480559421","0.360472294852563"
"Important","1995","direct migration background","West Germany","313","0.309998460277822","0.281290303441689","0.338706617113955"
"Important","1995","direct migration background","East Germany","47","0.319575531757406","0.242332236189075","0.396818827325737"
