"plh0110","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Very important","1990","lower secondary degree","Male","712","0.357217663919342","0.335493560072356","0.378941767766329"
"Very important","1990","lower secondary degree","Female","992","0.424710589686464","0.403913241686853","0.445507937686074"
"Very important","1990","secondary school degree","Male","193","0.283999163837724","0.248980975811476","0.319017351863971"
"Very important","1990","secondary school degree","Female","410","0.414775606871218","0.383042659506203","0.446508554236233"
"Very important","1990","college entrance qualification","Male","216","0.285389946338582","0.252148579789905","0.318631312887259"
"Very important","1990","college entrance qualification","Female","165","0.361960627491431","0.31653841662942","0.407382838353443"
"Very important","1990","Other degree","Male","12","","",""
"Very important","1990","Other degree","Female","11","","",""
"Very important","1990","no degree/no degree yet","Male","15","","",""
"Very important","1990","no degree/no degree yet","Female","25","","",""
"Important","1990","lower secondary degree","Male","810","0.439328785320221","0.416828273352874","0.461829297287568"
"Important","1990","lower secondary degree","Female","862","0.40532709399205","0.384670433215197","0.425983754768902"
"Important","1990","secondary school degree","Male","271","0.421363923271951","0.383018829592404","0.459709016951497"
"Important","1990","secondary school degree","Female","334","0.367288958021167","0.336239841967291","0.398338074075042"
"Important","1990","college entrance qualification","Male","270","0.371363972263509","0.335798834826864","0.406929109700155"
"Important","1990","college entrance qualification","Female","145","0.325027499389536","0.280756741569966","0.369298257209106"
"Important","1990","Other degree","Male","10","","",""
"Important","1990","Other degree","Female","7","","",""
"Important","1990","no degree/no degree yet","Male","30","0.35513370928498","0.253992148346701","0.456275270223258"
"Important","1990","no degree/no degree yet","Female","26","","",""
"Less important","1990","lower secondary degree","Male","239","0.132888684268596","0.117499171582959","0.148278196954232"
"Less important","1990","lower secondary degree","Female","200","0.100333556986189","0.0876925378284375","0.11297457614394"
"Less important","1990","secondary school degree","Male","134","0.229651080904188","0.196988059119657","0.262314102688719"
"Less important","1990","secondary school degree","Female","125","0.138750810699327","0.116485704272441","0.161015917126213"
"Less important","1990","college entrance qualification","Male","157","0.236933602646573","0.205635395032645","0.268231810260501"
"Less important","1990","college entrance qualification","Female","87","0.228757109582674","0.189056538844681","0.268457680320666"
"Less important","1990","Other degree","Male","3","","",""
"Less important","1990","Other degree","Female","4","","",""
"Less important","1990","no degree/no degree yet","Male","32","0.373957700395031","0.271696250815409","0.476219149974653"
"Less important","1990","no degree/no degree yet","Female","17","","",""
"Quite unimportant","1990","lower secondary degree","Male","108","0.0705648664918413","0.0589544648139012","0.0821752681697814"
"Quite unimportant","1990","lower secondary degree","Female","116","0.0696287593352981","0.0589199622092523","0.080337556461344"
"Quite unimportant","1990","secondary school degree","Male","39","0.0649858319861374","0.04584341323709","0.0841282507351848"
"Quite unimportant","1990","secondary school degree","Female","57","0.0791846244082884","0.0617926331100571","0.0965766157065196"
"Quite unimportant","1990","college entrance qualification","Male","66","0.106312478751336","0.083623761526921","0.12900119597575"
"Quite unimportant","1990","college entrance qualification","Female","33","0.0842547635363591","0.0580005852945737","0.110508941778144"
"Quite unimportant","1990","Other degree","Male","5","","",""
"Quite unimportant","1990","Other degree","Female","2","","",""
"Quite unimportant","1990","no degree/no degree yet","Male","9","","",""
"Quite unimportant","1990","no degree/no degree yet","Female","11","","",""
"Very important","1991","lower secondary degree","Male","","","",""
"Very important","1991","lower secondary degree","Female","","","",""
"Very important","1991","secondary school degree","Male","","","",""
