"plh0105","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Not Employed","(0) in school","26","","",""
"Very important","1990","Not Employed","(1a) inadequately completed","8","","",""
"Very important","1990","Not Employed","(1b) general elementary school","178","0.233755467941117","0.203765088749122","0.263745847133112"
"Very important","1990","Not Employed","(1c) basic vocational qualification","236","0.239877988179652","0.212781640441591","0.266974335917714"
"Very important","1990","Not Employed","(2b) intermediate general qualification","28","","",""
"Very important","1990","Not Employed","(2a) intermediate vocational","94","0.264475637679667","0.216226790359921","0.312724484999414"
"Very important","1990","Not Employed","(2c_gen) general maturity certificate","24","","",""
"Very important","1990","Not Employed","(2c_voc) vocational maturity certificate","18","","",""
"Very important","1990","Not Employed","(3a) lower tertiary education","12","","",""
"Very important","1990","Not Employed","(3b) higher tertiary education","21","","",""
"Very important","1990","Employed","(0) in school","3","","",""
"Very important","1990","Employed","(1a) inadequately completed","3","","",""
"Very important","1990","Employed","(1b) general elementary school","139","0.230804398511533","0.19674791017462","0.264860886848446"
"Very important","1990","Employed","(1c) basic vocational qualification","324","0.174383878841551","0.156893825784108","0.191873931898993"
"Very important","1990","Employed","(2b) intermediate general qualification","47","0.256889741231203","0.196637609718311","0.317141872744095"
"Very important","1990","Employed","(2a) intermediate vocational","200","0.19992404827063","0.173910278410381","0.225937818130879"
"Very important","1990","Employed","(2c_gen) general maturity certificate","40","0.252898594013189","0.181655453339824","0.324141734686553"
"Very important","1990","Employed","(2c_voc) vocational maturity certificate","59","0.268077695297848","0.211201182371328","0.324954208224368"
"Very important","1990","Employed","(3a) lower tertiary education","24","","",""
"Very important","1990","Employed","(3b) higher tertiary education","64","0.175437341695345","0.135361477868636","0.215513205522054"
"Important","1990","Not Employed","(0) in school","55","0.54310877213273","0.443462216130987","0.642755328134473"
"Important","1990","Not Employed","(1a) inadequately completed","22","","",""
"Important","1990","Not Employed","(1b) general elementary school","510","0.662987389879662","0.629491379444981","0.696483400314342"
"Important","1990","Not Employed","(1c) basic vocational qualification","626","0.645019682498135","0.614655434908563","0.675383930087706"
"Important","1990","Not Employed","(2b) intermediate general qualification","59","0.581488722065626","0.483316989692659","0.679660454438592"
"Important","1990","Not Employed","(2a) intermediate vocational","198","0.634658271436161","0.581981980614064","0.687334562258258"
"Important","1990","Not Employed","(2c_gen) general maturity certificate","70","0.665110713338021","0.576101735822998","0.754119690853043"
"Important","1990","Not Employed","(2c_voc) vocational maturity certificate","53","0.61600089657409","0.511993500074529","0.720008293073651"
"Important","1990","Not Employed","(3a) lower tertiary education","33","0.686414454510606","0.553775713735295","0.819053195285917"
"Important","1990","Not Employed","(3b) higher tertiary education","51","0.666515684295195","0.563844522837829","0.769186845752561"
"Important","1990","Employed","(0) in school","10","","",""
"Important","1990","Employed","(1a) inadequately completed","22","","",""
"Important","1990","Employed","(1b) general elementary school","384","0.638714620366401","0.599887243579193","0.677541997153609"
"Important","1990","Employed","(1c) basic vocational qualification","1285","0.707636893063959","0.686670902031731","0.728602884096188"
"Important","1990","Employed","(2b) intermediate general qualification","136","0.658340667732016","0.592938161328546","0.723743174135485"
"Important","1990","Employed","(2a) intermediate vocational","620","0.692301900180846","0.662281578905719","0.722322221455973"
"Important","1990","Employed","(2c_gen) general maturity certificate","88","0.65115569255812","0.573039995356602","0.729271389759639"
"Important","1990","Employed","(2c_voc) vocational maturity certificate","159","0.661044753667416","0.600265306986441","0.721824200348392"
"Important","1990","Employed","(3a) lower tertiary education","132","0.726076850654552","0.661285346796356","0.790868354512747"
"Important","1990","Employed","(3b) higher tertiary education","231","0.675650637373401","0.626324437152984","0.724976837593818"
"Less important","1990","Not Employed","(0) in school","15","","",""
"Less important","1990","Not Employed","(1a) inadequately completed","2","","",""
"Less important","1990","Not Employed","(1b) general elementary school","60","0.0776274260806969","0.058665687397977","0.0965891647634168"
"Less important","1990","Not Employed","(1c) basic vocational qualification","80","0.0961685826877417","0.0774602868812972","0.114876878494186"
"Less important","1990","Not Employed","(2b) intermediate general qualification","9","","",""
"Less important","1990","Not Employed","(2a) intermediate vocational","28","","",""
"Less important","1990","Not Employed","(2c_gen) general maturity certificate","14","","",""
"Less important","1990","Not Employed","(2c_voc) vocational maturity certificate","13","","",""
"Less important","1990","Not Employed","(3a) lower tertiary education","2","","",""
"Less important","1990","Not Employed","(3b) higher tertiary education","7","","",""
"Less important","1990","Employed","(0) in school","1","","",""
"Less important","1990","Employed","(1a) inadequately completed","2","","",""
"Less important","1990","Employed","(1b) general elementary school","60","0.122930060530878","0.0963897751210586","0.149470345940698"
"Less important","1990","Employed","(1c) basic vocational qualification","190","0.111068985155723","0.0965852922061732","0.125552678105272"
"Less important","1990","Employed","(2b) intermediate general qualification","18","","",""
"Less important","1990","Employed","(2a) intermediate vocational","85","0.104487642656733","0.0845912921141575","0.124383993199308"
"Less important","1990","Employed","(2c_gen) general maturity certificate","13","","",""
"Less important","1990","Employed","(2c_voc) vocational maturity certificate","14","","",""
"Less important","1990","Employed","(3a) lower tertiary education","25","","",""
"Less important","1990","Employed","(3b) higher tertiary education","49","0.142036790093391","0.105253988984704","0.178819591202079"
"Quite unimportant","1990","Not Employed","(0) in school","","","",""
"Quite unimportant","1990","Not Employed","(1a) inadequately completed","2","","",""
"Quite unimportant","1990","Not Employed","(1b) general elementary school","17","","",""
"Quite unimportant","1990","Not Employed","(1c) basic vocational qualification","12","","",""
"Quite unimportant","1990","Not Employed","(2b) intermediate general qualification","1","","",""
"Quite unimportant","1990","Not Employed","(2a) intermediate vocational","1","","",""
"Quite unimportant","1990","Not Employed","(2c_gen) general maturity certificate","","","",""
"Quite unimportant","1990","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"Quite unimportant","1990","Not Employed","(3a) lower tertiary education","","","",""
"Quite unimportant","1990","Not Employed","(3b) higher tertiary education","2","","",""
"Quite unimportant","1990","Employed","(0) in school","","","",""
"Quite unimportant","1990","Employed","(1a) inadequately completed","2","","",""
"Quite unimportant","1990","Employed","(1b) general elementary school","5","","",""
"Quite unimportant","1990","Employed","(1c) basic vocational qualification","9","","",""
"Quite unimportant","1990","Employed","(2b) intermediate general qualification","1","","",""
"Quite unimportant","1990","Employed","(2a) intermediate vocational","3","","",""
"Quite unimportant","1990","Employed","(2c_gen) general maturity certificate","2","","",""
"Quite unimportant","1990","Employed","(2c_voc) vocational maturity certificate","1","","",""
"Quite unimportant","1990","Employed","(3a) lower tertiary education","1","","",""
"Quite unimportant","1990","Employed","(3b) higher tertiary education","2","","",""
"Very important","1991","Not Employed","(0) in school","","","",""
"Very important","1991","Not Employed","(1a) inadequately completed","","","",""
"Very important","1991","Not Employed","(1b) general elementary school","","","",""
"Very important","1991","Not Employed","(1c) basic vocational qualification","","","",""
"Very important","1991","Not Employed","(2b) intermediate general qualification","","","",""
"Very important","1991","Not Employed","(2a) intermediate vocational","","","",""
"Very important","1991","Not Employed","(2c_gen) general maturity certificate","","","",""
"Very important","1991","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"Very important","1991","Not Employed","(3a) lower tertiary education","","","",""
"Very important","1991","Not Employed","(3b) higher tertiary education","","","",""
"Very important","1991","Employed","(0) in school","","","",""
"Very important","1991","Employed","(1a) inadequately completed","","","",""
"Very important","1991","Employed","(1b) general elementary school","","","",""
"Very important","1991","Employed","(1c) basic vocational qualification","","","",""
"Very important","1991","Employed","(2b) intermediate general qualification","","","",""
"Very important","1991","Employed","(2a) intermediate vocational","","","",""
"Very important","1991","Employed","(2c_gen) general maturity certificate","","","",""
"Very important","1991","Employed","(2c_voc) vocational maturity certificate","","","",""
"Very important","1991","Employed","(3a) lower tertiary education","","","",""
"Very important","1991","Employed","(3b) higher tertiary education","","","",""
"Important","1991","Not Employed","(0) in school","","","",""
"Important","1991","Not Employed","(1a) inadequately completed","","","",""
"Important","1991","Not Employed","(1b) general elementary school","","","",""
"Important","1991","Not Employed","(1c) basic vocational qualification","","","",""
"Important","1991","Not Employed","(2b) intermediate general qualification","","","",""
"Important","1991","Not Employed","(2a) intermediate vocational","","","",""
"Important","1991","Not Employed","(2c_gen) general maturity certificate","","","",""
"Important","1991","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"Important","1991","Not Employed","(3a) lower tertiary education","","","",""
"Important","1991","Not Employed","(3b) higher tertiary education","","","",""
"Important","1991","Employed","(0) in school","","","",""
"Important","1991","Employed","(1a) inadequately completed","","","",""
"Important","1991","Employed","(1b) general elementary school","","","",""
"Important","1991","Employed","(1c) basic vocational qualification","","","",""
"Important","1991","Employed","(2b) intermediate general qualification","","","",""
"Important","1991","Employed","(2a) intermediate vocational","","","",""
"Important","1991","Employed","(2c_gen) general maturity certificate","","","",""
"Important","1991","Employed","(2c_voc) vocational maturity certificate","","","",""
"Important","1991","Employed","(3a) lower tertiary education","","","",""
"Important","1991","Employed","(3b) higher tertiary education","","","",""
"Less important","1991","Not Employed","(0) in school","","","",""
"Less important","1991","Not Employed","(1a) inadequately completed","","","",""
"Less important","1991","Not Employed","(1b) general elementary school","","","",""
"Less important","1991","Not Employed","(1c) basic vocational qualification","","","",""
"Less important","1991","Not Employed","(2b) intermediate general qualification","","","",""
"Less important","1991","Not Employed","(2a) intermediate vocational","","","",""
"Less important","1991","Not Employed","(2c_gen) general maturity certificate","","","",""
"Less important","1991","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"Less important","1991","Not Employed","(3a) lower tertiary education","","","",""
"Less important","1991","Not Employed","(3b) higher tertiary education","","","",""
"Less important","1991","Employed","(0) in school","","","",""
"Less important","1991","Employed","(1a) inadequately completed","","","",""
"Less important","1991","Employed","(1b) general elementary school","","","",""
"Less important","1991","Employed","(1c) basic vocational qualification","","","",""
"Less important","1991","Employed","(2b) intermediate general qualification","","","",""
"Less important","1991","Employed","(2a) intermediate vocational","","","",""
"Less important","1991","Employed","(2c_gen) general maturity certificate","","","",""
"Less important","1991","Employed","(2c_voc) vocational maturity certificate","","","",""
"Less important","1991","Employed","(3a) lower tertiary education","","","",""
"Less important","1991","Employed","(3b) higher tertiary education","","","",""
"Quite unimportant","1991","Not Employed","(0) in school","","","",""
"Quite unimportant","1991","Not Employed","(1a) inadequately completed","","","",""
"Quite unimportant","1991","Not Employed","(1b) general elementary school","","","",""
