"plh0105","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Very important","1990","no migration background","Male","505","0.156232064844381","0.143636627708599","0.168827501980163"
"Very important","1990","no migration background","Female","940","0.264579153681247","0.249862082480989","0.279296224881504"
"Very important","1990","direct migration background","Male","41","0.187257058518354","0.134240427672047","0.240273689364661"
"Very important","1990","direct migration background","Female","73","0.292295620324633","0.234268744969586","0.35032249567968"
"Very important","1990","indirect migration background","Male","4","","",""
"Very important","1990","indirect migration background","Female","12","","",""
"Important","1990","no migration background","Male","2245","0.697891169959659","0.681962034300094","0.713820305619224"
"Important","1990","no migration background","Female","2236","0.645597661843854","0.629638691230484","0.661556632457225"
"Important","1990","direct migration background","Male","139","0.669097205401769","0.605151519662405","0.733042891141133"
"Important","1990","direct migration background","Female","150","0.647859739967929","0.586921427128633","0.708798052807224"
"Important","1990","indirect migration background","Male","17","","",""
"Important","1990","indirect migration background","Female","15","","",""
"Less important","1990","no migration background","Male","410","0.133752127573276","0.121943808230103","0.14556044691645"
"Less important","1990","no migration background","Female","248","0.0797847150405404","0.0707444704279633","0.0888249596531175"
"Less important","1990","direct migration background","Male","28","","",""
"Less important","1990","direct migration background","Female","11","","",""
"Less important","1990","indirect migration background","Male","3","","",""
"Less important","1990","indirect migration background","Female","2","","",""
"Quite unimportant","1990","no migration background","Male","32","0.0121246376226841","0.00832797409307969","0.0159213011522885"
"Quite unimportant","1990","no migration background","Female","27","","",""
"Quite unimportant","1990","direct migration background","Male","","","",""
"Quite unimportant","1990","direct migration background","Female","2","","",""
"Quite unimportant","1990","indirect migration background","Male","","","",""
"Quite unimportant","1990","indirect migration background","Female","1","","",""
"Very important","1991","no migration background","Male","","","",""
"Very important","1991","no migration background","Female","","","",""
"Very important","1991","direct migration background","Male","","","",""
"Very important","1991","direct migration background","Female","","","",""
"Very important","1991","indirect migration background","Male","","","",""
"Very important","1991","indirect migration background","Female","","","",""
"Important","1991","no migration background","Male","","","",""
"Important","1991","no migration background","Female","","","",""
"Important","1991","direct migration background","Male","","","",""
"Important","1991","direct migration background","Female","","","",""
"Important","1991","indirect migration background","Male","","","",""
"Important","1991","indirect migration background","Female","","","",""
"Less important","1991","no migration background","Male","","","",""
"Less important","1991","no migration background","Female","","","",""
"Less important","1991","direct migration background","Male","","","",""
"Less important","1991","direct migration background","Female","","","",""
"Less important","1991","indirect migration background","Male","","","",""
"Less important","1991","indirect migration background","Female","","","",""
"Quite unimportant","1991","no migration background","Male","","","",""
"Quite unimportant","1991","no migration background","Female","","","",""
