"plh0105","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Full Time","Urban Area","502","0.195166967240617","0.179521242605316","0.210812691875917"
"Very important","1990","Full Time","Rural Area","110","0.152768876659341","0.126563089995612","0.178974663323069"
"Very important","1990","Part Time","Urban Area","239","0.219891361695809","0.194511345085478","0.245271378306139"
"Very important","1990","Part Time","Rural Area","70","0.223682477076231","0.177517609029767","0.269847345122694"
"Very important","1990","Not Working","Urban Area","508","0.246210623418699","0.22739127409322","0.265029972744179"
"Very important","1990","Not Working","Rural Area","146","0.233218240488765","0.199465691305047","0.266970789672483"
"Important","1990","Full Time","Urban Area","1677","0.682477395254293","0.664100544459982","0.700854246048604"
"Important","1990","Full Time","Rural Area","526","0.719413021482262","0.686686359468003","0.752139683496521"
"Important","1990","Part Time","Urban Area","690","0.678693925033917","0.65007807023117","0.707309779836663"
"Important","1990","Part Time","Rural Area","217","0.676064018522579","0.624219907893391","0.727908129151767"
"Important","1990","Not Working","Urban Area","1307","0.649257382217953","0.628411085201294","0.670103679234611"
"Important","1990","Not Working","Rural Area","385","0.627271591852911","0.588678151754473","0.665865031951349"
"Less important","1990","Full Time","Urban Area","273","0.11746253593684","0.104752233317332","0.130172838556348"
"Less important","1990","Full Time","Rural Area","84","0.122166630882919","0.0983126344878837","0.146020627277954"
"Less important","1990","Part Time","Urban Area","87","0.0913112175585862","0.0736597863516408","0.108962648765531"
"Less important","1990","Part Time","Rural Area","24","","",""
"Less important","1990","Not Working","Urban Area","173","0.0913306685181148","0.0787461252849286","0.103915211751301"
"Less important","1990","Not Working","Rural Area","61","0.110824310741184","0.0857689451222216","0.135879676360147"
"Quite unimportant","1990","Full Time","Urban Area","13","","",""
"Quite unimportant","1990","Full Time","Rural Area","4","","",""
"Quite unimportant","1990","Part Time","Urban Area","7","","",""
"Quite unimportant","1990","Part Time","Rural Area","2","","",""
"Quite unimportant","1990","Not Working","Urban Area","25","","",""
"Quite unimportant","1990","Not Working","Rural Area","11","","",""
"Very important","1991","Full Time","Urban Area","","","",""
"Very important","1991","Full Time","Rural Area","","","",""
"Very important","1991","Part Time","Urban Area","","","",""
"Very important","1991","Part Time","Rural Area","","","",""
"Very important","1991","Not Working","Urban Area","","","",""
"Very important","1991","Not Working","Rural Area","","","",""
"Important","1991","Full Time","Urban Area","","","",""
"Important","1991","Full Time","Rural Area","","","",""
"Important","1991","Part Time","Urban Area","","","",""
"Important","1991","Part Time","Rural Area","","","",""
"Important","1991","Not Working","Urban Area","","","",""
"Important","1991","Not Working","Rural Area","","","",""
"Less important","1991","Full Time","Urban Area","","","",""
"Less important","1991","Full Time","Rural Area","","","",""
"Less important","1991","Part Time","Urban Area","","","",""
"Less important","1991","Part Time","Rural Area","","","",""
"Less important","1991","Not Working","Urban Area","","","",""
"Less important","1991","Not Working","Rural Area","","","",""
"Quite unimportant","1991","Full Time","Urban Area","","","",""
"Quite unimportant","1991","Full Time","Rural Area","","","",""
"Quite unimportant","1991","Part Time","Urban Area","","","",""
"Quite unimportant","1991","Part Time","Rural Area","","","",""
"Quite unimportant","1991","Not Working","Urban Area","","","",""
"Quite unimportant","1991","Not Working","Rural Area","","","",""
"Very important","1992","Full Time","Urban Area","754","0.229073707125141","0.214596966536475","0.243550447713807"
"Very important","1992","Full Time","Rural Area","426","0.203307555572948","0.185817357599409","0.220797753546487"
"Very important","1992","Part Time","Urban Area","350","0.288414453283669","0.263290444232117","0.313538462335222"
"Very important","1992","Part Time","Rural Area","218","0.254823099254798","0.225545706438088","0.284100492071508"
"Very important","1992","Not Working","Urban Area","558","0.227709757835856","0.210405234619497","0.245014281052216"
"Very important","1992","Not Working","Rural Area","308","0.213074061420472","0.190491217229975","0.23565690561097"
"Important","1992","Full Time","Urban Area","2148","0.663415433276798","0.647136849241774","0.679694017311822"
"Important","1992","Full Time","Rural Area","1372","0.668529297268556","0.648071662851787","0.688986931685324"
"Important","1992","Part Time","Urban Area","787","0.621552353662727","0.594655056952013","0.64844965037344"
"Important","1992","Part Time","Rural Area","541","0.644397208607163","0.612235233095559","0.676559184118767"
"Important","1992","Not Working","Urban Area","1431","0.637580826552069","0.617744933852789","0.65741671925135"
"Important","1992","Not Working","Rural Area","789","0.629780277031532","0.60315030444905","0.656410249614014"
"Less important","1992","Full Time","Urban Area","322","0.103869712623377","0.0933596141708209","0.114379811075932"
"Less important","1992","Full Time","Rural Area","225","0.122906598992167","0.10863794064801","0.137175257336325"
"Less important","1992","Part Time","Urban Area","109","0.0876578047986082","0.0719743748790579","0.103341234718159"
"Less important","1992","Part Time","Rural Area","91","0.0993985979332755","0.0792965756718691","0.119500620194682"
"Less important","1992","Not Working","Urban Area","221","0.111430872457602","0.0984463219866366","0.124415422928567"
"Less important","1992","Not Working","Rural Area","144","0.130801603718733","0.112205908980778","0.149397298456688"
"Quite unimportant","1992","Full Time","Urban Area","13","","",""
"Quite unimportant","1992","Full Time","Rural Area","11","","",""
"Quite unimportant","1992","Part Time","Urban Area","3","","",""
"Quite unimportant","1992","Part Time","Rural Area","1","","",""
"Quite unimportant","1992","Not Working","Urban Area","46","0.0232785431544728","0.0170563741045813","0.0295007122043642"
"Quite unimportant","1992","Not Working","Rural Area","22","","",""
"Very important","1993","Full Time","Urban Area","","","",""
"Very important","1993","Full Time","Rural Area","","","",""
