"plh0105","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"Very important","1990","(0) in school","West Germany","29","","",""
"Very important","1990","(0) in school","East Germany","","","",""
"Very important","1990","(1a) inadequately completed","West Germany","11","","",""
"Very important","1990","(1a) inadequately completed","East Germany","","","",""
"Very important","1990","(1b) general elementary school","West Germany","317","0.232608314635812","0.210095989384037","0.255120639887587"
"Very important","1990","(1b) general elementary school","East Germany","","","",""
"Very important","1990","(1c) basic vocational qualification","West Germany","560","0.199566814829111","0.184661438013162","0.21447219164506"
"Very important","1990","(1c) basic vocational qualification","East Germany","","","",""
"Very important","1990","(2b) intermediate general qualification","West Germany","75","0.272410106588217","0.221947760958622","0.322872452217813"
"Very important","1990","(2b) intermediate general qualification","East Germany","","","",""
"Very important","1990","(2a) intermediate vocational","West Germany","294","0.219467794093014","0.196328347795826","0.242607240390203"
"Very important","1990","(2a) intermediate vocational","East Germany","","","",""
"Very important","1990","(2c_gen) general maturity certificate","West Germany","64","0.234204116497974","0.181812113035401","0.286596119960547"
"Very important","1990","(2c_gen) general maturity certificate","East Germany","","","",""
"Very important","1990","(2c_voc) vocational maturity certificate","West Germany","77","0.248582761969873","0.201006037207487","0.296159486732259"
"Very important","1990","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Very important","1990","(3a) lower tertiary education","West Germany","36","0.161863522681435","0.114158707793512","0.209568337569358"
"Very important","1990","(3a) lower tertiary education","East Germany","","","",""
"Very important","1990","(3b) higher tertiary education","West Germany","85","0.187295989623636","0.150290632981818","0.224301346265453"
"Very important","1990","(3b) higher tertiary education","East Germany","","","",""
"Important","1990","(0) in school","West Germany","65","0.570844831960299","0.478349895443394","0.663339768477204"
"Important","1990","(0) in school","East Germany","","","",""
"Important","1990","(1a) inadequately completed","West Germany","44","0.722864590102209","0.612341682503793","0.833387497700624"
"Important","1990","(1a) inadequately completed","East Germany","","","",""
"Important","1990","(1b) general elementary school","West Germany","894","0.653551967081096","0.628197277040062","0.67890665712213"
"Important","1990","(1b) general elementary school","East Germany","","","",""
"Important","1990","(1c) basic vocational qualification","West Germany","1911","0.683560144462671","0.666215308011279","0.700904980914064"
"Important","1990","(1c) basic vocational qualification","East Germany","","","",""
"Important","1990","(2b) intermediate general qualification","West Germany","195","0.631484739839211","0.576805601111684","0.686163878566738"
"Important","1990","(2b) intermediate general qualification","East Germany","","","",""
"Important","1990","(2a) intermediate vocational","West Germany","818","0.674849619938335","0.648660688035847","0.701038551840824"
"Important","1990","(2a) intermediate vocational","East Germany","","","",""
"Important","1990","(2c_gen) general maturity certificate","West Germany","158","0.657140482913546","0.598418806419418","0.715862159407673"
"Important","1990","(2c_gen) general maturity certificate","East Germany","","","",""
"Important","1990","(2c_voc) vocational maturity certificate","West Germany","212","0.648122851210043","0.595552284468674","0.700693417951411"
"Important","1990","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Important","1990","(3a) lower tertiary education","West Germany","165","0.717526944600447","0.659217625396182","0.775836263804711"
"Important","1990","(3a) lower tertiary education","East Germany","","","",""
"Important","1990","(3b) higher tertiary education","West Germany","282","0.673684689066201","0.629213246439334","0.718156131693069"
"Important","1990","(3b) higher tertiary education","East Germany","","","",""
