"plh0105","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","Urban Area","3674","0.668526572391185","0.656086842077641","0.680966302704729","2"
"Important","1990","Rural Area","1128","0.673319586497322","0.650621024774005","0.696018148220639","2"
"Less important","1990","Urban Area","533","0.102483241056378","0.0944687679166802","0.110497714196075","3"
"Less important","1990","Rural Area","169","0.112546995398172","0.0972514206140472","0.127842570182296","3"
"Quite unimportant","1990","Urban Area","45","0.00911909759805568","0.00660713059911779","0.0116310645969936","4"
"Quite unimportant","1990","Rural Area","17","","","","4"
"Very important","1990","Urban Area","1249","0.219871088954382","0.208926624410278","0.230815553498486","1"
"Very important","1990","Rural Area","326","0.198839693014412","0.179522793478357","0.218156592550466","1"
"Important","1991","Urban Area","","","","","2"
"Important","1991","Rural Area","","","","","2"
"Less important","1991","Urban Area","","","","","3"
"Less important","1991","Rural Area","","","","","3"
"Quite unimportant","1991","Urban Area","","","","","4"
"Quite unimportant","1991","Rural Area","","","","","4"
"Very important","1991","Urban Area","","","","","1"
"Very important","1991","Rural Area","","","","","1"
"Important","1992","Urban Area","4366","0.646258898334543","0.634845900183504","0.657671896485582","2"
"Important","1992","Rural Area","2702","0.649286638057229","0.63476474928141","0.663808526833048","2"
"Less important","1992","Urban Area","652","0.10407941735334","0.0967903678433155","0.111368466863364","3"
"Less important","1992","Rural Area","460","0.121195819302782","0.11126423361917","0.131127404986394","3"
"Quite unimportant","1992","Urban Area","62","0.0110891852176134","0.00858951855141285","0.0135888518838139","4"
"Quite unimportant","1992","Rural Area","34","0.0123589281004836","0.00899676566900278","0.0157210905319644","4"
"Very important","1992","Urban Area","1662","0.238572499094504","0.22839881645317","0.248746181735838","1"
"Very important","1992","Rural Area","952","0.217158614539505","0.204611203168661","0.229706025910349","1"
"Important","1993","Urban Area","","","","","2"
"Important","1993","Rural Area","","","","","2"
"Less important","1993","Urban Area","","","","","3"
"Less important","1993","Rural Area","","","","","3"
"Quite unimportant","1993","Urban Area","","","","","4"
"Quite unimportant","1993","Rural Area","","","","","4"
"Very important","1993","Urban Area","","","","","1"
"Very important","1993","Rural Area","","","","","1"
"Important","1994","Urban Area","","","","","2"
"Important","1994","Rural Area","","","","","2"
"Less important","1994","Urban Area","","","","","3"
"Less important","1994","Rural Area","","","","","3"
"Quite unimportant","1994","Urban Area","","","","","4"
"Quite unimportant","1994","Rural Area","","","","","4"
"Very important","1994","Urban Area","","","","","1"
"Very important","1994","Rural Area","","","","","1"
"Important","1995","Rural Area","2748","0.657602998699413","0.643255805858774","0.671950191540052","2"
"Important","1995","Urban Area","4499","0.646912874837273","0.635755064329747","0.6580706853448","2"
"Less important","1995","Rural Area","362","0.0952856229735163","0.0864081470778754","0.104163098869157","3"
"Less important","1995","Urban Area","521","0.0819949058006496","0.075589728962056","0.0884000826392431","3"
