"plh0105","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Not Employed","Male","145","0.17184581050739","0.146364772169951","0.197326848844829"
"Very important","1990","Not Employed","Female","509","0.276311259058627","0.255502485599123","0.297120032518131"
"Very important","1990","Employed","Male","405","0.152938583270843","0.139055499199594","0.166821667342091"
"Very important","1990","Employed","Female","516","0.255343460955051","0.235954610330591","0.27473231157951"
"Important","1990","Not Employed","Male","577","0.681548718380412","0.650081235939278","0.713016200821546"
"Important","1990","Not Employed","Female","1115","0.626592844036876","0.604083889867933","0.649101798205818"
"Important","1990","Employed","Male","1824","0.701964281530616","0.684321720150799","0.719606842910432"
"Important","1990","Employed","Female","1286","0.666319713839128","0.645353582760533","0.687285844917723"
"Less important","1990","Not Employed","Male","105","0.126108360178068","0.10368540871596","0.148531311640175"
"Less important","1990","Not Employed","Female","129","0.081913129267011","0.069151975838049","0.0946742826959731"
"Less important","1990","Employed","Male","336","0.137197074700931","0.12392624114487","0.150467908256992"
"Less important","1990","Employed","Female","132","0.074388037379529","0.0627205397737356","0.0860555349853224"
"Quite unimportant","1990","Not Employed","Male","15","","",""
"Quite unimportant","1990","Not Employed","Female","21","","",""
"Quite unimportant","1990","Employed","Male","17","","",""
"Quite unimportant","1990","Employed","Female","9","","",""
"Very important","1991","Not Employed","Male","","","",""
"Very important","1991","Not Employed","Female","","","",""
"Very important","1991","Employed","Male","","","",""
"Very important","1991","Employed","Female","","","",""
"Important","1991","Not Employed","Male","","","",""
"Important","1991","Not Employed","Female","","","",""
"Important","1991","Employed","Male","","","",""
"Important","1991","Employed","Female","","","",""
"Less important","1991","Not Employed","Male","","","",""
"Less important","1991","Not Employed","Female","","","",""
"Less important","1991","Employed","Male","","","",""
"Less important","1991","Employed","Female","","","",""
"Quite unimportant","1991","Not Employed","Male","","","",""
"Quite unimportant","1991","Not Employed","Female","","","",""
"Quite unimportant","1991","Employed","Male","","","",""
"Quite unimportant","1991","Employed","Female","","","",""
"Very important","1992","Not Employed","Male","217","0.185806540548108","0.163148665316306","0.20846441577991"
"Very important","1992","Not Employed","Female","658","0.242104641003487","0.225016861186933","0.259192420820041"
"Very important","1992","Employed","Male","765","0.184058409161873","0.172180311185755","0.19593650713799"
"Very important","1992","Employed","Female","1015","0.308343454730187","0.292758608092223","0.323928301368151"
"Important","1992","Not Employed","Male","733","0.634049383160857","0.605988737380309","0.662110028941406"
"Important","1992","Not Employed","Female","1503","0.634962498665399","0.615757148151354","0.654167849179444"
"Important","1992","Employed","Male","2773","0.674904447324419","0.660547364859691","0.689261529789147"
"Important","1992","Employed","Female","2133","0.628317098885371","0.61200853756523","0.644625660205513"
"Less important","1992","Not Employed","Male","157","0.1571439889591","0.135943276375526","0.178344701542675"
