"plh0105","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very important","1990","no migration background","in school","25","","",""
"Very important","1990","no migration background","inadequately","11","","",""
"Very important","1990","no migration background","general elemantary","349","0.236447445345921","0.214966401525487","0.257928489166356"
"Very important","1990","no migration background","middle vocational","784","0.205556064072299","0.192440801696948","0.218671326447649"
"Very important","1990","no migration background","vocational + Abi","48","0.243878869287867","0.183138105226951","0.304619633348783"
"Very important","1990","no migration background","higher vocational","98","0.222103171520579","0.184035726208904","0.260170616832255"
"Very important","1990","no migration background","higher education","112","0.180524142634954","0.149850500324324","0.211197784945585"
"Very important","1990","direct migration background","in school","2","","",""
"Very important","1990","direct migration background","inadequately","4","","",""
"Very important","1990","direct migration background","general elemantary","33","0.277550902456979","0.195351130311844","0.359750674602115"
"Very important","1990","direct migration background","middle vocational","53","0.224962130868578","0.169277238378197","0.280647023358959"
"Very important","1990","direct migration background","vocational + Abi","4","","",""
"Very important","1990","direct migration background","higher vocational","8","","",""
"Very important","1990","direct migration background","higher education","8","","",""
"Very important","1990","indirect migration background","in school","2","","",""
"Very important","1990","indirect migration background","inadequately","","","",""
"Very important","1990","indirect migration background","general elemantary","6","","",""
"Very important","1990","indirect migration background","middle vocational","7","","",""
"Very important","1990","indirect migration background","vocational + Abi","","","",""
"Very important","1990","indirect migration background","higher vocational","","","",""
"Very important","1990","indirect migration background","higher education","1","","",""
"Important","1990","no migration background","in school","61","0.578107310174147","0.481792597174313","0.67442202317398"
"Important","1990","no migration background","inadequately","45","0.703362027979828","0.593162697932536","0.81356135802712"
"Important","1990","no migration background","general elemantary","997","0.652251385967919","0.628174029093753","0.676328742842084"
"Important","1990","no migration background","middle vocational","2484","0.681480972718123","0.666360172789087","0.69660177264716"
"Important","1990","no migration background","vocational + Abi","128","0.653711624492212","0.586412480994648","0.721010767989776"
"Important","1990","no migration background","higher vocational","313","0.656082988237287","0.612579751582686","0.699586224891888"
"Important","1990","no migration background","higher education","411","0.685700474846107","0.648677721876618","0.722723227815595"
"Important","1990","direct migration background","in school","2","","",""
