"plh0105","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","Not Employed","Urban Area","1307","0.649257382217953","0.628411085201294","0.670103679234611","2"
"Important","1990","Employed","Urban Area","2367","0.681387131759971","0.665924319863702","0.69684994365624","2"
"Important","1990","Not Employed","Rural Area","385","0.627271591852911","0.588678151754473","0.665865031951349","2"
"Important","1990","Employed","Rural Area","743","0.706303379621017","0.678582702811483","0.734024056430551","2"
"Less important","1990","Employed","Rural Area","108","0.113780939998413","0.0944539592251957","0.133107920771631","3"
"Less important","1990","Not Employed","Urban Area","173","0.0913306685181148","0.0787461252849286","0.103915211751301","3"
"Less important","1990","Not Employed","Rural Area","61","0.110824310741184","0.0857689451222216","0.135879676360147","3"
"Less important","1990","Employed","Urban Area","360","0.109926642670747","0.0995460001445197","0.120307285196973","3"
"Quite unimportant","1990","Not Employed","Urban Area","25","","","","4"
"Quite unimportant","1990","Not Employed","Rural Area","11","","","","4"
"Quite unimportant","1990","Employed","Urban Area","20","","","","4"
"Quite unimportant","1990","Employed","Rural Area","6","","","","4"
"Very important","1990","Not Employed","Urban Area","508","0.246210623418699","0.22739127409322","0.265029972744179","1"
"Very important","1990","Not Employed","Rural Area","146","0.233218240488765","0.199465691305047","0.266970789672483","1"
"Very important","1990","Employed","Urban Area","741","0.202291671050504","0.188960419688782","0.215622922412226","1"
"Very important","1990","Employed","Rural Area","180","0.174214627220698","0.151129375536242","0.197299878905154","1"
"Important","1991","Not Employed","Urban Area","","","","","2"
"Important","1991","Not Employed","Rural Area","","","","","2"
"Important","1991","Employed","Urban Area","","","","","2"
"Important","1991","Employed","Rural Area","","","","","2"
"Less important","1991","Not Employed","Urban Area","","","","","3"
"Less important","1991","Employed","Rural Area","","","","","3"
"Less important","1991","Not Employed","Rural Area","","","","","3"
"Less important","1991","Employed","Urban Area","","","","","3"
"Quite unimportant","1991","Not Employed","Urban Area","","","","","4"
"Quite unimportant","1991","Not Employed","Rural Area","","","","","4"
"Quite unimportant","1991","Employed","Rural Area","","","","","4"
"Quite unimportant","1991","Employed","Urban Area","","","","","4"
"Very important","1991","Not Employed","Rural Area","","","","","1"
"Very important","1991","Not Employed","Urban Area","","","","","1"
"Very important","1991","Employed","Urban Area","","","","","1"
"Very important","1991","Employed","Rural Area","","","","","1"
