"plh0105","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","West Germany","Male","2401","0.696431589736185","0.681030596423264","0.711832583049106","2"
"Important","1990","East Germany","Male","","","","","2"
"Important","1990","West Germany","Female","2401","0.645500265942168","0.630121978292267","0.660878553592068","2"
"Important","1990","East Germany","Female","","","","","2"
"Less important","1990","East Germany","Female","","","","","3"
"Less important","1990","West Germany","Male","441","0.134191992773969","0.12277490570336","0.145609079844578","3"
"Less important","1990","West Germany","Female","261","0.0783316719837935","0.0696937785731486","0.0869695653944384","3"
"Less important","1990","East Germany","Male","","","","","3"
"Quite unimportant","1990","West Germany","Male","32","0.0113139069377694","0.00777135091684249","0.0148564629586964","4"
"Quite unimportant","1990","West Germany","Female","30","0.00983611946150202","0.00666350537776542","0.0130087335452386","4"
"Quite unimportant","1990","East Germany","Male","","","","","4"
"Quite unimportant","1990","East Germany","Female","","","","","4"
"Very important","1990","West Germany","Male","550","0.158062510552076","0.145843513082251","0.170281508021902","1"
"Very important","1990","West Germany","Female","1025","0.266331942612537","0.252121315476233","0.280542569748841","1"
"Very important","1990","East Germany","Male","","","","","1"
"Very important","1990","East Germany","Female","","","","","1"
"Important","1991","West Germany","Male","","","","","2"
"Important","1991","West Germany","Female","","","","","2"
"Important","1991","East Germany","Male","","","","","2"
"Important","1991","East Germany","Female","","","","","2"
"Less important","1991","West Germany","Male","","","","","3"
"Less important","1991","East Germany","Female","","","","","3"
"Less important","1991","West Germany","Female","","","","","3"
"Less important","1991","East Germany","Male","","","","","3"
"Quite unimportant","1991","West Germany","Male","","","","","4"
"Quite unimportant","1991","West Germany","Female","","","","","4"
"Quite unimportant","1991","East Germany","Female","","","","","4"
"Quite unimportant","1991","East Germany","Male","","","","","4"
"Very important","1991","West Germany","Female","","","","","1"
"Very important","1991","West Germany","Male","","","","","1"
"Very important","1991","East Germany","Male","","","","","1"
"Very important","1991","East Germany","Female","","","","","1"
"Important","1992","West Germany","Male","2229","0.662422312357787","0.646368256216846","0.678476368498728","2"
"Important","1992","West Germany","Female","2317","0.635492005581303","0.619979812126534","0.651004199036073","2"
"Important","1992","East Germany","Male","1277","0.670722045416928","0.649523809837641","0.691920280996216","2"
"Important","1992","East Germany","Female","1319","0.617196986345799","0.596353112139707","0.638040860551891","2"
"Less important","1992","East Germany","Female","164","0.0856047293069933","0.0736071194358448","0.0976023391781418","3"
"Less important","1992","West Germany","Male","462","0.144916145656358","0.132965450329457","0.156866840983259","3"
"Less important","1992","West Germany","Female","264","0.0781165291977608","0.069467365413798","0.0867656929817237","3"
"Less important","1992","East Germany","Male","224","0.129689909379105","0.11453556337375","0.144844255384459","3"
"Quite unimportant","1992","West Germany","Male","32","0.0101104719043407","0.00671414478837637","0.0135067990203051","4"
"Quite unimportant","1992","West Germany","Female","37","0.0137959589033743","0.0100365118524104","0.0175554059543383","4"
"Quite unimportant","1992","East Germany","Male","15","","","","4"
"Quite unimportant","1992","East Germany","Female","13","","","","4"
"Very important","1992","West Germany","Female","1080","0.272595506317561","0.258243521258257","0.286947491376865","1"
"Very important","1992","West Germany","Male","610","0.182551070081514","0.169436533751234","0.195665606411795","1"
"Very important","1992","East Germany","Male","372","0.191623200972514","0.173869943093667","0.209376458851361","1"
"Very important","1992","East Germany","Female","593","0.286634954175369","0.26724399201751","0.306025916333228","1"
"Important","1993","West Germany","Male","","","","","2"
"Important","1993","West Germany","Female","","","","","2"
"Important","1993","East Germany","Male","","","","","2"
"Important","1993","East Germany","Female","","","","","2"
"Less important","1993","East Germany","Female","","","","","3"
"Less important","1993","West Germany","Male","","","","","3"
"Less important","1993","West Germany","Female","","","","","3"
"Less important","1993","East Germany","Male","","","","","3"
"Quite unimportant","1993","West Germany","Female","","","","","4"
"Quite unimportant","1993","West Germany","Male","","","","","4"
"Quite unimportant","1993","East Germany","Male","","","","","4"
"Quite unimportant","1993","East Germany","Female","","","","","4"
"Very important","1993","East Germany","Female","","","","","1"
"Very important","1993","West Germany","Female","","","","","1"
"Very important","1993","West Germany","Male","","","","","1"
"Very important","1993","East Germany","Male","","","","","1"
"Important","1994","West Germany","Female","","","","","2"
"Important","1994","West Germany","Male","","","","","2"
"Important","1994","East Germany","Male","","","","","2"
"Important","1994","East Germany","Female","","","","","2"
"Less important","1994","West Germany","Male","","","","","3"
"Less important","1994","West Germany","Female","","","","","3"
"Less important","1994","East Germany","Male","","","","","3"
"Less important","1994","East Germany","Female","","","","","3"
"Quite unimportant","1994","West Germany","Female","","","","","4"
"Quite unimportant","1994","West Germany","Male","","","","","4"
"Quite unimportant","1994","East Germany","Male","","","","","4"
"Quite unimportant","1994","East Germany","Female","","","","","4"
"Very important","1994","East Germany","Female","","","","","1"
"Very important","1994","West Germany","Male","","","","","1"
