"plh0193","year","age_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"Fully agree","2003","16-34 y.","Schleswig-Holstein","9","","",""
"Fully agree","2003","16-34 y.","Hamburg","3","","",""
"Fully agree","2003","16-34 y.","Lower Saxony","31","0.082727176980393","0.0587725396360746","0.106681814324711"
"Fully agree","2003","16-34 y.","Bremen","4","","",""
"Fully agree","2003","16-34 y.","North Rhine-Westphalia","102","0.0723443248858609","0.0578195929790677","0.086869056792654"
"Fully agree","2003","16-34 y.","Hesse","32","0.0744543972309072","0.0478853155422673","0.101023478919547"
"Fully agree","2003","16-34 y.","Rhineland-Palatinate,Saarland","25","","",""
"Fully agree","2003","16-34 y.","Baden-Württemberg","58","0.0695158688435388","0.0517017775760143","0.0873299601110634"
"Fully agree","2003","16-34 y.","Bavaria","44","0.0626720927251929","0.0460116825132307","0.0793325029371552"
"Fully agree","2003","16-34 y.","Berlin","14","","",""
"Fully agree","2003","16-34 y.","Brandenburg","16","","",""
"Fully agree","2003","16-34 y.","Mecklenburg-Western Pomerania","11","","",""
"Fully agree","2003","16-34 y.","Saxony","12","","",""
"Fully agree","2003","16-34 y.","Saxony-Anhalt","26","","",""
"Fully agree","2003","16-34 y.","Thuringia","32","0.147766336624401","0.106710563158207","0.188822110090596"
"Fully agree","2003","35-65 y.","Schleswig-Holstein","25","","",""
"Fully agree","2003","35-65 y.","Hamburg","11","","",""
"Fully agree","2003","35-65 y.","Lower Saxony","72","0.0720267743943762","0.0564189456360921","0.0876346031526603"
"Fully agree","2003","35-65 y.","Bremen","4","","",""
"Fully agree","2003","35-65 y.","North Rhine-Westphalia","210","0.0934782803769181","0.0824262021914209","0.104530358562415"
"Fully agree","2003","35-65 y.","Hesse","88","0.10389982937824","0.0838982159769439","0.123901442779537"
"Fully agree","2003","35-65 y.","Rhineland-Palatinate,Saarland","64","0.0930125439302819","0.0723764657613098","0.113648622099254"
"Fully agree","2003","35-65 y.","Baden-Württemberg","141","0.0811755916975264","0.0674820620266426","0.0948691213684102"
"Fully agree","2003","35-65 y.","Bavaria","107","0.0727943262190249","0.060802452867321","0.0847861995707288"
"Fully agree","2003","35-65 y.","Berlin","39","0.106082628987583","0.078476534625684","0.133688723349481"
"Fully agree","2003","35-65 y.","Brandenburg","47","0.108234514337764","0.0814803477231311","0.134988680952396"
"Fully agree","2003","35-65 y.","Mecklenburg-Western Pomerania","29","","",""
"Fully agree","2003","35-65 y.","Saxony","60","0.0701773375711419","0.0536077686597659","0.0867469064825179"
"Fully agree","2003","35-65 y.","Saxony-Anhalt","64","0.15523092778513","0.124284298795794","0.186177556774466"
"Fully agree","2003","35-65 y.","Thuringia","58","0.155723628492066","0.12455871010021","0.186888546883922"
"Fully agree","2003","66 and older","Schleswig-Holstein","11","","",""
"Fully agree","2003","66 and older","Hamburg","4","","",""
"Fully agree","2003","66 and older","Lower Saxony","31","0.0779512273587375","0.0495378104441526","0.106364644273322"
"Fully agree","2003","66 and older","Bremen","1","","",""
"Fully agree","2003","66 and older","North Rhine-Westphalia","78","0.102933975317265","0.0814707835676086","0.124397167066921"
"Fully agree","2003","66 and older","Hesse","35","0.151919408689971","0.105327997981307","0.198510819398634"
"Fully agree","2003","66 and older","Rhineland-Palatinate,Saarland","37","0.143818127903958","0.100664127384986","0.18697212842293"
"Fully agree","2003","66 and older","Baden-Württemberg","41","0.119071655681254","0.0867203201144342","0.151422991248073"
"Fully agree","2003","66 and older","Bavaria","35","0.069997096120934","0.0477443011788273","0.0922498910630407"
"Fully agree","2003","66 and older","Berlin","7","","",""
"Fully agree","2003","66 and older","Brandenburg","23","","",""
"Fully agree","2003","66 and older","Mecklenburg-Western Pomerania","11","","",""
"Fully agree","2003","66 and older","Saxony","27","","",""
"Fully agree","2003","66 and older","Saxony-Anhalt","31","0.200741610937213","0.138481221473817","0.263002000400608"
"Fully agree","2003","66 and older","Thuringia","19","","",""
"Rather agree","2003","16-34 y.","Schleswig-Holstein","47","0.309892008940824","0.235638210695329","0.384145807186319"
"Rather agree","2003","16-34 y.","Hamburg","15","","",""
"Rather agree","2003","16-34 y.","Lower Saxony","144","0.280808538079959","0.241729519304711","0.319887556855207"
"Rather agree","2003","16-34 y.","Bremen","10","","",""
"Rather agree","2003","16-34 y.","North Rhine-Westphalia","391","0.304178232130882","0.278383824468142","0.329972639793621"
"Rather agree","2003","16-34 y.","Hesse","116","0.29088667952158","0.244919040729957","0.336854318313202"
"Rather agree","2003","16-34 y.","Rhineland-Palatinate,Saarland","100","0.321945558311521","0.271149511818681","0.37274160480436"
"Rather agree","2003","16-34 y.","Baden-Württemberg","240","0.356852618807472","0.323296872146621","0.390408365468323"
"Rather agree","2003","16-34 y.","Bavaria","265","0.323878678297302","0.291711992770351","0.356045363824252"
"Rather agree","2003","16-34 y.","Berlin","63","0.276069565762994","0.2187902467809","0.333348884745087"
"Rather agree","2003","16-34 y.","Brandenburg","102","0.436115748071869","0.373636430750802","0.498595065392936"
"Rather agree","2003","16-34 y.","Mecklenburg-Western Pomerania","52","0.374136394941793","0.29564419699296","0.452628592890627"
"Rather agree","2003","16-34 y.","Saxony","163","0.381001105468266","0.334667092046498","0.427335118890035"
"Rather agree","2003","16-34 y.","Saxony-Anhalt","87","0.357286523121641","0.297646298377098","0.416926747866184"
"Rather agree","2003","16-34 y.","Thuringia","94","0.28890306465362","0.236464883380372","0.341341245926869"
"Rather agree","2003","35-65 y.","Schleswig-Holstein","124","0.391305370949933","0.342364234601368","0.440246507298499"
