"plh0193","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Fully agree","2003","Urban Area","1228","0.0897358644828732","0.0851384876358866","0.0943332413298598"
"Fully agree","2003","Rural Area","601","0.089088692083658","0.082555178792471","0.095622205374845"
"Rather agree","2003","Urban Area","4692","0.330302020519228","0.322736505941842","0.337867535096614"
"Rather agree","2003","Rural Area","2680","0.365474208241385","0.354429596650731","0.376518819832038"
"Rather disagree","2003","Urban Area","7299","0.476780540911454","0.468746305226202","0.484814776596706"
"Rather disagree","2003","Rural Area","3507","0.467348096179679","0.455905108734644","0.478791083624714"
"Disagree fully","2003","Urban Area","1627","0.103181574086445","0.0982883320417152","0.108074816131176"
"Disagree fully","2003","Rural Area","515","0.0780890034952782","0.0719352955796618","0.0842427114108946"
"Fully agree","2004","Urban Area","","","",""
"Fully agree","2004","Rural Area","","","",""
"Rather agree","2004","Urban Area","","","",""
"Rather agree","2004","Rural Area","","","",""
"Rather disagree","2004","Urban Area","","","",""
"Rather disagree","2004","Rural Area","","","",""
"Disagree fully","2004","Urban Area","","","",""
"Disagree fully","2004","Rural Area","","","",""
"Fully agree","2005","Urban Area","","","",""
"Fully agree","2005","Rural Area","","","",""
"Rather agree","2005","Urban Area","","","",""
"Rather agree","2005","Rural Area","","","",""
"Rather disagree","2005","Urban Area","","","",""
"Rather disagree","2005","Rural Area","","","",""
"Disagree fully","2005","Urban Area","","","",""
"Disagree fully","2005","Rural Area","","","",""
"Fully agree","2006","Urban Area","","","",""
"Fully agree","2006","Rural Area","","","",""
"Rather agree","2006","Urban Area","","","",""
"Rather agree","2006","Rural Area","","","",""
"Rather disagree","2006","Urban Area","","","",""
"Rather disagree","2006","Rural Area","","","",""
"Disagree fully","2006","Urban Area","","","",""
"Disagree fully","2006","Rural Area","","","",""
"Fully agree","2007","Urban Area","","","",""
"Fully agree","2007","Rural Area","","","",""
"Rather agree","2007","Urban Area","","","",""
"Rather agree","2007","Rural Area","","","",""
"Rather disagree","2007","Urban Area","","","",""
"Rather disagree","2007","Rural Area","","","",""
"Disagree fully","2007","Urban Area","","","",""
"Disagree fully","2007","Rural Area","","","",""
"Fully agree","2008","Urban Area","911","0.0783472659051382","0.0736918803781276","0.0830026514321487"
"Fully agree","2008","Rural Area","482","0.0852717090713147","0.0785065897661998","0.0920368283764296"
"Rather agree","2008","Urban Area","4034","0.337381541689395","0.329190248033734","0.345572835345056"
"Rather agree","2008","Rural Area","2334","0.365894399429379","0.354226690239991","0.377562108618766"
"Rather disagree","2008","Urban Area","6301","0.476250820924265","0.467598360575249","0.48490328127328"
"Rather disagree","2008","Rural Area","3225","0.474686262779633","0.462590322572624","0.486782202986643"
"Disagree fully","2008","Urban Area","1553","0.108020371481202","0.102642748232864","0.11339799472954"
"Disagree fully","2008","Rural Area","506","0.0741476287196734","0.0678009512951214","0.0804943061442254"
"Fully agree","2009","Urban Area","","","",""
"Fully agree","2009","Rural Area","","","",""
"Rather agree","2009","Urban Area","","","",""
"Rather agree","2009","Rural Area","","","",""
"Rather disagree","2009","Urban Area","","","",""
"Rather disagree","2009","Rural Area","","","",""
"Disagree fully","2009","Urban Area","","","",""
"Disagree fully","2009","Rural Area","","","",""
"Fully agree","2010","Urban Area","","","",""
"Fully agree","2010","Rural Area","","","",""
