"plh0193","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Disagree fully","2003","no migration background","Rural Area","469","0.0774406465973963","0.0710632680362409","0.0838180251585517","4"
"Disagree fully","2003","direct migration background","Rural Area","38","0.0836938742816218","0.0582204519649692","0.109167296598274","4"
"Disagree fully","2003","no migration background","Urban Area","1289","0.100212428430859","0.0948420192625352","0.105582837599184","4"
"Disagree fully","2003","direct migration background","Urban Area","268","0.120959962510193","0.107189440889054","0.134730484131332","4"
"Disagree fully","2003","indirect migration background","Urban Area","70","0.094662964649414","0.072691900209243","0.116634029089585","4"
"Disagree fully","2003","indirect migration background","Rural Area","8","","","","4"
"Fully agree","2003","no migration background","Urban Area","870","0.0820063830978685","0.0770993357681272","0.0869134304276098","1"
"Fully agree","2003","no migration background","Rural Area","546","0.0897410964653586","0.0829218135661896","0.0965603793645276","1"
"Fully agree","2003","direct migration background","Urban Area","284","0.127679947717482","0.113586264114537","0.141773631320427","1"
"Fully agree","2003","direct migration background","Rural Area","46","0.0729998073587765","0.0490710065878879","0.0969286081296652","1"
"Fully agree","2003","indirect migration background","Urban Area","74","0.100265353078941","0.0777235542465482","0.122807151911334","1"
"Fully agree","2003","indirect migration background","Rural Area","9","","","","1"
"Rather agree","2003","direct migration background","Rural Area","182","0.448007979096375","0.402264474032253","0.493751484160497","2"
"Rather agree","2003","no migration background","Rural Area","2458","0.357735303496564","0.346298662725944","0.369171944267185","2"
"Rather agree","2003","no migration background","Urban Area","3757","0.329618723069169","0.3212116763315","0.338025769806837","2"
"Rather agree","2003","direct migration background","Urban Area","697","0.320214002927595","0.300511041436997","0.339916964418193","2"
"Rather agree","2003","indirect migration background","Urban Area","238","0.383961345881363","0.347460440411555","0.420462251351172","2"
"Rather agree","2003","indirect migration background","Rural Area","40","0.457192460502784","0.360038643100235","0.554346277905333","2"
"Rather disagree","2003","no migration background","Urban Area","6094","0.488162465402103","0.479222726298643","0.497102204505564","3"
"Rather disagree","2003","no migration background","Rural Area","3275","0.475082953440681","0.463168047556455","0.486997859324907","3"
"Rather disagree","2003","direct migration background","Rural Area","188","0.395298339263227","0.350325196226725","0.440271482299729","3"
"Rather disagree","2003","direct migration background","Urban Area","905","0.43114608684473","0.410232051344193","0.452060122345268","3"
"Rather disagree","2003","indirect migration background","Urban Area","300","0.421110336390282","0.384054915373436","0.458165757407128","3"
