"plh0193","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Fully agree","2003","1-pers.-HH","in school","1","","",""
"Fully agree","2003","1-pers.-HH","inadequately","2","","",""
"Fully agree","2003","1-pers.-HH","general elemantary","64","0.148409561859852","0.114768803722432","0.182050319997272"
"Fully agree","2003","1-pers.-HH","middle vocational","150","0.0928835958313547","0.0784933033044811","0.107273888358228"
"Fully agree","2003","1-pers.-HH","vocational + Abi","9","","",""
"Fully agree","2003","1-pers.-HH","higher vocational","19","","",""
"Fully agree","2003","1-pers.-HH","higher education","18","","",""
"Fully agree","2003","(Married) couple without C. ","in school","","","",""
"Fully agree","2003","(Married) couple without C. ","inadequately","9","","",""
"Fully agree","2003","(Married) couple without C. ","general elemantary","102","0.133537799588971","0.109635746260368","0.157439852917574"
"Fully agree","2003","(Married) couple without C. ","middle vocational","404","0.109331432246688","0.0994679446976156","0.119194919795761"
"Fully agree","2003","(Married) couple without C. ","vocational + Abi","15","","",""
"Fully agree","2003","(Married) couple without C. ","higher vocational","41","0.0792140876328785","0.0571967543188614","0.101231420946896"
"Fully agree","2003","(Married) couple without C. ","higher education","67","0.056187594111324","0.0450728153571448","0.0673023728655032"
"Fully agree","2003","Single parent ","in school","1","","",""
"Fully agree","2003","Single parent ","inadequately","4","","",""
"Fully agree","2003","Single parent ","general elemantary","30","0.132432091692721","0.0889091251647942","0.175955058220649"
"Fully agree","2003","Single parent ","middle vocational","55","0.110228568424946","0.0838143646812084","0.136642772168684"
"Fully agree","2003","Single parent ","vocational + Abi","1","","",""
"Fully agree","2003","Single parent ","higher vocational","3","","",""
"Fully agree","2003","Single parent ","higher education","6","","",""
"Fully agree","2003","Couple + C. LE 16 ","in school","","","",""
"Fully agree","2003","Couple + C. LE 16 ","inadequately","10","","",""
"Fully agree","2003","Couple + C. LE 16 ","general elemantary","56","0.156893125503323","0.117106340471736","0.19667991053491"
"Fully agree","2003","Couple + C. LE 16 ","middle vocational","198","0.0946805806589606","0.082404669272371","0.10695649204555"
"Fully agree","2003","Couple + C. LE 16 ","vocational + Abi","16","","",""
"Fully agree","2003","Couple + C. LE 16 ","higher vocational","26","","",""
"Fully agree","2003","Couple + C. LE 16 ","higher education","36","0.052024719254524","0.0383693132829616","0.0656801252260863"
"Fully agree","2003","Couple + C. GT 16 ","in school","11","","",""
"Fully agree","2003","Couple + C. GT 16 ","inadequately","3","","",""
"Fully agree","2003","Couple + C. GT 16 ","general elemantary","65","0.122044009498612","0.0943066058417484","0.149781413155476"
"Fully agree","2003","Couple + C. GT 16 ","middle vocational","140","0.0765020021411616","0.0646190108428054","0.0883849934395178"
"Fully agree","2003","Couple + C. GT 16 ","vocational + Abi","12","","",""
"Fully agree","2003","Couple + C. GT 16 ","higher vocational","17","","",""
"Fully agree","2003","Couple + C. GT 16 ","higher education","27","","",""
"Fully agree","2003","Couple + C. LE and GT 16","in school","12","","",""
"Fully agree","2003","Couple + C. LE and GT 16","inadequately","9","","",""
"Fully agree","2003","Couple + C. LE and GT 16","general elemantary","29","","",""
"Fully agree","2003","Couple + C. LE and GT 16","middle vocational","52","0.0688382253503","0.0506824336020278","0.0869940170985722"
"Fully agree","2003","Couple + C. LE and GT 16","vocational + Abi","4","","",""
"Fully agree","2003","Couple + C. LE and GT 16","higher vocational","11","","",""
"Fully agree","2003","Couple + C. LE and GT 16","higher education","7","","",""
"Rather agree","2003","1-pers.-HH","in school","","","",""
"Rather agree","2003","1-pers.-HH","inadequately","10","","",""
"Rather agree","2003","1-pers.-HH","general elemantary","131","0.294038595597563","0.250925213409722","0.337151977785404"
"Rather agree","2003","1-pers.-HH","middle vocational","521","0.338701830120721","0.315239235662549","0.362164424578893"
"Rather agree","2003","1-pers.-HH","vocational + Abi","47","0.254575197818931","0.1900337013202","0.319116694317662"
"Rather agree","2003","1-pers.-HH","higher vocational","81","0.34537933331466","0.28240420471064","0.40835446191868"
