"plh0193","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Fully agree","2003","Schleswig-Holstein","in school","","","",""
"Fully agree","2003","Schleswig-Holstein","inadequately","","","",""
"Fully agree","2003","Schleswig-Holstein","general elemantary","14","","",""
"Fully agree","2003","Schleswig-Holstein","middle vocational","23","","",""
"Fully agree","2003","Schleswig-Holstein","vocational + Abi","4","","",""
"Fully agree","2003","Schleswig-Holstein","higher vocational","1","","",""
"Fully agree","2003","Schleswig-Holstein","higher education","3","","",""
"Fully agree","2003","Hamburg","in school","2","","",""
"Fully agree","2003","Hamburg","inadequately","1","","",""
"Fully agree","2003","Hamburg","general elemantary","5","","",""
"Fully agree","2003","Hamburg","middle vocational","8","","",""
"Fully agree","2003","Hamburg","vocational + Abi","","","",""
"Fully agree","2003","Hamburg","higher vocational","","","",""
"Fully agree","2003","Hamburg","higher education","1","","",""
"Fully agree","2003","Lower Saxony","in school","3","","",""
"Fully agree","2003","Lower Saxony","inadequately","1","","",""
"Fully agree","2003","Lower Saxony","general elemantary","36","0.138047570169958","0.0967488373233892","0.179346303016526"
"Fully agree","2003","Lower Saxony","middle vocational","76","0.075735028115879","0.0592708939084659","0.0921991623232921"
"Fully agree","2003","Lower Saxony","vocational + Abi","4","","",""
"Fully agree","2003","Lower Saxony","higher vocational","3","","",""
"Fully agree","2003","Lower Saxony","higher education","9","","",""
"Fully agree","2003","Bremen","in school","","","",""
"Fully agree","2003","Bremen","inadequately","","","",""
"Fully agree","2003","Bremen","general elemantary","","","",""
"Fully agree","2003","Bremen","middle vocational","9","","",""
"Fully agree","2003","Bremen","vocational + Abi","","","",""
"Fully agree","2003","Bremen","higher vocational","","","",""
"Fully agree","2003","Bremen","higher education","","","",""
"Fully agree","2003","North Rhine-Westphalia","in school","6","","",""
"Fully agree","2003","North Rhine-Westphalia","inadequately","14","","",""
"Fully agree","2003","North Rhine-Westphalia","general elemantary","74","0.11838813721874","0.0923197062963469","0.144456568141133"
"Fully agree","2003","North Rhine-Westphalia","middle vocational","216","0.103524913230163","0.090959474053893","0.116090352406433"
"Fully agree","2003","North Rhine-Westphalia","vocational + Abi","22","","",""
"Fully agree","2003","North Rhine-Westphalia","higher vocational","24","","",""
"Fully agree","2003","North Rhine-Westphalia","higher education","32","0.0337914126268885","0.0216226896017776","0.0459601356519993"
"Fully agree","2003","Hesse","in school","3","","",""
"Fully agree","2003","Hesse","inadequately","5","","",""
"Fully agree","2003","Hesse","general elemantary","31","0.158230614973919","0.108513635033025","0.207947594914813"
"Fully agree","2003","Hesse","middle vocational","85","0.117536570648084","0.0936444199367093","0.141428721359459"
"Fully agree","2003","Hesse","vocational + Abi","6","","",""
"Fully agree","2003","Hesse","higher vocational","7","","",""
"Fully agree","2003","Hesse","higher education","17","","",""
"Fully agree","2003","Rhineland-Palatinate,Saarland","in school","1","","",""
"Fully agree","2003","Rhineland-Palatinate,Saarland","inadequately","3","","",""
"Fully agree","2003","Rhineland-Palatinate,Saarland","general elemantary","31","0.147880560429181","0.102103502060905","0.193657618797458"
"Fully agree","2003","Rhineland-Palatinate,Saarland","middle vocational","62","0.0847888779339025","0.0639886272698781","0.105589128597927"
"Fully agree","2003","Rhineland-Palatinate,Saarland","vocational + Abi","1","","",""
"Fully agree","2003","Rhineland-Palatinate,Saarland","higher vocational","15","","",""
"Fully agree","2003","Rhineland-Palatinate,Saarland","higher education","13","","",""
"Fully agree","2003","Baden-Württemberg","in school","3","","",""
"Fully agree","2003","Baden-Württemberg","inadequately","6","","",""
"Fully agree","2003","Baden-Württemberg","general elemantary","70","0.149787910834638","0.117105252659626","0.182470569009649"
"Fully agree","2003","Baden-Württemberg","middle vocational","122","0.0887483297986785","0.0730398380253355","0.104456821572021"
"Fully agree","2003","Baden-Württemberg","vocational + Abi","7","","",""
"Fully agree","2003","Baden-Württemberg","higher vocational","12","","",""
"Fully agree","2003","Baden-Württemberg","higher education","16","","",""
"Fully agree","2003","Bavaria","in school","2","","",""
"Fully agree","2003","Bavaria","inadequately","5","","",""
"Fully agree","2003","Bavaria","general elemantary","39","0.101572610519956","0.071630010343683","0.131515210696228"
"Fully agree","2003","Bavaria","middle vocational","107","0.0747422957088612","0.0619915191176938","0.0874930723000287"
"Fully agree","2003","Bavaria","vocational + Abi","5","","",""
"Fully agree","2003","Bavaria","higher vocational","11","","",""
"Fully agree","2003","Bavaria","higher education","14","","",""
"Fully agree","2003","Berlin","in school","","","",""
"Fully agree","2003","Berlin","inadequately","5","","",""
"Fully agree","2003","Berlin","general elemantary","11","","",""
"Fully agree","2003","Berlin","middle vocational","28","","",""
"Fully agree","2003","Berlin","vocational + Abi","","","",""
"Fully agree","2003","Berlin","higher vocational","2","","",""
"Fully agree","2003","Berlin","higher education","12","","",""
"Fully agree","2003","Brandenburg","in school","2","","",""
"Fully agree","2003","Brandenburg","inadequately","","","",""
"Fully agree","2003","Brandenburg","general elemantary","10","","",""
