"plh0193","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"Disagree fully","2003","16-34 y.","no migration background","457","0.101144814188413","0.0923904370644966","0.10989919131233","4"
"Disagree fully","2003","35-65 y.","indirect migration background","17","","","","4"
"Disagree fully","2003","35-65 y.","no migration background","969","0.0872581708712155","0.0819601718778851","0.0925561698645458","4"
"Disagree fully","2003","16-34 y.","direct migration background","87","0.111363230525693","0.0876139097841305","0.135112551267256","4"
"Disagree fully","2003","16-34 y.","indirect migration background","61","0.0904387220908811","0.0680781586852785","0.112799285496484","4"
"Disagree fully","2003","35-65 y.","direct migration background","176","0.111819414450812","0.09628020958701","0.127358619314615","4"
"Disagree fully","2003","66 and older","no migration background","332","0.096651882967844","0.0865719403373482","0.10673182559834","4"
"Disagree fully","2003","66 and older","direct migration background","43","0.129957733109767","0.0949295429073918","0.164985923312142","4"
"Disagree fully","2003","66 and older","indirect migration background","","","","","4"
"Fully agree","2003","16-34 y.","no migration background","276","0.0648739302657625","0.0577227329075544","0.0720251276239707","1"
"Fully agree","2003","16-34 y.","direct migration background","73","0.0904738892810171","0.068817434723252","0.112130343838782","1"
"Fully agree","2003","16-34 y.","indirect migration background","70","0.103958859766712","0.08016393803479","0.127753781498634","1"
"Fully agree","2003","35-65 y.","no migration background","803","0.0845671901936932","0.0793438413723668","0.0897905390150197","1"
"Fully agree","2003","35-65 y.","direct migration background","205","0.121073859252539","0.104988864219617","0.13715885428546","1"
"Fully agree","2003","35-65 y.","indirect migration background","11","","","","1"
"Fully agree","2003","66 and older","no migration background","337","0.10379757258779","0.0933930541199073","0.114202091055673","1"
"Fully agree","2003","66 and older","direct migration background","52","0.157250165617863","0.119328155156941","0.195172176078786","1"
"Fully agree","2003","66 and older","indirect migration background","2","","","","1"
"Rather agree","2003","35-65 y.","indirect migration background","52","0.401067923712174","0.318997711074618","0.483138136349731","2"
"Rather agree","2003","16-34 y.","no migration background","1456","0.314925795785773","0.301439847129269","0.328411744442277","2"
"Rather agree","2003","16-34 y.","direct migration background","213","0.313517423037139","0.27849358444522","0.348541261629059","2"
