"plh0193","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Fully agree","2003","16-34 y.","Urban Area","288","0.0721741646880136","0.0640650623422115","0.0802832670338157"
"Fully agree","2003","16-34 y.","Rural Area","131","0.0725352835178379","0.0610261451558168","0.084044421879859"
"Fully agree","2003","35-65 y.","Urban Area","684","0.0898207157827954","0.0837426581736926","0.0958987733918982"
"Fully agree","2003","35-65 y.","Rural Area","335","0.0900072269704059","0.0812640741289377","0.0987503798118741"
"Fully agree","2003","66 and older","Urban Area","256","0.109776634336813","0.0973549214499484","0.122198347223678"
"Fully agree","2003","66 and older","Rural Area","135","0.105676570901184","0.0885379640666594","0.122815177735708"
"Rather agree","2003","16-34 y.","Urban Area","1196","0.312756535469275","0.298228490547734","0.327284580390815"
"Rather agree","2003","16-34 y.","Rural Area","693","0.339885025743812","0.318866838133369","0.360903213354256"
"Rather agree","2003","35-65 y.","Urban Area","2726","0.34248790602693","0.332400312465766","0.352575499588095"
"Rather agree","2003","35-65 y.","Rural Area","1536","0.378427747882547","0.36361117697024","0.393244318794853"
"Rather agree","2003","66 and older","Urban Area","770","0.319900655349312","0.301366586173814","0.33843472452481"
"Rather agree","2003","66 and older","Rural Area","451","0.362850786686861","0.336045314259833","0.389656259113889"
"Rather disagree","2003","16-34 y.","Urban Area","1972","0.507940857192339","0.4922746489678","0.523607065416879"
"Rather disagree","2003","16-34 y.","Rural Area","978","0.498324783070657","0.476138373648697","0.520511192492618"
"Rather disagree","2003","35-65 y.","Urban Area","4211","0.469968684161035","0.459359101326693","0.480578266995376"
"Rather disagree","2003","35-65 y.","Rural Area","1963","0.455498908655548","0.440284556804747","0.470713260506349"
"Rather disagree","2003","66 and older","Urban Area","1116","0.45796883039987","0.438171477367395","0.477766183432345"
"Rather disagree","2003","66 and older","Rural Area","566","0.461133671341528","0.433343399387009","0.488923943296047"
"Disagree fully","2003","16-34 y.","Urban Area","456","0.107128442650372","0.0974368409370987","0.116820044363646"
"Disagree fully","2003","16-34 y.","Rural Area","149","0.0892549076676926","0.0766036433698239","0.101906171965561"
"Disagree fully","2003","35-65 y.","Urban Area","880","0.0977226940292393","0.091410493089148","0.104034894969331"
"Disagree fully","2003","35-65 y.","Rural Area","282","0.0760661164914993","0.0679672082746842","0.0841650247083144"
"Disagree fully","2003","66 and older","Urban Area","291","0.112353879914005","0.0998054033658549","0.124902356462154"
"Disagree fully","2003","66 and older","Rural Area","84","0.0703389710704268","0.0560829222443786","0.0845950198964751"
"Fully agree","2004","16-34 y.","Urban Area","","","",""
"Fully agree","2004","16-34 y.","Rural Area","","","",""
"Fully agree","2004","35-65 y.","Urban Area","","","",""
"Fully agree","2004","35-65 y.","Rural Area","","","",""
"Fully agree","2004","66 and older","Urban Area","","","",""
"Fully agree","2004","66 and older","Rural Area","","","",""
"Rather agree","2004","16-34 y.","Urban Area","","","",""
"Rather agree","2004","16-34 y.","Rural Area","","","",""
"Rather agree","2004","35-65 y.","Urban Area","","","",""
"Rather agree","2004","35-65 y.","Rural Area","","","",""
"Rather agree","2004","66 and older","Urban Area","","","",""
"Rather agree","2004","66 and older","Rural Area","","","",""
"Rather disagree","2004","16-34 y.","Urban Area","","","",""
"Rather disagree","2004","16-34 y.","Rural Area","","","",""
"Rather disagree","2004","35-65 y.","Urban Area","","","",""
"Rather disagree","2004","35-65 y.","Rural Area","","","",""
"Rather disagree","2004","66 and older","Urban Area","","","",""
"Rather disagree","2004","66 and older","Rural Area","","","",""
"Disagree fully","2004","16-34 y.","Urban Area","","","",""
"Disagree fully","2004","16-34 y.","Rural Area","","","",""
"Disagree fully","2004","35-65 y.","Urban Area","","","",""
"Disagree fully","2004","35-65 y.","Rural Area","","","",""
"Disagree fully","2004","66 and older","Urban Area","","","",""
"Disagree fully","2004","66 and older","Rural Area","","","",""
"Fully agree","2005","16-34 y.","Urban Area","","","",""
"Fully agree","2005","16-34 y.","Rural Area","","","",""
"Fully agree","2005","35-65 y.","Urban Area","","","",""
"Fully agree","2005","35-65 y.","Rural Area","","","",""
"Fully agree","2005","66 and older","Urban Area","","","",""
"Fully agree","2005","66 and older","Rural Area","","","",""
"Rather agree","2005","16-34 y.","Urban Area","","","",""
"Rather agree","2005","16-34 y.","Rural Area","","","",""
"Rather agree","2005","35-65 y.","Urban Area","","","",""
"Rather agree","2005","35-65 y.","Rural Area","","","",""
"Rather agree","2005","66 and older","Urban Area","","","",""
"Rather agree","2005","66 and older","Rural Area","","","",""
"Rather disagree","2005","16-34 y.","Urban Area","","","",""
"Rather disagree","2005","16-34 y.","Rural Area","","","",""
"Rather disagree","2005","35-65 y.","Urban Area","","","",""
"Rather disagree","2005","35-65 y.","Rural Area","","","",""
"Rather disagree","2005","66 and older","Urban Area","","","",""
"Rather disagree","2005","66 and older","Rural Area","","","",""
"Disagree fully","2005","16-34 y.","Urban Area","","","",""
"Disagree fully","2005","16-34 y.","Rural Area","","","",""
"Disagree fully","2005","35-65 y.","Urban Area","","","",""
"Disagree fully","2005","35-65 y.","Rural Area","","","",""
"Disagree fully","2005","66 and older","Urban Area","","","",""
"Disagree fully","2005","66 and older","Rural Area","","","",""
"Fully agree","2006","16-34 y.","Urban Area","","","",""
"Fully agree","2006","16-34 y.","Rural Area","","","",""
"Fully agree","2006","35-65 y.","Urban Area","","","",""
"Fully agree","2006","35-65 y.","Rural Area","","","",""
"Fully agree","2006","66 and older","Urban Area","","","",""
"Fully agree","2006","66 and older","Rural Area","","","",""
"Rather agree","2006","16-34 y.","Urban Area","","","",""
"Rather agree","2006","16-34 y.","Rural Area","","","",""
"Rather agree","2006","35-65 y.","Urban Area","","","",""
"Rather agree","2006","35-65 y.","Rural Area","","","",""
"Rather agree","2006","66 and older","Urban Area","","","",""
"Rather agree","2006","66 and older","Rural Area","","","",""
"Rather disagree","2006","16-34 y.","Urban Area","","","",""
"Rather disagree","2006","16-34 y.","Rural Area","","","",""
"Rather disagree","2006","35-65 y.","Urban Area","","","",""
"Rather disagree","2006","35-65 y.","Rural Area","","","",""
"Rather disagree","2006","66 and older","Urban Area","","","",""
"Rather disagree","2006","66 and older","Rural Area","","","",""
"Disagree fully","2006","16-34 y.","Urban Area","","","",""
"Disagree fully","2006","16-34 y.","Rural Area","","","",""
"Disagree fully","2006","35-65 y.","Urban Area","","","",""
"Disagree fully","2006","35-65 y.","Rural Area","","","",""
"Disagree fully","2006","66 and older","Urban Area","","","",""
"Disagree fully","2006","66 and older","Rural Area","","","",""
"Fully agree","2007","16-34 y.","Urban Area","","","",""
"Fully agree","2007","16-34 y.","Rural Area","","","",""
"Fully agree","2007","35-65 y.","Urban Area","","","",""
"Fully agree","2007","35-65 y.","Rural Area","","","",""
"Fully agree","2007","66 and older","Urban Area","","","",""
"Fully agree","2007","66 and older","Rural Area","","","",""
"Rather agree","2007","16-34 y.","Urban Area","","","",""
"Rather agree","2007","16-34 y.","Rural Area","","","",""
"Rather agree","2007","35-65 y.","Urban Area","","","",""
"Rather agree","2007","35-65 y.","Rural Area","","","",""
"Rather agree","2007","66 and older","Urban Area","","","",""
"Rather agree","2007","66 and older","Rural Area","","","",""
"Rather disagree","2007","16-34 y.","Urban Area","","","",""
"Rather disagree","2007","16-34 y.","Rural Area","","","",""
"Rather disagree","2007","35-65 y.","Urban Area","","","",""
"Rather disagree","2007","35-65 y.","Rural Area","","","",""
"Rather disagree","2007","66 and older","Urban Area","","","",""
"Rather disagree","2007","66 and older","Rural Area","","","",""
"Disagree fully","2007","16-34 y.","Urban Area","","","",""
"Disagree fully","2007","16-34 y.","Rural Area","","","",""
"Disagree fully","2007","35-65 y.","Urban Area","","","",""
"Disagree fully","2007","35-65 y.","Rural Area","","","",""
"Disagree fully","2007","66 and older","Urban Area","","","",""
"Disagree fully","2007","66 and older","Rural Area","","","",""
"Fully agree","2008","16-34 y.","Urban Area","166","0.0611599741727946","0.0524402314410483","0.0698797169045409"
"Fully agree","2008","16-34 y.","Rural Area","87","0.0750199544790722","0.0615123740200946","0.0885275349380498"
"Fully agree","2008","35-65 y.","Urban Area","487","0.0783203556687281","0.0720460490138391","0.0845946623236172"
"Fully agree","2008","35-65 y.","Rural Area","254","0.0888697558575992","0.0795911797325265","0.0981483319826719"
"Fully agree","2008","66 and older","Urban Area","258","0.0952684357040031","0.0844974488739982","0.106039422534008"
"Fully agree","2008","66 and older","Rural Area","141","0.0878415939074208","0.0733861326602783","0.102297055154563"
"Rather agree","2008","16-34 y.","Urban Area","821","0.304428510459853","0.28768340934809","0.321173611571616"
"Rather agree","2008","16-34 y.","Rural Area","497","0.340992192186818","0.316684681769398","0.365299702604238"
"Rather agree","2008","35-65 y.","Urban Area","2277","0.348522247072874","0.337394596875214","0.359649897270534"
"Rather agree","2008","35-65 y.","Rural Area","1357","0.38555938951601","0.36968855701396","0.401430222018061"
"Rather agree","2008","66 and older","Urban Area","936","0.344923100359187","0.327483826823549","0.362362373894825"
"Rather agree","2008","66 and older","Rural Area","480","0.347387126499456","0.323071727750127","0.371702525248785"
"Rather disagree","2008","16-34 y.","Urban Area","1523","0.515400022827013","0.497213982992948","0.533586062661077"
"Rather disagree","2008","16-34 y.","Rural Area","756","0.500622764431307","0.474984262208114","0.526261266654499"
"Rather disagree","2008","35-65 y.","Urban Area","3493","0.475196622837404","0.4635346130739","0.486858632600909"
"Rather disagree","2008","35-65 y.","Rural Area","1735","0.458038483352854","0.441792375990259","0.47428459071545"
"Rather disagree","2008","66 and older","Urban Area","1285","0.440189603712257","0.421977442875374","0.45840176454914"
"Rather disagree","2008","66 and older","Rural Area","734","0.485276721131707","0.459753919096316","0.510799523167098"
"Disagree fully","2008","16-34 y.","Urban Area","391","0.11901149254034","0.107228548936697","0.130794436143983"
"Disagree fully","2008","16-34 y.","Rural Area","121","0.0833650889028031","0.0691904080699396","0.0975397697356667"
"Disagree fully","2008","35-65 y.","Urban Area","787","0.0979607744209935","0.0910188923119094","0.104902656530078"
"Disagree fully","2008","35-65 y.","Rural Area","267","0.0675323712735365","0.0593498528485756","0.0757148896984974"
"Disagree fully","2008","66 and older","Urban Area","375","0.119618860224553","0.10771312275768","0.131524597691426"
"Disagree fully","2008","66 and older","Rural Area","118","0.0794945584614161","0.0656802675194061","0.0933088494034262"
"Fully agree","2009","16-34 y.","Urban Area","","","",""
"Fully agree","2009","16-34 y.","Rural Area","","","",""
"Fully agree","2009","35-65 y.","Urban Area","","","",""
"Fully agree","2009","35-65 y.","Rural Area","","","",""
"Fully agree","2009","66 and older","Urban Area","","","",""
"Fully agree","2009","66 and older","Rural Area","","","",""
"Rather agree","2009","16-34 y.","Urban Area","","","",""
