"plh0193","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Fully agree","2003","no migration background","(0) in school","17","","",""
"Fully agree","2003","no migration background","(1a) inadequately completed","15","","",""
"Fully agree","2003","no migration background","(1b) general elementary school","214","0.140491346872399","0.122430080094885","0.158552613649912"
"Fully agree","2003","no migration background","(1c) basic vocational qualification","599","0.112675759452461","0.104249282829166","0.121102236075756"
"Fully agree","2003","no migration background","(2b) intermediate general qualification","36","0.0906830234282815","0.0656130734106134","0.11575297344595"
"Fully agree","2003","no migration background","(2a) intermediate vocational","328","0.071586163242124","0.064340447341433","0.0788318791428149"
"Fully agree","2003","no migration background","(2c_gen) general maturity certificate","16","","",""
"Fully agree","2003","no migration background","(2c_voc) vocational maturity certificate","44","0.0318463009775373","0.0220093833590212","0.0416832185960533"
"Fully agree","2003","no migration background","(3a) lower tertiary education","76","0.0578158550990993","0.0464540337549793","0.0691776764432192"
"Fully agree","2003","no migration background","(3b) higher tertiary education","57","0.0360530114149586","0.0284260053001583","0.0436800175297589"
"Fully agree","2003","direct migration background","(0) in school","2","","",""
"Fully agree","2003","direct migration background","(1a) inadequately completed","27","","",""
"Fully agree","2003","direct migration background","(1b) general elementary school","85","0.12584591389281","0.0994167174397528","0.152275110345867"
"Fully agree","2003","direct migration background","(1c) basic vocational qualification","118","0.167606604807572","0.140785304316423","0.194427905298721"
"Fully agree","2003","direct migration background","(2b) intermediate general qualification","8","","",""
"Fully agree","2003","direct migration background","(2a) intermediate vocational","14","","",""
"Fully agree","2003","direct migration background","(2c_gen) general maturity certificate","10","","",""
"Fully agree","2003","direct migration background","(2c_voc) vocational maturity certificate","28","","",""
"Fully agree","2003","direct migration background","(3a) lower tertiary education","5","","",""
"Fully agree","2003","direct migration background","(3b) higher tertiary education","27","","",""
"Fully agree","2003","indirect migration background","(0) in school","8","","",""
"Fully agree","2003","indirect migration background","(1a) inadequately completed","3","","",""
"Fully agree","2003","indirect migration background","(1b) general elementary school","21","","",""
"Fully agree","2003","indirect migration background","(1c) basic vocational qualification","21","","",""
"Fully agree","2003","indirect migration background","(2b) intermediate general qualification","4","","",""
"Fully agree","2003","indirect migration background","(2a) intermediate vocational","12","","",""
"Fully agree","2003","indirect migration background","(2c_gen) general maturity certificate","8","","",""
"Fully agree","2003","indirect migration background","(2c_voc) vocational maturity certificate","2","","",""
"Fully agree","2003","indirect migration background","(3a) lower tertiary education","","","",""
