"plh0193","year","migback","n","percent","lower_confidence","upper_confidence"
"Fully agree","2003","no migration background","1416","0.0846115878021956","0.0806289349483177","0.0885942406560735"
"Fully agree","2003","direct migration background","330","0.118147496250234","0.10575940102795","0.130535591472519"
"Fully agree","2003","indirect migration background","83","0.104611780088199","0.0831748202532187","0.126048739923179"
"Rather agree","2003","no migration background","6215","0.339088944410132","0.332314352349887","0.345863536470378"
"Rather agree","2003","direct migration background","879","0.342492473093254","0.324279947391457","0.36070499879505"
"Rather agree","2003","indirect migration background","278","0.392858403914395","0.358650203499546","0.427066604329244"
"Rather disagree","2003","no migration background","9369","0.483757026638797","0.476605552950429","0.490908500327166"
"Rather disagree","2003","direct migration background","1093","0.424896707969894","0.405924891818186","0.443868524121601"
"Rather disagree","2003","indirect migration background","344","0.407993977548234","0.373570309223749","0.442417645872718"
"Disagree fully","2003","no migration background","1758","0.0925424411488745","0.0883953988771643","0.0966894834205847"
"Disagree fully","2003","direct migration background","306","0.114463322686619","0.102244461004815","0.126682184368422"
"Disagree fully","2003","indirect migration background","78","0.0945358384491724","0.0740430487655426","0.115028628132802"
"Fully agree","2004","no migration background","","","",""
"Fully agree","2004","direct migration background","","","",""
"Fully agree","2004","indirect migration background","","","",""
"Rather agree","2004","no migration background","","","",""
"Rather agree","2004","direct migration background","","","",""
"Rather agree","2004","indirect migration background","","","",""
"Rather disagree","2004","no migration background","","","",""
"Rather disagree","2004","direct migration background","","","",""
"Rather disagree","2004","indirect migration background","","","",""
"Disagree fully","2004","no migration background","","","",""
"Disagree fully","2004","direct migration background","","","",""
"Disagree fully","2004","indirect migration background","","","",""
"Fully agree","2005","no migration background","","","",""
"Fully agree","2005","direct migration background","","","",""
"Fully agree","2005","indirect migration background","","","",""
"Rather agree","2005","no migration background","","","",""
"Rather agree","2005","direct migration background","","","",""
"Rather agree","2005","indirect migration background","","","",""
"Rather disagree","2005","no migration background","","","",""
"Rather disagree","2005","direct migration background","","","",""
"Rather disagree","2005","indirect migration background","","","",""
"Disagree fully","2005","no migration background","","","",""
"Disagree fully","2005","direct migration background","","","",""
"Disagree fully","2005","indirect migration background","","","",""
"Fully agree","2006","no migration background","","","",""
"Fully agree","2006","direct migration background","","","",""
"Fully agree","2006","indirect migration background","","","",""
"Rather agree","2006","no migration background","","","",""
"Rather agree","2006","direct migration background","","","",""
"Rather agree","2006","indirect migration background","","","",""
"Rather disagree","2006","no migration background","","","",""
"Rather disagree","2006","direct migration background","","","",""
"Rather disagree","2006","indirect migration background","","","",""
"Disagree fully","2006","no migration background","","","",""
"Disagree fully","2006","direct migration background","","","",""
"Disagree fully","2006","indirect migration background","","","",""
"Fully agree","2007","no migration background","","","",""
"Fully agree","2007","direct migration background","","","",""
"Fully agree","2007","indirect migration background","","","",""
"Rather agree","2007","no migration background","","","",""
"Rather agree","2007","direct migration background","","","",""
"Rather agree","2007","indirect migration background","","","",""
"Rather disagree","2007","no migration background","","","",""
"Rather disagree","2007","direct migration background","","","",""
"Rather disagree","2007","indirect migration background","","","",""
"Disagree fully","2007","no migration background","","","",""
"Disagree fully","2007","direct migration background","","","",""
"Disagree fully","2007","indirect migration background","","","",""
"Fully agree","2008","no migration background","1102","0.0713848536816236","0.0674770198532163","0.0752926875100309"
"Fully agree","2008","direct migration background","226","0.138743977865151","0.123196540518284","0.154291415212018"
"Fully agree","2008","indirect migration background","65","0.0839658546287248","0.0644023513076558","0.103529357949794"
"Rather agree","2008","no migration background","5462","0.345350688698162","0.338133805265795","0.35256757213053"
"Rather agree","2008","direct migration background","646","0.349153429447494","0.327713019985726","0.370593838909261"
"Rather agree","2008","indirect migration background","260","0.357194789952215","0.323393623108065","0.390995956796365"
"Rather disagree","2008","no migration background","8299","0.481305108106842","0.473721403809604","0.488888812404079"
"Rather disagree","2008","direct migration background","859","0.440739421474872","0.41840968174393","0.463069161205815"
"Rather disagree","2008","indirect migration background","368","0.472911944176616","0.437693418638462","0.508130469714769"
