"plh0193","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Fully agree","2003","Schleswig-Holstein","lower secondary degree","29","","",""
"Fully agree","2003","Schleswig-Holstein","secondary school degree","8","","",""
"Fully agree","2003","Schleswig-Holstein","college entrance qualification","7","","",""
"Fully agree","2003","Schleswig-Holstein","Other degree","1","","",""
"Fully agree","2003","Schleswig-Holstein","no degree/no degree yet","","","",""
"Fully agree","2003","Hamburg","lower secondary degree","9","","",""
"Fully agree","2003","Hamburg","secondary school degree","4","","",""
"Fully agree","2003","Hamburg","college entrance qualification","1","","",""
"Fully agree","2003","Hamburg","Other degree","","","",""
"Fully agree","2003","Hamburg","no degree/no degree yet","3","","",""
"Fully agree","2003","Lower Saxony","lower secondary degree","86","0.113494655193063","0.0902446285889225","0.136744681797203"
"Fully agree","2003","Lower Saxony","secondary school degree","28","","",""
"Fully agree","2003","Lower Saxony","college entrance qualification","9","","",""
"Fully agree","2003","Lower Saxony","Other degree","4","","",""
"Fully agree","2003","Lower Saxony","no degree/no degree yet","5","","",""
"Fully agree","2003","Bremen","lower secondary degree","4","","",""
"Fully agree","2003","Bremen","secondary school degree","4","","",""
"Fully agree","2003","Bremen","college entrance qualification","1","","",""
"Fully agree","2003","Bremen","Other degree","","","",""
"Fully agree","2003","Bremen","no degree/no degree yet","","","",""
"Fully agree","2003","North Rhine-Westphalia","lower secondary degree","212","0.131066955062902","0.115146060834664","0.14698784929114"
"Fully agree","2003","North Rhine-Westphalia","secondary school degree","59","0.0547840359150604","0.0406800902336448","0.0688879815964759"
"Fully agree","2003","North Rhine-Westphalia","college entrance qualification","44","0.0344877872519653","0.0245911408475704","0.0443844336563603"
"Fully agree","2003","North Rhine-Westphalia","Other degree","55","0.142799534568398","0.105278098433517","0.180320970703278"
"Fully agree","2003","North Rhine-Westphalia","no degree/no degree yet","17","","",""
"Fully agree","2003","Hesse","lower secondary degree","77","0.136734329456705","0.106220646581311","0.167248012332099"
"Fully agree","2003","Hesse","secondary school degree","23","","",""
"Fully agree","2003","Hesse","college entrance qualification","17","","",""
"Fully agree","2003","Hesse","Other degree","27","","",""
"Fully agree","2003","Hesse","no degree/no degree yet","10","","",""
"Fully agree","2003","Rhineland-Palatinate,Saarland","lower secondary degree","78","0.118906381667918","0.0936713902380741","0.144141373097761"
"Fully agree","2003","Rhineland-Palatinate,Saarland","secondary school degree","25","","",""
"Fully agree","2003","Rhineland-Palatinate,Saarland","college entrance qualification","11","","",""
"Fully agree","2003","Rhineland-Palatinate,Saarland","Other degree","7","","",""
"Fully agree","2003","Rhineland-Palatinate,Saarland","no degree/no degree yet","5","","",""
"Fully agree","2003","Baden-Württemberg","lower secondary degree","109","0.101814759201414","0.0826953387586175","0.12093417964421"
"Fully agree","2003","Baden-Württemberg","secondary school degree","47","0.0808548797062894","0.0595674622531592","0.10214229715942"
"Fully agree","2003","Baden-Württemberg","college entrance qualification","21","","",""
"Fully agree","2003","Baden-Württemberg","Other degree","48","0.154457801060123","0.113495432178722","0.195420169941525"
"Fully agree","2003","Baden-Württemberg","no degree/no degree yet","9","","",""
"Fully agree","2003","Bavaria","lower secondary degree","108","0.0821515609490679","0.0673325543992889","0.0969705674988469"
"Fully agree","2003","Bavaria","secondary school degree","37","0.0621297592688667","0.0449339996867506","0.0793255188509829"
"Fully agree","2003","Bavaria","college entrance qualification","13","","",""
"Fully agree","2003","Bavaria","Other degree","16","","",""
"Fully agree","2003","Bavaria","no degree/no degree yet","8","","",""
"Fully agree","2003","Berlin","lower secondary degree","22","","",""
"Fully agree","2003","Berlin","secondary school degree","19","","",""
"Fully agree","2003","Berlin","college entrance qualification","8","","",""
"Fully agree","2003","Berlin","Other degree","4","","",""
"Fully agree","2003","Berlin","no degree/no degree yet","5","","",""
"Fully agree","2003","Brandenburg","lower secondary degree","40","0.146020474037658","0.10413172663875","0.187909221436566"
"Fully agree","2003","Brandenburg","secondary school degree","31","0.0898575132470802","0.0623101641681352","0.117404862326025"
"Fully agree","2003","Brandenburg","college entrance qualification","11","","",""
"Fully agree","2003","Brandenburg","Other degree","2","","",""
"Fully agree","2003","Brandenburg","no degree/no degree yet","2","","",""
"Fully agree","2003","Mecklenburg-Western Pomerania","lower secondary degree","21","","",""
"Fully agree","2003","Mecklenburg-Western Pomerania","secondary school degree","27","","",""
"Fully agree","2003","Mecklenburg-Western Pomerania","college entrance qualification","1","","",""
"Fully agree","2003","Mecklenburg-Western Pomerania","Other degree","","","",""
"Fully agree","2003","Mecklenburg-Western Pomerania","no degree/no degree yet","1","","",""
"Fully agree","2003","Saxony","lower secondary degree","42","0.0947776093854786","0.0675937458998736","0.121961472871084"
"Fully agree","2003","Saxony","secondary school degree","45","0.0641580830933505","0.0466912516249503","0.0816249145617506"
"Fully agree","2003","Saxony","college entrance qualification","8","","",""
"Fully agree","2003","Saxony","Other degree","","","",""
"Fully agree","2003","Saxony","no degree/no degree yet","2","","",""
"Fully agree","2003","Saxony-Anhalt","lower secondary degree","73","0.240801320585536","0.193050604705478","0.288552036465595"
"Fully agree","2003","Saxony-Anhalt","secondary school degree","33","0.0985990698765156","0.0688969108840308","0.128301228869"
"Fully agree","2003","Saxony-Anhalt","college entrance qualification","9","","",""
"Fully agree","2003","Saxony-Anhalt","Other degree","2","","",""
"Fully agree","2003","Saxony-Anhalt","no degree/no degree yet","3","","",""
"Fully agree","2003","Thuringia","lower secondary degree","47","0.19555167811927","0.152027297642439","0.239076058596101"
"Fully agree","2003","Thuringia","secondary school degree","44","0.125188757330469","0.0939460041371734","0.156431510523765"
"Fully agree","2003","Thuringia","college entrance qualification","15","","",""
"Fully agree","2003","Thuringia","Other degree","","","",""
"Fully agree","2003","Thuringia","no degree/no degree yet","2","","",""
"Rather agree","2003","Schleswig-Holstein","lower secondary degree","96","0.361050339443725","0.303759734295009","0.418340944592441"
"Rather agree","2003","Schleswig-Holstein","secondary school degree","51","0.365249187048122","0.292439408183547","0.438058965912698"
"Rather agree","2003","Schleswig-Holstein","college entrance qualification","44","0.303636402835053","0.23347454702361","0.373798258646497"
"Rather agree","2003","Schleswig-Holstein","Other degree","7","","",""
"Rather agree","2003","Schleswig-Holstein","no degree/no degree yet","6","","",""
"Rather agree","2003","Hamburg","lower secondary degree","20","","",""
"Rather agree","2003","Hamburg","secondary school degree","21","","",""
"Rather agree","2003","Hamburg","college entrance qualification","21","","",""
"Rather agree","2003","Hamburg","Other degree","2","","",""
"Rather agree","2003","Hamburg","no degree/no degree yet","1","","",""
"Rather agree","2003","Lower Saxony","lower secondary degree","241","0.341139638686569","0.306389395135677","0.375889882237461"
"Rather agree","2003","Lower Saxony","secondary school degree","195","0.36086644123789","0.321371362654291","0.400361519821488"
"Rather agree","2003","Lower Saxony","college entrance qualification","87","0.201142370863228","0.163298466881975","0.238986274844482"
"Rather agree","2003","Lower Saxony","Other degree","31","0.360633145638159","0.257329196567964","0.463937094708354"
