"plh0193","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"Fully agree","2003","in school","27","","",""
"Fully agree","2003","inadequately","42","0.164145708944383","0.118947805169616","0.209343612719151"
"Fully agree","2003","general elemantary","364","0.134761502445903","0.121973494004611","0.147549510887195"
"Fully agree","2003","middle vocational","1034","0.0970691322885135","0.0915636169204638","0.102574647656563"
"Fully agree","2003","vocational + Abi","59","0.0405167598577324","0.029175324250148","0.0518581954653168"
"Fully agree","2003","higher vocational","119","0.0734581549242381","0.0610089081262591","0.0859074017222171"
"Fully agree","2003","higher education","165","0.0497853170497916","0.0433188847199628","0.0562517493796204"
"Rather agree","2003","in school","146","0.230651914686497","0.197386135099057","0.263917694273937"
"Rather agree","2003","inadequately","96","0.406344367264607","0.346413211038539","0.466275523490674"
"Rather agree","2003","general elemantary","989","0.355228049588282","0.337305129494437","0.373150969682127"
"Rather agree","2003","middle vocational","4006","0.364649806966811","0.355698741519051","0.37360087241457"
"Rather agree","2003","vocational + Abi","360","0.304651655308499","0.278176716511445","0.331126594105553"
"Rather agree","2003","higher vocational","591","0.345149927592444","0.322463538154777","0.367836317030111"
"Rather agree","2003","higher education","1112","0.273538809446686","0.260285665492135","0.286791953401236"
"Rather disagree","2003","in school","339","0.570453998962247","0.531363349180836","0.609544648743658"
"Rather disagree","2003","inadequately","97","0.339330020780633","0.281554793000778","0.397105248560488"
"Rather disagree","2003","general elemantary","1155","0.422226557190882","0.40372945756021","0.440723656821554"
"Rather disagree","2003","middle vocational","5179","0.456815326170386","0.447551844588881","0.466078807751891"
"Rather disagree","2003","vocational + Abi","622","0.535243829884491","0.5065545004111","0.563933159357882"
"Rather disagree","2003","higher vocational","830","0.494523360724351","0.470665335115778","0.518381386332925"
"Rather disagree","2003","higher education","2472","0.541380395794499","0.526566107219053","0.556194684369945"
"Disagree fully","2003","in school","104","0.151092648129802","0.122810685193601","0.179374611066004"
"Disagree fully","2003","inadequately","23","","",""
"Disagree fully","2003","general elemantary","231","0.0877838907749334","0.0771862704436749","0.0983815111061919"
"Disagree fully","2003","middle vocational","889","0.0814657345742899","0.0763786925490102","0.0865527765995695"
"Disagree fully","2003","vocational + Abi","120","0.119587754949278","0.100923168372409","0.138252341526146"
"Disagree fully","2003","higher vocational","147","0.0868685567589667","0.0734288899592749","0.100308223558659"
"Disagree fully","2003","higher education","597","0.135295477709024","0.125126466281428","0.145464489136619"
"Fully agree","2004","in school","","","",""
"Fully agree","2004","inadequately","","","",""
"Fully agree","2004","general elemantary","","","",""
"Fully agree","2004","middle vocational","","","",""
"Fully agree","2004","vocational + Abi","","","",""
"Fully agree","2004","higher vocational","","","",""
"Fully agree","2004","higher education","","","",""
"Rather agree","2004","in school","","","",""
"Rather agree","2004","inadequately","","","",""
"Rather agree","2004","general elemantary","","","",""
"Rather agree","2004","middle vocational","","","",""
"Rather agree","2004","vocational + Abi","","","",""
"Rather agree","2004","higher vocational","","","",""
"Rather agree","2004","higher education","","","",""
"Rather disagree","2004","in school","","","",""
"Rather disagree","2004","inadequately","","","",""
"Rather disagree","2004","general elemantary","","","",""
"Rather disagree","2004","middle vocational","","","",""
"Rather disagree","2004","vocational + Abi","","","",""
"Rather disagree","2004","higher vocational","","","",""
"Rather disagree","2004","higher education","","","",""
"Disagree fully","2004","in school","","","",""
"Disagree fully","2004","inadequately","","","",""
"Disagree fully","2004","general elemantary","","","",""
"Disagree fully","2004","middle vocational","","","",""
"Disagree fully","2004","vocational + Abi","","","",""
"Disagree fully","2004","higher vocational","","","",""
"Disagree fully","2004","higher education","","","",""
"Fully agree","2005","in school","","","",""
"Fully agree","2005","inadequately","","","",""
"Fully agree","2005","general elemantary","","","",""
"Fully agree","2005","middle vocational","","","",""
"Fully agree","2005","vocational + Abi","","","",""
"Fully agree","2005","higher vocational","","","",""
"Fully agree","2005","higher education","","","",""
"Rather agree","2005","in school","","","",""
"Rather agree","2005","inadequately","","","",""
"Rather agree","2005","general elemantary","","","",""
"Rather agree","2005","middle vocational","","","",""
"Rather agree","2005","vocational + Abi","","","",""
"Rather agree","2005","higher vocational","","","",""
"Rather agree","2005","higher education","","","",""
"Rather disagree","2005","in school","","","",""
"Rather disagree","2005","inadequately","","","",""
"Rather disagree","2005","general elemantary","","","",""
"Rather disagree","2005","middle vocational","","","",""
"Rather disagree","2005","vocational + Abi","","","",""
"Rather disagree","2005","higher vocational","","","",""
"Rather disagree","2005","higher education","","","",""
"Disagree fully","2005","in school","","","",""
"Disagree fully","2005","inadequately","","","",""
"Disagree fully","2005","general elemantary","","","",""
"Disagree fully","2005","middle vocational","","","",""
"Disagree fully","2005","vocational + Abi","","","",""
"Disagree fully","2005","higher vocational","","","",""
"Disagree fully","2005","higher education","","","",""
"Fully agree","2006","in school","","","",""
"Fully agree","2006","inadequately","","","",""
"Fully agree","2006","general elemantary","","","",""
"Fully agree","2006","middle vocational","","","",""
"Fully agree","2006","vocational + Abi","","","",""
"Fully agree","2006","higher vocational","","","",""
"Fully agree","2006","higher education","","","",""
"Rather agree","2006","in school","","","",""
"Rather agree","2006","inadequately","","","",""
"Rather agree","2006","general elemantary","","","",""
"Rather agree","2006","middle vocational","","","",""
"Rather agree","2006","vocational + Abi","","","",""
"Rather agree","2006","higher vocational","","","",""
