"ple0181","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Schleswig-Holstein","in school","1","","",""
"Daily","2016","Schleswig-Holstein","inadequately","1","","",""
"Daily","2016","Schleswig-Holstein","general elemantary","10","","",""
"Daily","2016","Schleswig-Holstein","middle vocational","12","","",""
"Daily","2016","Schleswig-Holstein","vocational + Abi","4","","",""
"Daily","2016","Schleswig-Holstein","higher vocational","","","",""
"Daily","2016","Schleswig-Holstein","higher education","1","","",""
"Daily","2016","Hamburg","in school","","","",""
"Daily","2016","Hamburg","inadequately","","","",""
"Daily","2016","Hamburg","general elemantary","1","","",""
"Daily","2016","Hamburg","middle vocational","4","","",""
"Daily","2016","Hamburg","vocational + Abi","2","","",""
"Daily","2016","Hamburg","higher vocational","1","","",""
"Daily","2016","Hamburg","higher education","1","","",""
"Daily","2016","Lower Saxony","in school","3","","",""
"Daily","2016","Lower Saxony","inadequately","4","","",""
"Daily","2016","Lower Saxony","general elemantary","15","","",""
"Daily","2016","Lower Saxony","middle vocational","35","0.0432176375444031","0.03113474995367","0.0553005251351363"
"Daily","2016","Lower Saxony","vocational + Abi","8","","",""
"Daily","2016","Lower Saxony","higher vocational","4","","",""
"Daily","2016","Lower Saxony","higher education","7","","",""
"Daily","2016","Bremen","in school","1","","",""
"Daily","2016","Bremen","inadequately","","","",""
"Daily","2016","Bremen","general elemantary","","","",""
"Daily","2016","Bremen","middle vocational","5","","",""
"Daily","2016","Bremen","vocational + Abi","1","","",""
"Daily","2016","Bremen","higher vocational","","","",""
"Daily","2016","Bremen","higher education","1","","",""
"Daily","2016","North Rhine-Westphalia","in school","7","","",""
"Daily","2016","North Rhine-Westphalia","inadequately","14","","",""
"Daily","2016","North Rhine-Westphalia","general elemantary","29","","",""
"Daily","2016","North Rhine-Westphalia","middle vocational","61","0.0243993758033204","0.0178610269057962","0.0309377247008446"
"Daily","2016","North Rhine-Westphalia","vocational + Abi","17","","",""
"Daily","2016","North Rhine-Westphalia","higher vocational","3","","",""
"Daily","2016","North Rhine-Westphalia","higher education","19","","",""
"Daily","2016","Hesse","in school","2","","",""
"Daily","2016","Hesse","inadequately","1","","",""
"Daily","2016","Hesse","general elemantary","4","","",""
"Daily","2016","Hesse","middle vocational","14","","",""
"Daily","2016","Hesse","vocational + Abi","2","","",""
