"ple0181","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","2016","lower secondary degree","in school","","","",""
"Daily","2016","lower secondary degree","inadequately","","","",""
"Daily","2016","lower secondary degree","general elemantary","51","0.02076302563405","0.0131170293309793","0.0284090219371206"
"Daily","2016","lower secondary degree","middle vocational","80","0.015087495674126","0.0112965210618372","0.0188784702864148"
"Daily","2016","lower secondary degree","vocational + Abi","","","",""
"Daily","2016","lower secondary degree","higher vocational","4","","",""
"Daily","2016","lower secondary degree","higher education","3","","",""
"Daily","2016","secondary school degree","in school","","","",""
"Daily","2016","secondary school degree","inadequately","","","",""
"Daily","2016","secondary school degree","general elemantary","27","","",""
"Daily","2016","secondary school degree","middle vocational","90","0.0213076294699703","0.0171596912952884","0.0254555676446521"
"Daily","2016","secondary school degree","vocational + Abi","","","",""
"Daily","2016","secondary school degree","higher vocational","11","","",""
"Daily","2016","secondary school degree","higher education","11","","",""
"Daily","2016","college entrance qualification","in school","","","",""
"Daily","2016","college entrance qualification","inadequately","","","",""
"Daily","2016","college entrance qualification","general elemantary","","","",""
"Daily","2016","college entrance qualification","middle vocational","25","","",""
"Daily","2016","college entrance qualification","vocational + Abi","28","","",""
"Daily","2016","college entrance qualification","higher vocational","10","","",""
"Daily","2016","college entrance qualification","higher education","37","0.0105652064176302","0.00740028708435872","0.0137301257509016"
"Daily","2016","Other degree","in school","","","",""
"Daily","2016","Other degree","inadequately","5","","",""
"Daily","2016","Other degree","general elemantary","20","","",""
"Daily","2016","Other degree","middle vocational","40","0.0397269112012607","0.0275786744901224","0.051875147912399"
"Daily","2016","Other degree","vocational + Abi","22","","",""
"Daily","2016","Other degree","higher vocational","","","",""
"Daily","2016","Other degree","higher education","31","0.0250321965416866","0.0153976335348052","0.0346667595485679"
"Daily","2016","no degree/no degree yet","in school","22","","",""
"Daily","2016","no degree/no degree yet","inadequately","22","","",""
"Daily","2016","no degree/no degree yet","general elemantary","","","",""
"Daily","2016","no degree/no degree yet","middle vocational","8","","",""
"Daily","2016","no degree/no degree yet","vocational + Abi","","","",""
"Daily","2016","no degree/no degree yet","higher vocational","","","",""
"Daily","2016","no degree/no degree yet","higher education","","","",""
"Four to six days a week","2016","lower secondary degree","in school","","","",""
"Four to six days a week","2016","lower secondary degree","inadequately","","","",""
"Four to six days a week","2016","lower secondary degree","general elemantary","146","0.104874842084543","0.0884454155943735","0.121304268574713"
"Four to six days a week","2016","lower secondary degree","middle vocational","349","0.0866434426143092","0.0778949849084138","0.0953919003202046"
"Four to six days a week","2016","lower secondary degree","vocational + Abi","","","",""
