"ple0181","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Full Time","lower secondary degree","46","0.0206384746225879","0.0136037526741441","0.0276731965710317"
"Daily","2016","Full Time","secondary school degree","59","0.0210412796595583","0.0156975055424532","0.0263850537766633"
"Daily","2016","Full Time","college entrance qualification","53","0.0244548422191986","0.0189822448272211","0.029927439611176"
"Daily","2016","Full Time","Other degree","49","0.039724742617429","0.0289532762139424","0.0504962090209156"
"Daily","2016","Full Time","no degree/no degree yet","8","","",""
"Daily","2016","Part Time","lower secondary degree","30","0.0124682763161666","0.00631690672184244","0.0186196459104908"
"Daily","2016","Part Time","secondary school degree","34","0.0187109726755807","0.0127440211896422","0.0246779241615193"
"Daily","2016","Part Time","college entrance qualification","20","","",""
"Daily","2016","Part Time","Other degree","37","0.0213436799417232","0.0126059929007307","0.0300813669827158"
"Daily","2016","Part Time","no degree/no degree yet","16","","",""
"Daily","2016","Not Working","lower secondary degree","62","0.0162932978694871","0.0117076588032628","0.0208789369357114"
"Daily","2016","Not Working","secondary school degree","46","0.0266385575015176","0.0191852272066958","0.0340918877963394"
"Daily","2016","Not Working","college entrance qualification","27","","",""
"Daily","2016","Not Working","Other degree","32","0.0329973173708352","0.021504480052443","0.0444901546892273"
"Daily","2016","Not Working","no degree/no degree yet","28","","",""
"Four to six days a week","2016","Full Time","lower secondary degree","178","0.106814176487456","0.0915307061574635","0.122097646817448"
"Four to six days a week","2016","Full Time","secondary school degree","257","0.0990772186787668","0.0879532305733296","0.110201206784204"
"Four to six days a week","2016","Full Time","college entrance qualification","221","0.0800931044776937","0.070475722205784","0.0897104867496033"
"Four to six days a week","2016","Full Time","Other degree","177","0.136010887538946","0.117105421487016","0.154916353590876"
"Four to six days a week","2016","Full Time","no degree/no degree yet","16","","",""
"Four to six days a week","2016","Part Time","lower secondary degree","126","0.118634502699174","0.10070878246277","0.136560222935578"
"Four to six days a week","2016","Part Time","secondary school degree","193","0.106150841100265","0.0925864691218572","0.119715213078672"
"Four to six days a week","2016","Part Time","college entrance qualification","170","0.0895820221691526","0.0774625555544062","0.101701488783899"
"Four to six days a week","2016","Part Time","Other degree","128","0.116583586924819","0.097181512263642","0.135985661585996"
"Four to six days a week","2016","Part Time","no degree/no degree yet","32","0.144857911495745","0.0963220595600078","0.193393763431483"
"Four to six days a week","2016","Not Working","lower secondary degree","218","0.0697307299947786","0.0605054618539054","0.0789559981356518"
"Four to six days a week","2016","Not Working","secondary school degree","139","0.0774850627687934","0.0651098223673383","0.0898603031702485"
"Four to six days a week","2016","Not Working","college entrance qualification","98","0.0656712155502565","0.0532348637373991","0.0781075673631139"
"Four to six days a week","2016","Not Working","Other degree","104","0.0806202760074423","0.0631039223920504","0.0981366296228343"
"Four to six days a week","2016","Not Working","no degree/no degree yet","69","0.113408839833645","0.0856427720001788","0.141174907667112"
"Two to three days a week","2016","Full Time","lower secondary degree","641","0.38697780374816","0.362877764667794","0.411077842828527"
"Two to three days a week","2016","Full Time","secondary school degree","1178","0.408568799377145","0.390266125423536","0.426871473330755"
"Two to three days a week","2016","Full Time","college entrance qualification","1272","0.404202058825566","0.386814599082116","0.421589518569017"
"Two to three days a week","2016","Full Time","Other degree","606","0.445143244734784","0.417734651336604","0.472551838132964"
"Two to three days a week","2016","Full Time","no degree/no degree yet","51","0.525458705006152","0.430397906173988","0.620519503838315"
"Two to three days a week","2016","Part Time","lower secondary degree","533","0.377370220813093","0.350498725039294","0.404241716586892"
"Two to three days a week","2016","Part Time","secondary school degree","832","0.386287195403564","0.364846266252167","0.40772812455496"
"Two to three days a week","2016","Part Time","college entrance qualification","905","0.411155235273904","0.39027400971419","0.432036460833618"
"Two to three days a week","2016","Part Time","Other degree","501","0.426885519848302","0.396981943213322","0.456789096483282"
"Two to three days a week","2016","Part Time","no degree/no degree yet","90","0.447874005839814","0.379298434914656","0.516449576764973"
"Two to three days a week","2016","Not Working","lower secondary degree","1078","0.365089435933334","0.347650560932781","0.382528310933887"
"Two to three days a week","2016","Not Working","secondary school degree","677","0.352602659134209","0.330487697338396","0.374717620930022"
"Two to three days a week","2016","Not Working","college entrance qualification","553","0.353026413351481","0.329032422828386","0.377020403874576"
"Two to three days a week","2016","Not Working","Other degree","462","0.501329603751434","0.469160232575099","0.533498974927769"
"Two to three days a week","2016","Not Working","no degree/no degree yet","237","0.439625324963601","0.396163312773659","0.483087337153542"
"Two to four days a month","2016","Full Time","lower secondary degree","495","0.347587220128098","0.324024265381811","0.371150174874384"
"Two to four days a month","2016","Full Time","secondary school degree","931","0.343137130433995","0.325460436502089","0.360813824365902"
"Two to four days a month","2016","Full Time","college entrance qualification","1078","0.343345540915202","0.326521840257069","0.360169241573335"
"Two to four days a month","2016","Full Time","Other degree","304","0.278664316844414","0.253938206429413","0.303390427259414"
"Two to four days a month","2016","Full Time","no degree/no degree yet","20","","",""
"Two to four days a month","2016","Part Time","lower secondary degree","361","0.305016600345166","0.27949299397648","0.330540206713852"
"Two to four days a month","2016","Part Time","secondary school degree","668","0.34917963241703","0.328187291395144","0.370171973438917"
"Two to four days a month","2016","Part Time","college entrance qualification","665","0.299403698542238","0.279967328274635","0.31884006880984"
"Two to four days a month","2016","Part Time","Other degree","280","0.295349053170207","0.267768590686213","0.322929515654201"
