"ple0181","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Schleswig-Holstein","lower secondary degree","12","","",""
"Daily","2016","Schleswig-Holstein","secondary school degree","7","","",""
"Daily","2016","Schleswig-Holstein","college entrance qualification","3","","",""
"Daily","2016","Schleswig-Holstein","Other degree","5","","",""
"Daily","2016","Schleswig-Holstein","no degree/no degree yet","2","","",""
"Daily","2016","Hamburg","lower secondary degree","2","","",""
"Daily","2016","Hamburg","secondary school degree","2","","",""
"Daily","2016","Hamburg","college entrance qualification","2","","",""
"Daily","2016","Hamburg","Other degree","3","","",""
"Daily","2016","Hamburg","no degree/no degree yet","","","",""
"Daily","2016","Lower Saxony","lower secondary degree","10","","",""
"Daily","2016","Lower Saxony","secondary school degree","17","","",""
"Daily","2016","Lower Saxony","college entrance qualification","21","","",""
"Daily","2016","Lower Saxony","Other degree","21","","",""
"Daily","2016","Lower Saxony","no degree/no degree yet","6","","",""
"Daily","2016","Bremen","lower secondary degree","2","","",""
"Daily","2016","Bremen","secondary school degree","3","","",""
"Daily","2016","Bremen","college entrance qualification","","","",""
"Daily","2016","Bremen","Other degree","2","","",""
"Daily","2016","Bremen","no degree/no degree yet","1","","",""
"Daily","2016","North Rhine-Westphalia","lower secondary degree","43","0.0242842099486202","0.0155273906559408","0.0330410292412997"
"Daily","2016","North Rhine-Westphalia","secondary school degree","26","","",""
"Daily","2016","North Rhine-Westphalia","college entrance qualification","25","","",""
"Daily","2016","North Rhine-Westphalia","Other degree","32","0.0512131339262088","0.0356435238271306","0.0667827440252871"
"Daily","2016","North Rhine-Westphalia","no degree/no degree yet","22","","",""
"Daily","2016","Hesse","lower secondary degree","6","","",""
"Daily","2016","Hesse","secondary school degree","7","","",""
"Daily","2016","Hesse","college entrance qualification","7","","",""
"Daily","2016","Hesse","Other degree","9","","",""
"Daily","2016","Hesse","no degree/no degree yet","3","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","lower secondary degree","7","","",""
