"ple0181","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Daily","2016","16-34 y.","236","0.0346924893904252","0.0298836072217986","0.0395013715590518"
"Daily","2016","35-65 y.","282","0.0190720659466168","0.0167866971415133","0.0213574347517203"
"Daily","2016","66 and older","58","0.0135577788450064","0.0102331349828937","0.0168824227071191"
"Four to six days a week","2016","16-34 y.","770","0.13835668054256","0.129283545172136","0.147429815912983"
"Four to six days a week","2016","35-65 y.","1230","0.0899876023340487","0.0852062156379988","0.0947689890300987"
"Four to six days a week","2016","66 and older","260","0.0557367641715967","0.0491414961724404","0.062332032170753"
"Two to three days a week","2016","16-34 y.","2479","0.440750218536772","0.427703756924829","0.453796680148716"
"Two to three days a week","2016","35-65 y.","5971","0.405846795648195","0.39764197378188","0.414051617514511"
"Two to three days a week","2016","66 and older","1558","0.329148451153774","0.31563942157379","0.342657480733758"
"Two to four days a month","2016","16-34 y.","1340","0.241273575804092","0.230030347068309","0.252516804539874"
"Two to four days a month","2016","35-65 y.","4471","0.342626553666839","0.334696877320907","0.350556230012771"
"Two to four days a month","2016","66 and older","1832","0.389647050669376","0.375627268956869","0.403666832381882"
"Once a month or less","2016","16-34 y.","435","0.0849795237001009","0.0776518501399222","0.0923071972602796"
"Once a month or less","2016","35-65 y.","1313","0.10646186889279","0.101308485397997","0.111615252387583"
"Once a month or less","2016","66 and older","703","0.154127955312021","0.14374769903445","0.164508211589593"
"Never","2016","16-34 y.","303","0.0599475120260501","0.0537093709177674","0.0661856531343329"
"Never","2016","35-65 y.","493","0.03600511351151","0.0328922625245279","0.0391179644984921"
"Never","2016","66 and older","237","0.0577819998482262","0.0510740931372141","0.0644899065592383"
"Daily","2017","16-34 y.","","","",""
"Daily","2017","35-65 y.","","","",""
"Daily","2017","66 and older","","","",""
"Four to six days a week","2017","16-34 y.","","","",""
"Four to six days a week","2017","35-65 y.","","","",""
"Four to six days a week","2017","66 and older","","","",""
"Two to three days a week","2017","16-34 y.","","","",""
"Two to three days a week","2017","35-65 y.","","","",""
"Two to three days a week","2017","66 and older","","","",""
"Two to four days a month","2017","16-34 y.","","","",""
"Two to four days a month","2017","35-65 y.","","","",""
"Two to four days a month","2017","66 and older","","","",""
"Once a month or less","2017","16-34 y.","","","",""
"Once a month or less","2017","35-65 y.","","","",""
"Once a month or less","2017","66 and older","","","",""
"Never","2017","16-34 y.","","","",""
"Never","2017","35-65 y.","","","",""
"Never","2017","66 and older","","","",""
"Daily","2018","16-34 y.","324","0.0477015321629791","0.0423135340594769","0.0530895302664812"
"Daily","2018","35-65 y.","324","0.0213666634159557","0.0190176229015327","0.0237157039303786"
"Daily","2018","66 and older","41","0.00668022392067738","0.00440820157022518","0.00895224627112958"
"Four to six days a week","2018","16-34 y.","885","0.151137414870665","0.142082603287631","0.160192226453698"
"Four to six days a week","2018","35-65 y.","1319","0.0893831347928832","0.0847485825115082","0.0940176870742583"
"Four to six days a week","2018","66 and older","303","0.0639916651709875","0.0571655421341333","0.0708177882078418"
"Two to three days a week","2018","16-34 y.","2535","0.414605253481674","0.402151033349625","0.427059473613723"
"Two to three days a week","2018","35-65 y.","6161","0.421853927960099","0.413831386164827","0.429876469755371"
"Two to three days a week","2018","66 and older","1724","0.332226439950263","0.319089196313299","0.345363683587226"
"Two to four days a month","2018","16-34 y.","1421","0.24289189056016","0.232051119232106","0.253732661888214"
"Two to four days a month","2018","35-65 y.","4796","0.327867134178794","0.320241277158043","0.335492991199546"
"Two to four days a month","2018","66 and older","1896","0.386107526354699","0.372528368517238","0.399686684192159"
"Once a month or less","2018","16-34 y.","449","0.0775866459157929","0.070823776421799","0.0843495154097868"
"Once a month or less","2018","35-65 y.","1376","0.0983423808549909","0.0935050773432902","0.103179684366692"
"Once a month or less","2018","66 and older","719","0.152613127863075","0.14258293322376","0.16264332250239"
"Never","2018","16-34 y.","397","0.0660772630087297","0.0597973124548256","0.0723572135626337"
"Never","2018","35-65 y.","581","0.0411867587972768","0.0379585771086571","0.0444149404858965"
"Never","2018","66 and older","255","0.0583810167402987","0.0518414951486721","0.0649205383319254"
