"year","age_gr","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2016","16-34 y.","college entrance qualification","4.21","4","1707","3","4","5","6","6","4.16","4.26","1","6","4","4"
"2016","16-34 y.","lower secondary degree","4.26","4","783","3","4","5","6","6","4.18","4.34","1","6","4","4"
"2016","16-34 y.","no degree/no degree yet","4.34","4","432","3","4","5","6","6","4.24","4.44","1","6","4","4"
"2016","16-34 y.","Other degree","4.06","4","691","3","3","5","5","6","3.98","4.14","1","6","4","4"
"2016","16-34 y.","secondary school degree","4.34","4","1230","3","4","5","6","6","4.28","4.4","1","6","4","4"
"2016","35-65 y.","college entrance qualification","3.96","4","4055","3","4","4","5","6","3.93","3.99","1","6","4","4"
"2016","35-65 y.","lower secondary degree","4.01","4","2674","3","3","5","5","6","3.97","4.05","1","6","4","4"
"2016","35-65 y.","no degree/no degree yet","4.04","4","322","3","3","5","5","6","3.92","4.16","1","6","4","4"
"2016","35-65 y.","Other degree","3.81","4","2256","3","3","4","5","6","3.77","3.85","1","6","4","4"
"2016","35-65 y.","secondary school degree","3.99","4","4273","3","3","5","5","6","3.96","4.02","1","6","4","4"
"2016","66 and older","college entrance qualification","3.68","4","969","3","3","4","5","6","3.62","3.74","1","6","4","4"
"2016","66 and older","lower secondary degree","3.8","4","2295","3","3","4","5","6","3.76","3.84","1","6","4","4"
"2016","66 and older","no degree/no degree yet","3.8","4","57","3","3","4","5","5","3.55","4.05","2","6","4","4"
"2016","66 and older","Other degree","3.67","4","295","3","3","4","5","6","3.57","3.77","1","6","3","4"
"2016","66 and older","secondary school degree","3.67","4","1033","3","3","4","5","6","3.62","3.72","1","6","4","4"
"2017","16-34 y.","college entrance qualification","","","","","","","","","","","","","",""
"2017","16-34 y.","lower secondary degree","","","","","","","","","","","","","",""
"2017","16-34 y.","no degree/no degree yet","","","","","","","","","","","","","",""
"2017","16-34 y.","Other degree","","","","","","","","","","","","","",""
"2017","16-34 y.","secondary school degree","","","","","","","","","","","","","",""
"2017","35-65 y.","college entrance qualification","","","","","","","","","","","","","",""
"2017","35-65 y.","lower secondary degree","","","","","","","","","","","","","",""
"2017","35-65 y.","no degree/no degree yet","","","","","","","","","","","","","",""
"2017","35-65 y.","Other degree","","","","","","","","","","","","","",""
"2017","35-65 y.","secondary school degree","","","","","","","","","","","","","",""
"2017","66 and older","college entrance qualification","","","","","","","","","","","","","",""
"2017","66 and older","lower secondary degree","","","","","","","","","","","","","",""
"2017","66 and older","no degree/no degree yet","","","","","","","","","","","","","",""
"2017","66 and older","Other degree","","","","","","","","","","","","","",""
"2017","66 and older","secondary school degree","","","","","","","","","","","","","",""
"2018","16-34 y.","college entrance qualification","4.24","4","2130","3","4","5","6","6","4.2","4.28","1","6","4","4"
"2018","16-34 y.","lower secondary degree","4.39","4","775","3","4","5","6","6","4.31","4.47","1","6","4","5"
"2018","16-34 y.","no degree/no degree yet","4.34","4","473","3","4","5","6","6","4.24","4.44","1","6","4","4"
"2018","16-34 y.","Other degree","4.23","4","497","3","4","5","6","6","4.14","4.32","1","6","4","4"
"2018","16-34 y.","secondary school degree","4.27","4","1276","3","4","5","6","6","4.21","4.33","1","6","4","4"
"2018","35-65 y.","college entrance qualification","4.01","4","4408","3","4","4","5","6","3.98","4.04","1","6","4","4"
"2018","35-65 y.","lower secondary degree","4.06","4","2654","3","3","5","5","6","4.02","4.1","1","6","4","4"
"2018","35-65 y.","no degree/no degree yet","4.1","4","351","3","3","5","6","6","3.98","4.22","1","6","4","4"
"2018","35-65 y.","Other degree","3.94","4","2101","3","3","4","5","6","3.9","3.98","1","6","4","4"
"2018","35-65 y.","secondary school degree","4.02","4","4673","3","4","5","5","6","3.99","4.05","1","6","4","4"
"2018","66 and older","college entrance qualification","3.74","4","1071","3","3","4","5","6","3.69","3.79","1","6","4","4"
"2018","66 and older","lower secondary degree","3.85","4","2212","3","3","4","5","6","3.81","3.89","1","6","4","4"
"2018","66 and older","no degree/no degree yet","3.92","4","65","3","3","4","5","6","3.69","4.15","2","6","4","4"
"2018","66 and older","Other degree","3.64","4","349","3","3","4","5","6","3.55","3.73","1","6","4","4"
"2018","66 and older","secondary school degree","3.73","4","1209","3","3","4","5","6","3.68","3.78","1","6","4","4"
