"plh0221","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","(0) in school","58","0.100377694921903","0.0773469527541854","0.123408437089622"
"1 Strongly disagree","2005","(1a) inadequately completed","37","0.141116255274089","0.0976115480016288","0.184620962546549"
"1 Strongly disagree","2005","(1b) general elementary school","186","0.0987990523250916","0.0852348079510604","0.112363296699123"
"1 Strongly disagree","2005","(1c) basic vocational qualification","726","0.134159814720916","0.125311127245573","0.14300850219626"
"1 Strongly disagree","2005","(2b) intermediate general qualification","58","0.103348832106468","0.0785318642793605","0.128165799933576"
"1 Strongly disagree","2005","(2a) intermediate vocational","514","0.108208333170175","0.0994120932949169","0.117004573045434"
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","62","0.0709744506762025","0.0531360298157964","0.0888128715366086"
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","144","0.0984068145765302","0.0833979954383162","0.113415633714744"
"1 Strongly disagree","2005","(3a) lower tertiary education","188","0.1233404417366","0.107483796658119","0.139197086815082"
"1 Strongly disagree","2005","(3b) higher tertiary education","251","0.10393959722407","0.0920052840187131","0.115873910429428"
"2 on scale 1-7 ","2005","(0) in school","118","0.168373215255032","0.139694482714332","0.197051947795731"
"2 on scale 1-7 ","2005","(1a) inadequately completed","32","0.131012693879008","0.0888484863681808","0.173176901389835"
"2 on scale 1-7 ","2005","(1b) general elementary school","277","0.150136153085577","0.133898408139816","0.166373898031337"
"2 on scale 1-7 ","2005","(1c) basic vocational qualification","921","0.170696927759422","0.160928644336598","0.180465211182246"
"2 on scale 1-7 ","2005","(2b) intermediate general qualification","78","0.125916817858124","0.098870856461993","0.152962779254255"
"2 on scale 1-7 ","2005","(2a) intermediate vocational","861","0.17624060160042","0.165451428021751","0.187029775179089"
"2 on scale 1-7 ","2005","(2c_gen) general maturity certificate","163","0.184856686711365","0.15789009096973","0.211823282453"
"2 on scale 1-7 ","2005","(2c_voc) vocational maturity certificate","319","0.205631110609681","0.185266122955116","0.225996098264246"
"2 on scale 1-7 ","2005","(3a) lower tertiary education","370","0.223565154502392","0.203474335761105","0.24365597324368"
"2 on scale 1-7 ","2005","(3b) higher tertiary education","610","0.225278846115257","0.208941888312651","0.241615803917864"
"3 on scale 1-7 ","2005","(0) in school","128","0.215573336654134","0.184057204535999","0.247089468772268"
"3 on scale 1-7 ","2005","(1a) inadequately completed","45","0.206658421216227","0.156059972847476","0.257256869584977"
"3 on scale 1-7 ","2005","(1b) general elementary school","275","0.142450094609217","0.126562085914468","0.158338103303967"
"3 on scale 1-7 ","2005","(1c) basic vocational qualification","858","0.143147671081162","0.134054949428223","0.152240392734101"
"3 on scale 1-7 ","2005","(2b) intermediate general qualification","106","0.190866030913229","0.158828524209965","0.222903537616492"
"3 on scale 1-7 ","2005","(2a) intermediate vocational","830","0.173348419034627","0.16262937145888","0.184067466610373"
"3 on scale 1-7 ","2005","(2c_gen) general maturity certificate","147","0.208951989222532","0.180708637560439","0.237195340884626"
"3 on scale 1-7 ","2005","(2c_voc) vocational maturity certificate","278","0.177455197632928","0.158204220844912","0.196706174420943"
