"plh0221","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Urban Area","West Germany","1384","0.118182258604129","0.112424517967366","0.123939999240892"
"1 Strongly disagree","2005","Urban Area","East Germany","177","0.106050048938017","0.0916570698380901","0.120443028037945"
"1 Strongly disagree","2005","Rural Area","West Germany","393","0.109844973645483","0.09956596557077","0.120123981720196"
"1 Strongly disagree","2005","Rural Area","East Germany","306","0.101802908395517","0.0914591453155665","0.112146671475467"
"2 on scale 1-7 ","2005","Urban Area","West Germany","2309","0.186749896232553","0.179799192346048","0.193700600119058"
"2 on scale 1-7 ","2005","Urban Area","East Germany","319","0.168650750706696","0.151147264789787","0.186154236623606"
"2 on scale 1-7 ","2005","Rural Area","West Germany","620","0.173127166639405","0.160689747763913","0.185564585514896"
"2 on scale 1-7 ","2005","Rural Area","East Germany","569","0.158414513785815","0.145924605406582","0.170904422165047"
"3 on scale 1-7 ","2005","Urban Area","West Germany","2066","0.163670167377599","0.157071441361982","0.170268893393216"
"3 on scale 1-7 ","2005","Urban Area","East Germany","286","0.173262214517486","0.155570314363006","0.190954114671966"
"3 on scale 1-7 ","2005","Rural Area","West Germany","611","0.160172438053734","0.148116049296407","0.172228826811062"
"3 on scale 1-7 ","2005","Rural Area","East Germany","540","0.16932965294211","0.156500632046223","0.182158673837997"
"4 on scale 1-7","2005","Urban Area","West Germany","2280","0.190053021290467","0.183055371193074","0.197050671387861"
"4 on scale 1-7","2005","Urban Area","East Germany","341","0.204019245101232","0.185181647843506","0.222856842358958"
"4 on scale 1-7","2005","Rural Area","West Germany","683","0.202983937754771","0.189762074475248","0.216205801034293"
"4 on scale 1-7","2005","Rural Area","East Germany","650","0.189330320590471","0.175929089391475","0.202731551789467"
"5 on scale 1-7","2005","Urban Area","West Germany","1996","0.165970149718472","0.15933436437357","0.172605935063373"
"5 on scale 1-7","2005","Urban Area","East Germany","328","0.184862926241092","0.166717010484539","0.203008841997645"
"5 on scale 1-7","2005","Rural Area","West Germany","602","0.166014005166415","0.153782496400342","0.178245513932489"
"5 on scale 1-7","2005","Rural Area","East Germany","606","0.186222245183157","0.17290601370913","0.199538476657183"
"6 on scale 1-7","2005","Urban Area","West Germany","1295","0.108407005576916","0.102862044055121","0.11395196709871"
"6 on scale 1-7","2005","Urban Area","East Germany","206","0.100617497271263","0.0865554799656861","0.11467951457684"
"6 on scale 1-7","2005","Rural Area","West Germany","411","0.106367389074282","0.0962326623565063","0.116502115792058"
"6 on scale 1-7","2005","Rural Area","East Germany","423","0.131845449717378","0.120272508544381","0.143418390890376"
