"plh0221","year","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Male","1347","0.141823041671536","0.134942551592585","0.148703531750487"
"1 Strongly disagree","2005","Female","913","0.0874897501227631","0.0821599107975405","0.0928195894479858"
"2 on scale 1-7 ","2005","Male","2128","0.204773970704693","0.196815305794187","0.212732635615199"
"2 on scale 1-7 ","2005","Female","1689","0.155832550941366","0.148990913687556","0.162674188195176"
"3 on scale 1-7 ","2005","Male","1783","0.174666080614837","0.167177893553028","0.182154267676646"
"3 on scale 1-7 ","2005","Female","1720","0.154567112722794","0.147748205692907","0.161386019752682"
"4 on scale 1-7","2005","Male","1796","0.191678835904285","0.183915710406546","0.199441961402024"
"4 on scale 1-7","2005","Female","2158","0.194977960029164","0.187504644832982","0.202451275225345"
"5 on scale 1-7","2005","Male","1493","0.148293415971876","0.14128429610215","0.155302535841601"
"5 on scale 1-7","2005","Female","2039","0.189724076725579","0.182328120291354","0.197120033159804"
"6 on scale 1-7","2005","Male","906","0.0865058154746547","0.0809616894201589","0.0920499415291505"
"6 on scale 1-7","2005","Female","1429","0.132664210130641","0.126265577525867","0.139062842735415"
"7 Strongly agree","2005","Male","423","0.0522588396581196","0.0478696706613471","0.0566480086548921"
"7 Strongly agree","2005","Female","848","0.0847443393276927","0.0794909061320839","0.0899977725233015"
"1 Strongly disagree","2006","Male","","","",""
"1 Strongly disagree","2006","Female","","","",""
"2 on scale 1-7 ","2006","Male","","","",""
"2 on scale 1-7 ","2006","Female","","","",""
"3 on scale 1-7 ","2006","Male","","","",""
"3 on scale 1-7 ","2006","Female","","","",""
"4 on scale 1-7","2006","Male","","","",""
"4 on scale 1-7","2006","Female","","","",""
"5 on scale 1-7","2006","Male","","","",""
"5 on scale 1-7","2006","Female","","","",""
"6 on scale 1-7","2006","Male","","","",""
"6 on scale 1-7","2006","Female","","","",""
"7 Strongly agree","2006","Male","","","",""
"7 Strongly agree","2006","Female","","","",""
"1 Strongly disagree","2007","Male","","","",""
"1 Strongly disagree","2007","Female","","","",""
"2 on scale 1-7 ","2007","Male","","","",""
"2 on scale 1-7 ","2007","Female","","","",""
"3 on scale 1-7 ","2007","Male","","","",""
"3 on scale 1-7 ","2007","Female","","","",""
"4 on scale 1-7","2007","Male","","","",""
"4 on scale 1-7","2007","Female","","","",""
"5 on scale 1-7","2007","Male","","","",""
"5 on scale 1-7","2007","Female","","","",""
"6 on scale 1-7","2007","Male","","","",""
"6 on scale 1-7","2007","Female","","","",""
"7 Strongly agree","2007","Male","","","",""
"7 Strongly agree","2007","Female","","","",""
"1 Strongly disagree","2008","Male","","","",""
"1 Strongly disagree","2008","Female","","","",""
"2 on scale 1-7 ","2008","Male","","","",""
"2 on scale 1-7 ","2008","Female","","","",""
"3 on scale 1-7 ","2008","Male","","","",""
"3 on scale 1-7 ","2008","Female","","","",""
"4 on scale 1-7","2008","Male","","","",""
"4 on scale 1-7","2008","Female","","","",""
