"plh0221","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Schleswig-Holstein","no migration background","78","0.110769127102927","0.0847984487656905","0.136739805440163"
"1 Strongly disagree","2005","Schleswig-Holstein","direct migration background","5","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","indirect migration background","2","","",""
"1 Strongly disagree","2005","Hamburg","no migration background","23","","",""
"1 Strongly disagree","2005","Hamburg","direct migration background","","","",""
"1 Strongly disagree","2005","Hamburg","indirect migration background","1","","",""
"1 Strongly disagree","2005","Lower Saxony","no migration background","200","0.139828703665751","0.12249059198556","0.157166815345942"
"1 Strongly disagree","2005","Lower Saxony","direct migration background","24","","",""
"1 Strongly disagree","2005","Lower Saxony","indirect migration background","5","","",""
"1 Strongly disagree","2005","Bremen","no migration background","25","","",""
"1 Strongly disagree","2005","Bremen","direct migration background","1","","",""
"1 Strongly disagree","2005","Bremen","indirect migration background","","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","no migration background","405","0.123938329191691","0.112969978478488","0.134906679904894"
"1 Strongly disagree","2005","North Rhine-Westphalia","direct migration background","102","0.170145053904475","0.141168776561037","0.199121331247913"
"1 Strongly disagree","2005","North Rhine-Westphalia","indirect migration background","26","","",""
"1 Strongly disagree","2005","Hesse","no migration background","116","0.119329621344267","0.0999958294731592","0.138663413215374"
"1 Strongly disagree","2005","Hesse","direct migration background","23","","",""
"1 Strongly disagree","2005","Hesse","indirect migration background","9","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","no migration background","147","0.144960828566506","0.123183752324868","0.166737904808143"
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","direct migration background","26","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","indirect migration background","5","","",""
"1 Strongly disagree","2005","Baden-Württemberg","no migration background","157","0.0906587216931651","0.0772712654393434","0.104046177946987"
"1 Strongly disagree","2005","Baden-Württemberg","direct migration background","49","0.0855776030690599","0.0619176197215122","0.109237586416608"
"1 Strongly disagree","2005","Baden-Württemberg","indirect migration background","21","","",""
"1 Strongly disagree","2005","Bavaria","no migration background","232","0.0979505883316479","0.0861514598934969","0.109749716769799"
"1 Strongly disagree","2005","Bavaria","direct migration background","31","0.0887644984352327","0.0584448118057418","0.119084185064724"
"1 Strongly disagree","2005","Bavaria","indirect migration background","7","","",""
"1 Strongly disagree","2005","Berlin","no migration background","81","0.0968956414454536","0.074429314920882","0.119361967970025"
"1 Strongly disagree","2005","Berlin","direct migration background","7","","",""
"1 Strongly disagree","2005","Berlin","indirect migration background","7","","",""
"1 Strongly disagree","2005","Brandenburg","no migration background","92","0.118013264222001","0.096575232800375","0.139451295643627"
"1 Strongly disagree","2005","Brandenburg","direct migration background","","","",""
"1 Strongly disagree","2005","Brandenburg","indirect migration background","2","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","no migration background","53","0.131948114731394","0.101921068194898","0.16197516126789"
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","direct migration background","","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"1 Strongly disagree","2005","Saxony","no migration background","123","0.0912018252173745","0.0765542199242595","0.10584943051049"
"1 Strongly disagree","2005","Saxony","direct migration background","2","","",""
"1 Strongly disagree","2005","Saxony","indirect migration background","","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","no migration background","98","0.121599731453231","0.0998451325669643","0.143354330339497"
"1 Strongly disagree","2005","Saxony-Anhalt","direct migration background","","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","indirect migration background","1","","",""
"1 Strongly disagree","2005","Thuringia","no migration background","73","0.102962172138617","0.0827560753205018","0.123168268956733"
"1 Strongly disagree","2005","Thuringia","direct migration background","1","","",""
"1 Strongly disagree","2005","Thuringia","indirect migration background","","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","no migration background","126","0.246285888496615","0.210633408246956","0.281938368746274"
"2 on scale 1-7 ","2005","Schleswig-Holstein","direct migration background","10","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","indirect migration background","1","","",""
"2 on scale 1-7 ","2005","Hamburg","no migration background","45","0.142487527873111","0.100080631805697","0.184894423940525"
"2 on scale 1-7 ","2005","Hamburg","direct migration background","4","","",""
"2 on scale 1-7 ","2005","Hamburg","indirect migration background","1","","",""
"2 on scale 1-7 ","2005","Lower Saxony","no migration background","275","0.179724653160587","0.160529357142706","0.198919949178469"
