"plh0221","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","Urban Area","1251","0.1176394400933","0.111660924636139","0.12361795555046"
"1 Strongly disagree","2005","no migration background","Rural Area","652","0.109070913641721","0.10139099556145","0.116750831721992"
"1 Strongly disagree","2005","direct migration background","Urban Area","233","0.116870636825379","0.102633307414466","0.131107966236292"
"1 Strongly disagree","2005","direct migration background","Rural Area","38","0.092485835616132","0.0642005944202335","0.12077107681203"
"1 Strongly disagree","2005","indirect migration background","Urban Area","77","0.107104803651774","0.0845476545517","0.129661952751847"
"1 Strongly disagree","2005","indirect migration background","Rural Area","9","","",""
"2 on scale 1-7 ","2005","no migration background","Urban Area","2151","0.190334666991657","0.183050069517859","0.197619264465455"
"2 on scale 1-7 ","2005","no migration background","Rural Area","1105","0.166753050480744","0.157569633525227","0.175936467436262"
"2 on scale 1-7 ","2005","direct migration background","Urban Area","341","0.158621258771323","0.142431509269318","0.174811008273328"
"2 on scale 1-7 ","2005","direct migration background","Rural Area","63","0.167567505329475","0.131103448686681","0.204031561972268"
"2 on scale 1-7 ","2005","indirect migration background","Urban Area","136","0.183874254108772","0.155617745866473","0.212130762351071"
"2 on scale 1-7 ","2005","indirect migration background","Rural Area","21","","",""
"3 on scale 1-7 ","2005","no migration background","Urban Area","1881","0.160155317544257","0.153349755337346","0.166960879751168"
"3 on scale 1-7 ","2005","no migration background","Rural Area","1060","0.163973529864725","0.154851795305217","0.173095264424233"
"3 on scale 1-7 ","2005","direct migration background","Urban Area","336","0.176791928455839","0.15988558481038","0.193698272101299"
"3 on scale 1-7 ","2005","direct migration background","Rural Area","74","0.172523955989204","0.135634862187579","0.209413049790828"
"3 on scale 1-7 ","2005","indirect migration background","Urban Area","135","0.197979664250356","0.16891385132097","0.227045477179742"
"3 on scale 1-7 ","2005","indirect migration background","Rural Area","17","","",""
"4 on scale 1-7","2005","no migration background","Urban Area","2109","0.191634078075652","0.184330524700646","0.198937631450658"
"4 on scale 1-7","2005","no migration background","Rural Area","1227","0.197625921363336","0.187815425883124","0.207436416843549"
"4 on scale 1-7","2005","direct migration background","Urban Area","367","0.192055172114207","0.174598256119019","0.209512088109394"
"4 on scale 1-7","2005","direct migration background","Rural Area","78","0.168430216534973","0.131891362583995","0.204969070485951"
"4 on scale 1-7","2005","indirect migration background","Urban Area","145","0.185266917658782","0.156927814252343","0.213606021065221"
"4 on scale 1-7","2005","indirect migration background","Rural Area","28","","",""
"5 on scale 1-7","2005","no migration background","Urban Area","1895","0.166951667756447","0.160031377366559","0.173871958146334"
"5 on scale 1-7","2005","no migration background","Rural Area","1119","0.171709969616339","0.162418818667694","0.181001120564984"
"5 on scale 1-7","2005","direct migration background","Urban Area","310","0.169628610819653","0.152996421991094","0.186260799648212"
"5 on scale 1-7","2005","direct migration background","Rural Area","74","0.1947064061165","0.156046320594065","0.233366491638935"
"5 on scale 1-7","2005","indirect migration background","Urban Area","119","0.175597802130674","0.147844887447585","0.203350716813764"
"5 on scale 1-7","2005","indirect migration background","Rural Area","15","","",""
"6 on scale 1-7","2005","no migration background","Urban Area","1220","0.107753450693291","0.101999689004377","0.113507212382204"
"6 on scale 1-7","2005","no migration background","Rural Area","772","0.115136062251289","0.10727240678623","0.122999717716347"
"6 on scale 1-7","2005","direct migration background","Urban Area","211","0.109956903904457","0.0960931629458281","0.123820644863086"
"6 on scale 1-7","2005","direct migration background","Rural Area","49","0.130615124461019","0.0977149392696019","0.163515309652435"
"6 on scale 1-7","2005","indirect migration background","Urban Area","70","0.0984399797884634","0.0767098373800034","0.120170122196923"
"6 on scale 1-7","2005","indirect migration background","Rural Area","13","","",""
"7 Strongly agree","2005","no migration background","Urban Area","649","0.065531378845397","0.0609393897025331","0.0701233679882608"
"7 Strongly agree","2005","no migration background","Rural Area","394","0.0757305527818455","0.0692125370368688","0.0822485685268222"
"7 Strongly agree","2005","direct migration background","Urban Area","158","0.0760754891091414","0.0643263975892996","0.0878245806289833"
"7 Strongly agree","2005","direct migration background","Rural Area","27","","",""
"7 Strongly agree","2005","indirect migration background","Urban Area","40","0.0517365784111787","0.0355802436550109","0.0678929131673466"
"7 Strongly agree","2005","indirect migration background","Rural Area","3","","",""
"1 Strongly disagree","2006","no migration background","Urban Area","","","",""
"1 Strongly disagree","2006","no migration background","Rural Area","","","",""
"1 Strongly disagree","2006","direct migration background","Urban Area","","","",""
"1 Strongly disagree","2006","direct migration background","Rural Area","","","",""
"1 Strongly disagree","2006","indirect migration background","Urban Area","","","",""
"1 Strongly disagree","2006","indirect migration background","Rural Area","","","",""
"2 on scale 1-7 ","2006","no migration background","Urban Area","","","",""
"2 on scale 1-7 ","2006","no migration background","Rural Area","","","",""
"2 on scale 1-7 ","2006","direct migration background","Urban Area","","","",""
"2 on scale 1-7 ","2006","direct migration background","Rural Area","","","",""
"2 on scale 1-7 ","2006","indirect migration background","Urban Area","","","",""
"2 on scale 1-7 ","2006","indirect migration background","Rural Area","","","",""
"3 on scale 1-7 ","2006","no migration background","Urban Area","","","",""
"3 on scale 1-7 ","2006","no migration background","Rural Area","","","",""
"3 on scale 1-7 ","2006","direct migration background","Urban Area","","","",""
"3 on scale 1-7 ","2006","direct migration background","Rural Area","","","",""
"3 on scale 1-7 ","2006","indirect migration background","Urban Area","","","",""
"3 on scale 1-7 ","2006","indirect migration background","Rural Area","","","",""
"4 on scale 1-7","2006","no migration background","Urban Area","","","",""
"4 on scale 1-7","2006","no migration background","Rural Area","","","",""
"4 on scale 1-7","2006","direct migration background","Urban Area","","","",""
"4 on scale 1-7","2006","direct migration background","Rural Area","","","",""
"4 on scale 1-7","2006","indirect migration background","Urban Area","","","",""
"4 on scale 1-7","2006","indirect migration background","Rural Area","","","",""
"5 on scale 1-7","2006","no migration background","Urban Area","","","",""
"5 on scale 1-7","2006","no migration background","Rural Area","","","",""
"5 on scale 1-7","2006","direct migration background","Urban Area","","","",""
"5 on scale 1-7","2006","direct migration background","Rural Area","","","",""
"5 on scale 1-7","2006","indirect migration background","Urban Area","","","",""
