"plh0221","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Urban Area","Male","919","0.14297171279071","0.134522888895424","0.151420536685997"
"1 Strongly disagree","2005","Urban Area","Female","642","0.092554452754156","0.0858788919879896","0.0992300135203224"
"1 Strongly disagree","2005","Rural Area","Male","428","0.139276725316334","0.127431322074039","0.151122128558628"
"1 Strongly disagree","2005","Rural Area","Female","271","0.0763386728466995","0.0676110514600976","0.0850662942333014"
"2 on scale 1-7 ","2005","Urban Area","Male","1448","0.205540171027263","0.195786728086391","0.215293613968135"
"2 on scale 1-7 ","2005","Urban Area","Female","1180","0.165660324892707","0.157096663040043","0.174223986745371"
"2 on scale 1-7 ","2005","Rural Area","Male","680","0.203075496371915","0.189312399880126","0.216838592863704"
"2 on scale 1-7 ","2005","Rural Area","Female","509","0.134194505283206","0.122991236627878","0.145397773938533"
"3 on scale 1-7 ","2005","Urban Area","Male","1187","0.174461631773131","0.165301700482181","0.18362156306408"
"3 on scale 1-7 ","2005","Urban Area","Female","1165","0.155293371907617","0.146950641324577","0.163636102490658"
"3 on scale 1-7 ","2005","Rural Area","Male","596","0.175119292522709","0.162116358083533","0.188122226961885"
"3 on scale 1-7 ","2005","Rural Area","Female","555","0.152968090454001","0.141137197544367","0.164798983363635"
"4 on scale 1-7","2005","Urban Area","Male","1201","0.194748762998214","0.185190550669168","0.204306975327261"
"4 on scale 1-7","2005","Urban Area","Female","1420","0.188238030566603","0.179233795098499","0.197242266034707"
"4 on scale 1-7","2005","Rural Area","Male","595","0.184873575949487","0.171592639165813","0.198154512733161"
"4 on scale 1-7","2005","Rural Area","Female","738","0.209817424404895","0.196434478729787","0.223200370080004"
"5 on scale 1-7","2005","Urban Area","Male","982","0.147247365780779","0.138694553867018","0.15580017769454"
"5 on scale 1-7","2005","Urban Area","Female","1342","0.187144437871942","0.178160350625293","0.196128525118592"
"5 on scale 1-7","2005","Rural Area","Male","511","0.150612247415871","0.138375614146565","0.162848880685177"
"5 on scale 1-7","2005","Rural Area","Female","697","0.195403729470232","0.18237138212027","0.208436076820194"
"6 on scale 1-7","2005","Urban Area","Male","578","0.086936161415782","0.0801359185831398","0.0937364042484241"
"6 on scale 1-7","2005","Urban Area","Female","923","0.12718444271925","0.119509819859342","0.134859065579158"
"6 on scale 1-7","2005","Rural Area","Male","328","0.0855518462401233","0.0759827033544783","0.0951209891257683"
"6 on scale 1-7","2005","Rural Area","Female","506","0.144729145489437","0.133165439258321","0.156292851720553"
"7 Strongly agree","2005","Urban Area","Male","279","0.0480941942141209","0.0429298291583454","0.0532585592698964"
"7 Strongly agree","2005","Urban Area","Female","568","0.0839249392877248","0.0775380431205956","0.090311835454854"
"7 Strongly agree","2005","Rural Area","Male","144","0.061490816183561","0.0532721149197974","0.0697095174473246"
"7 Strongly agree","2005","Rural Area","Female","280","0.0865484320515293","0.0773069935053844","0.0957898705976742"
"1 Strongly disagree","2006","Urban Area","Male","","","",""
"1 Strongly disagree","2006","Urban Area","Female","","","",""
"1 Strongly disagree","2006","Rural Area","Male","","","",""
"1 Strongly disagree","2006","Rural Area","Female","","","",""
"2 on scale 1-7 ","2006","Urban Area","Male","","","",""
"2 on scale 1-7 ","2006","Urban Area","Female","","","",""
"2 on scale 1-7 ","2006","Rural Area","Male","","","",""
"2 on scale 1-7 ","2006","Rural Area","Female","","","",""
"3 on scale 1-7 ","2006","Urban Area","Male","","","",""
"3 on scale 1-7 ","2006","Urban Area","Female","","","",""
"3 on scale 1-7 ","2006","Rural Area","Male","","","",""
"3 on scale 1-7 ","2006","Rural Area","Female","","","",""
"4 on scale 1-7","2006","Urban Area","Male","","","",""
"4 on scale 1-7","2006","Urban Area","Female","","","",""
"4 on scale 1-7","2006","Rural Area","Male","","","",""
"4 on scale 1-7","2006","Rural Area","Female","","","",""
"5 on scale 1-7","2006","Urban Area","Male","","","",""
"5 on scale 1-7","2006","Urban Area","Female","","","",""
"5 on scale 1-7","2006","Rural Area","Male","","","",""
"5 on scale 1-7","2006","Rural Area","Female","","","",""
"6 on scale 1-7","2006","Urban Area","Male","","","",""
"6 on scale 1-7","2006","Urban Area","Female","","","",""
"6 on scale 1-7","2006","Rural Area","Male","","","",""
