"plh0221","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","West Germany","1427","0.117114111906997","0.111494815579238","0.122733408234756"
"1 Strongly disagree","2005","no migration background","East Germany","476","0.105970657997535","0.0973576862853326","0.114583629709736"
"1 Strongly disagree","2005","direct migration background","West Germany","268","0.116736225644252","0.103494700524588","0.129977750763917"
"1 Strongly disagree","2005","direct migration background","East Germany","","","",""
"1 Strongly disagree","2005","indirect migration background","West Germany","82","0.0985621477717388","0.0778161430709953","0.119308152472482"
"1 Strongly disagree","2005","indirect migration background","East Germany","","","",""
"2 on scale 1-7 ","2005","no migration background","West Germany","2397","0.188540529965985","0.181705179124812","0.195375880807158"
"2 on scale 1-7 ","2005","no migration background","East Germany","859","0.159487418352126","0.14924223718427","0.169732599519981"
"2 on scale 1-7 ","2005","direct migration background","West Germany","384","0.157487645004865","0.142466558087438","0.172508731922292"
"2 on scale 1-7 ","2005","direct migration background","East Germany","","","",""
"2 on scale 1-7 ","2005","indirect migration background","West Germany","148","0.184185626133275","0.157206055040121","0.211165197226428"
"2 on scale 1-7 ","2005","indirect migration background","East Germany","","","",""
"3 on scale 1-7 ","2005","no migration background","West Germany","2130","0.158687819584374","0.152302606172412","0.165073032996336"
"3 on scale 1-7 ","2005","no migration background","East Germany","811","0.171541858400606","0.160993019508622","0.18209069729259"
"3 on scale 1-7 ","2005","direct migration background","West Germany","398","0.17650241924703","0.160780829087661","0.192224009406398"
"3 on scale 1-7 ","2005","direct migration background","East Germany","","","",""
"3 on scale 1-7 ","2005","indirect migration background","West Germany","149","0.189456227758501","0.162181892352855","0.216730563164146"
"3 on scale 1-7 ","2005","indirect migration background","East Germany","","","",""
"4 on scale 1-7","2005","no migration background","West Germany","2367","0.19330165133996","0.186400867901894","0.200202434778026"
"4 on scale 1-7","2005","no migration background","East Germany","969","0.195066402578856","0.183978342154922","0.20615446300279"
"4 on scale 1-7","2005","direct migration background","West Germany","429","0.188302422152304","0.172180565556503","0.204424278748105"
"4 on scale 1-7","2005","direct migration background","East Germany","","","",""
"4 on scale 1-7","2005","indirect migration background","West Germany","167","0.20606618559662","0.177914330845169","0.234218040348071"
"4 on scale 1-7","2005","indirect migration background","East Germany","","","",""
"5 on scale 1-7","2005","no migration background","West Germany","2109","0.164130039448021","0.157657295485032","0.170602783411009"
"5 on scale 1-7","2005","no migration background","East Germany","905","0.184751497946088","0.17389166091618","0.195611334975996"
"5 on scale 1-7","2005","direct migration background","West Germany","360","0.172071786373532","0.156507072176143","0.18763650057092"
"5 on scale 1-7","2005","direct migration background","East Germany","","","",""
"5 on scale 1-7","2005","indirect migration background","West Germany","129","0.17779322518199","0.151182321263184","0.204404129100795"
"5 on scale 1-7","2005","indirect migration background","East Germany","","","",""
"6 on scale 1-7","2005","no migration background","West Germany","1383","0.107485288312585","0.10207267206253","0.112897904562641"
"6 on scale 1-7","2005","no migration background","East Germany","609","0.120427935518762","0.111320761113201","0.129535109924324"
"6 on scale 1-7","2005","direct migration background","West Germany","246","0.113182986658006","0.100118343302483","0.126247630013528"
"6 on scale 1-7","2005","direct migration background","East Germany","","","",""
"6 on scale 1-7","2005","indirect migration background","West Germany","77","0.097737906819518","0.0770693872629143","0.118406426376122"
"6 on scale 1-7","2005","indirect migration background","East Germany","","","",""
"7 Strongly agree","2005","no migration background","West Germany","766","0.0707405594420781","0.0662600461668222","0.0752210727173341"
"7 Strongly agree","2005","no migration background","East Germany","277","0.0627542292060275","0.0559679368763889","0.0695405215356661"
"7 Strongly agree","2005","direct migration background","West Germany","174","0.0757165149200113","0.0648074411094784","0.0866255887305441"
"7 Strongly agree","2005","direct migration background","East Germany","","","",""
"7 Strongly agree","2005","indirect migration background","West Germany","41","0.0461986807383578","0.0315885115990308","0.0608088498776849"
"7 Strongly agree","2005","indirect migration background","East Germany","","","",""
"1 Strongly disagree","2006","no migration background","West Germany","","","",""
"1 Strongly disagree","2006","no migration background","East Germany","","","",""
"1 Strongly disagree","2006","direct migration background","West Germany","","","",""
"1 Strongly disagree","2006","direct migration background","East Germany","","","",""
"1 Strongly disagree","2006","indirect migration background","West Germany","","","",""
"1 Strongly disagree","2006","indirect migration background","East Germany","","","",""
"2 on scale 1-7 ","2006","no migration background","West Germany","","","",""
"2 on scale 1-7 ","2006","no migration background","East Germany","","","",""
"2 on scale 1-7 ","2006","direct migration background","West Germany","","","",""
"2 on scale 1-7 ","2006","direct migration background","East Germany","","","",""
"2 on scale 1-7 ","2006","indirect migration background","West Germany","","","",""
"2 on scale 1-7 ","2006","indirect migration background","East Germany","","","",""
"3 on scale 1-7 ","2006","no migration background","West Germany","","","",""
"3 on scale 1-7 ","2006","no migration background","East Germany","","","",""
"3 on scale 1-7 ","2006","direct migration background","West Germany","","","",""
"3 on scale 1-7 ","2006","direct migration background","East Germany","","","",""
"3 on scale 1-7 ","2006","indirect migration background","West Germany","","","",""
"3 on scale 1-7 ","2006","indirect migration background","East Germany","","","",""
"4 on scale 1-7","2006","no migration background","West Germany","","","",""
"4 on scale 1-7","2006","no migration background","East Germany","","","",""
"4 on scale 1-7","2006","direct migration background","West Germany","","","",""
"4 on scale 1-7","2006","direct migration background","East Germany","","","",""
"4 on scale 1-7","2006","indirect migration background","West Germany","","","",""
"4 on scale 1-7","2006","indirect migration background","East Germany","","","",""
"5 on scale 1-7","2006","no migration background","West Germany","","","",""
"5 on scale 1-7","2006","no migration background","East Germany","","","",""
"5 on scale 1-7","2006","direct migration background","West Germany","","","",""
"5 on scale 1-7","2006","direct migration background","East Germany","","","",""
"5 on scale 1-7","2006","indirect migration background","West Germany","","","",""
"5 on scale 1-7","2006","indirect migration background","East Germany","","","",""
"6 on scale 1-7","2006","no migration background","West Germany","","","",""
"6 on scale 1-7","2006","no migration background","East Germany","","","",""
"6 on scale 1-7","2006","direct migration background","West Germany","","","",""
"6 on scale 1-7","2006","direct migration background","East Germany","","","",""
"6 on scale 1-7","2006","indirect migration background","West Germany","","","",""
"6 on scale 1-7","2006","indirect migration background","East Germany","","","",""
"7 Strongly agree","2006","no migration background","West Germany","","","",""
"7 Strongly agree","2006","no migration background","East Germany","","","",""
"7 Strongly agree","2006","direct migration background","West Germany","","","",""
"7 Strongly agree","2006","direct migration background","East Germany","","","",""
