"plh0221","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Schleswig-Holstein","in school","","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","inadequately","","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","general elemantary","","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","middle vocational","49","0.125724607836546","0.0900619816525637","0.161387234020528"
"1 Strongly disagree","2005","Schleswig-Holstein","vocational + Abi","","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","higher vocational","","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","higher education","","","",""
"1 Strongly disagree","2005","Hamburg","in school","","","",""
"1 Strongly disagree","2005","Hamburg","inadequately","","","",""
"1 Strongly disagree","2005","Hamburg","general elemantary","","","",""
"1 Strongly disagree","2005","Hamburg","middle vocational","","","",""
"1 Strongly disagree","2005","Hamburg","vocational + Abi","","","",""
"1 Strongly disagree","2005","Hamburg","higher vocational","","","",""
"1 Strongly disagree","2005","Hamburg","higher education","","","",""
"1 Strongly disagree","2005","Lower Saxony","in school","","","",""
"1 Strongly disagree","2005","Lower Saxony","inadequately","","","",""
"1 Strongly disagree","2005","Lower Saxony","general elemantary","","","",""
"1 Strongly disagree","2005","Lower Saxony","middle vocational","120","0.143055066780889","0.120393418070104","0.165716715491673"
"1 Strongly disagree","2005","Lower Saxony","vocational + Abi","","","",""
"1 Strongly disagree","2005","Lower Saxony","higher vocational","","","",""
"1 Strongly disagree","2005","Lower Saxony","higher education","46","0.188345005556547","0.143499445496924","0.233190565616169"
"1 Strongly disagree","2005","Bremen","in school","","","",""
"1 Strongly disagree","2005","Bremen","inadequately","","","",""
"1 Strongly disagree","2005","Bremen","general elemantary","","","",""
"1 Strongly disagree","2005","Bremen","middle vocational","","","",""
"1 Strongly disagree","2005","Bremen","vocational + Abi","","","",""
"1 Strongly disagree","2005","Bremen","higher vocational","","","",""
"1 Strongly disagree","2005","Bremen","higher education","","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","in school","","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","inadequately","","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","general elemantary","57","0.107319716085304","0.0814050545648356","0.133234377605773"
"1 Strongly disagree","2005","North Rhine-Westphalia","middle vocational","265","0.143343843011777","0.128262621908825","0.158425064114728"
"1 Strongly disagree","2005","North Rhine-Westphalia","vocational + Abi","","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","higher vocational","45","0.133891509778419","0.0959223034967844","0.171860716060054"
"1 Strongly disagree","2005","North Rhine-Westphalia","higher education","102","0.129409212575495","0.106393379790726","0.152425045360263"
"1 Strongly disagree","2005","Hesse","in school","","","",""
"1 Strongly disagree","2005","Hesse","inadequately","","","",""
"1 Strongly disagree","2005","Hesse","general elemantary","","","",""
"1 Strongly disagree","2005","Hesse","middle vocational","73","0.122188693536274","0.0966957750153474","0.147681612057201"
"1 Strongly disagree","2005","Hesse","vocational + Abi","","","",""
"1 Strongly disagree","2005","Hesse","higher vocational","","","",""
"1 Strongly disagree","2005","Hesse","higher education","","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","in school","","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","inadequately","","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","general elemantary","31","0.157042895222521","0.10806591042027","0.206019880024771"
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","middle vocational","97","0.144776102769641","0.117536082214793","0.172016123324489"
