"plh0221","year","age_gr","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","523","0.0958646455752948","0.0879527771330972","0.103776514017492"
"1 Strongly disagree","2005","35-65 y.","1254","0.11556654076435","0.109745609289457","0.121387472239243"
"1 Strongly disagree","2005","66 and older","483","0.130587845879473","0.11982493279017","0.141350758968776"
"2 on scale 1-7 ","2005","16-34 y.","999","0.177680364436913","0.167407935529672","0.187952793344154"
"2 on scale 1-7 ","2005","35-65 y.","2217","0.186254590039318","0.179166297778924","0.193342882299712"
"2 on scale 1-7 ","2005","66 and older","601","0.16551174222246","0.153640665252894","0.177382819192026"
"3 on scale 1-7 ","2005","16-34 y.","1030","0.19213787140003","0.181550010960667","0.202725731839392"
"3 on scale 1-7 ","2005","35-65 y.","1922","0.158798009564936","0.152143492841426","0.165452526288445"
"3 on scale 1-7 ","2005","66 and older","551","0.145112061122722","0.133861557830814","0.156362564414629"
"4 on scale 1-7","2005","16-34 y.","1052","0.202462514017682","0.191663578175411","0.213261449859953"
"4 on scale 1-7","2005","35-65 y.","2227","0.195891992458709","0.188665802348495","0.203118182568923"
"4 on scale 1-7","2005","66 and older","675","0.176678324900794","0.16449566804563","0.188860981755957"
"5 on scale 1-7","2005","16-34 y.","894","0.176410887512679","0.166167323476924","0.186654451548435"
"5 on scale 1-7","2005","35-65 y.","1976","0.163508837109667","0.156775270799738","0.170242403419595"
"5 on scale 1-7","2005","66 and older","662","0.176591081202568","0.164410787320557","0.18877137508458"
"6 on scale 1-7","2005","16-34 y.","537","0.0960545186235797","0.0881356504206096","0.10397338682655"
"6 on scale 1-7","2005","35-65 y.","1311","0.113143653154221","0.107376179949709","0.118911126358734"
"6 on scale 1-7","2005","66 and older","487","0.120043305398318","0.109661683129014","0.130424927667621"
"7 Strongly agree","2005","16-34 y.","284","0.0593891984338219","0.053037471654547","0.0657409252130969"
"7 Strongly agree","2005","35-65 y.","681","0.0668363769088","0.0622893324787401","0.0713834213388599"
"7 Strongly agree","2005","66 and older","306","0.0854756392736653","0.0765449615233972","0.0944063170239335"
"1 Strongly disagree","2006","16-34 y.","","","",""
"1 Strongly disagree","2006","35-65 y.","","","",""
"1 Strongly disagree","2006","66 and older","","","",""
"2 on scale 1-7 ","2006","16-34 y.","","","",""
"2 on scale 1-7 ","2006","35-65 y.","","","",""
"2 on scale 1-7 ","2006","66 and older","","","",""
"3 on scale 1-7 ","2006","16-34 y.","","","",""
"3 on scale 1-7 ","2006","35-65 y.","","","",""
"3 on scale 1-7 ","2006","66 and older","","","",""
"4 on scale 1-7","2006","16-34 y.","","","",""
"4 on scale 1-7","2006","35-65 y.","","","",""
"4 on scale 1-7","2006","66 and older","","","",""
"5 on scale 1-7","2006","16-34 y.","","","",""
"5 on scale 1-7","2006","35-65 y.","","","",""
"5 on scale 1-7","2006","66 and older","","","",""
"6 on scale 1-7","2006","16-34 y.","","","",""
"6 on scale 1-7","2006","35-65 y.","","","",""
"6 on scale 1-7","2006","66 and older","","","",""
"7 Strongly agree","2006","16-34 y.","","","",""
"7 Strongly agree","2006","35-65 y.","","","",""
"7 Strongly agree","2006","66 and older","","","",""
"1 Strongly disagree","2007","16-34 y.","","","",""
"1 Strongly disagree","2007","35-65 y.","","","",""
"1 Strongly disagree","2007","66 and older","","","",""
"2 on scale 1-7 ","2007","16-34 y.","","","",""
"2 on scale 1-7 ","2007","35-65 y.","","","",""
"2 on scale 1-7 ","2007","66 and older","","","",""
"3 on scale 1-7 ","2007","16-34 y.","","","",""
"3 on scale 1-7 ","2007","35-65 y.","","","",""
"3 on scale 1-7 ","2007","66 and older","","","",""
"4 on scale 1-7","2007","16-34 y.","","","",""
"4 on scale 1-7","2007","35-65 y.","","","",""
"4 on scale 1-7","2007","66 and older","","","",""
"5 on scale 1-7","2007","16-34 y.","","","",""
"5 on scale 1-7","2007","35-65 y.","","","",""
"5 on scale 1-7","2007","66 and older","","","",""
"6 on scale 1-7","2007","16-34 y.","","","",""
"6 on scale 1-7","2007","35-65 y.","","","",""
"6 on scale 1-7","2007","66 and older","","","",""
"7 Strongly agree","2007","16-34 y.","","","",""
"7 Strongly agree","2007","35-65 y.","","","",""
"7 Strongly agree","2007","66 and older","","","",""
"1 Strongly disagree","2008","16-34 y.","","","",""
"1 Strongly disagree","2008","35-65 y.","","","",""
"1 Strongly disagree","2008","66 and older","","","",""
"2 on scale 1-7 ","2008","16-34 y.","","","",""
"2 on scale 1-7 ","2008","35-65 y.","","","",""
"2 on scale 1-7 ","2008","66 and older","","","",""
"3 on scale 1-7 ","2008","16-34 y.","","","",""
"3 on scale 1-7 ","2008","35-65 y.","","","",""
"3 on scale 1-7 ","2008","66 and older","","","",""
"4 on scale 1-7","2008","16-34 y.","","","",""
"4 on scale 1-7","2008","35-65 y.","","","",""
"4 on scale 1-7","2008","66 and older","","","",""
"5 on scale 1-7","2008","16-34 y.","","","",""
"5 on scale 1-7","2008","35-65 y.","","","",""
"5 on scale 1-7","2008","66 and older","","","",""
"6 on scale 1-7","2008","16-34 y.","","","",""
"6 on scale 1-7","2008","35-65 y.","","","",""
"6 on scale 1-7","2008","66 and older","","","",""
"7 Strongly agree","2008","16-34 y.","","","",""
"7 Strongly agree","2008","35-65 y.","","","",""
"7 Strongly agree","2008","66 and older","","","",""
"1 Strongly disagree","2009","16-34 y.","332","0.0899629990327097","0.0810848356937813","0.098841162371638"
"1 Strongly disagree","2009","35-65 y.","1022","0.10380537605167","0.0977822906415805","0.109828461461759"
"1 Strongly disagree","2009","66 and older","492","0.122045569627271","0.112080443031267","0.132010696223276"
"2 on scale 1-7 ","2009","16-34 y.","796","0.212721296763704","0.200023412018071","0.225419181509338"
"2 on scale 1-7 ","2009","35-65 y.","2048","0.201092721033719","0.193177659493535","0.209007782573904"
"2 on scale 1-7 ","2009","66 and older","700","0.163948307484779","0.152677478567178","0.17521913640238"
"3 on scale 1-7 ","2009","16-34 y.","804","0.193265077795163","0.18101316873095","0.205516986859376"
"3 on scale 1-7 ","2009","35-65 y.","1877","0.18496125214688","0.177294040743907","0.192628463549853"
"3 on scale 1-7 ","2009","66 and older","740","0.176053333514686","0.164458687331664","0.187647979697708"
"4 on scale 1-7","2009","16-34 y.","809","0.195612918210841","0.183304763321996","0.207921073099687"
"4 on scale 1-7","2009","35-65 y.","1982","0.202743427300072","0.19480416085037","0.210682693749773"
"4 on scale 1-7","2009","66 and older","779","0.195618215449055","0.183542257735639","0.207694173162471"
