"plh0221","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","Male","334","0.124021608372527","0.111221047631415","0.136822169113638"
"1 Strongly disagree","2005","16-34 y.","Female","189","0.0667213953644588","0.057431951961991","0.0760108387669266"
"1 Strongly disagree","2005","35-65 y.","Male","748","0.144364169135697","0.135164822104054","0.153563516167341"
"1 Strongly disagree","2005","35-65 y.","Female","506","0.0867747510436024","0.0796405255319133","0.0939089765552915"
"1 Strongly disagree","2005","66 and older","Male","265","0.159720394748459","0.142417306758315","0.177023482738603"
"1 Strongly disagree","2005","66 and older","Female","218","0.109532531638747","0.0959901671194881","0.123074896158005"
"2 on scale 1-7 ","2005","16-34 y.","Male","565","0.203464956654122","0.187830569136925","0.219099344171318"
"2 on scale 1-7 ","2005","16-34 y.","Female","434","0.150992584651078","0.137663969467408","0.164321199834747"
"2 on scale 1-7 ","2005","35-65 y.","Male","1254","0.215733396648944","0.204966925907778","0.226499867390109"
"2 on scale 1-7 ","2005","35-65 y.","Female","963","0.156781760187559","0.147567107856433","0.165996412518685"
"2 on scale 1-7 ","2005","66 and older","Male","309","0.175015816629139","0.157068770544302","0.192962862713975"
"2 on scale 1-7 ","2005","66 and older","Female","292","0.158642749258617","0.142800594833374","0.174484903683861"
"3 on scale 1-7 ","2005","16-34 y.","Male","508","0.199029115279838","0.183523097069503","0.214535133490173"
"3 on scale 1-7 ","2005","16-34 y.","Female","522","0.18500523972738","0.17055014637621","0.199460333078551"
"3 on scale 1-7 ","2005","35-65 y.","Male","997","0.168275007614768","0.158482757487928","0.178067257741609"
"3 on scale 1-7 ","2005","35-65 y.","Female","925","0.149322932953898","0.140290457123252","0.158355408784544"
"3 on scale 1-7 ","2005","66 and older","Male","278","0.158575350374023","0.141322654268985","0.175828046479062"
"3 on scale 1-7 ","2005","66 and older","Female","273","0.135381577628992","0.12054594961214","0.150217205645844"
"4 on scale 1-7","2005","16-34 y.","Male","477","0.194837673381433","0.179455708727811","0.210219638035055"
"4 on scale 1-7","2005","16-34 y.","Female","575","0.210354439012583","0.195182418618984","0.225526459406182"
"4 on scale 1-7","2005","35-65 y.","Male","1017","0.19557037215826","0.185188435546751","0.205952308769769"
"4 on scale 1-7","2005","35-65 y.","Female","1210","0.196213547551408","0.186148958988167","0.206278136114649"
"4 on scale 1-7","2005","66 and older","Male","302","0.175976860670682","0.157991091970379","0.193962629370984"
"4 on scale 1-7","2005","66 and older","Female","373","0.177185302503751","0.16062841205477","0.193742192952732"
