"plh0221","year","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","West Germany","1777","0.116213331399633","0.11118925299764","0.121237409801626"
"1 Strongly disagree","2005","East Germany","483","0.103319282050391","0.0949169595338977","0.111721604566885"
"2 on scale 1-7 ","2005","West Germany","2929","0.183532762234076","0.177464268732246","0.189601255735907"
"2 on scale 1-7 ","2005","East Germany","888","0.162069198587637","0.151896315296868","0.172242081878405"
"3 on scale 1-7 ","2005","West Germany","2677","0.162844146142403","0.15705594060547","0.168632351679335"
"3 on scale 1-7 ","2005","East Germany","826","0.170733711204228","0.160346561568753","0.181120860839703"
"4 on scale 1-7","2005","West Germany","2963","0.193106777199246","0.186918617668141","0.199294936730351"
"4 on scale 1-7","2005","East Germany","991","0.194574766335477","0.183646642266939","0.205502890404016"
"5 on scale 1-7","2005","West Germany","2598","0.165980506589437","0.160147783574544","0.171813229604331"
"5 on scale 1-7","2005","East Germany","934","0.185736922078896","0.175001447799586","0.196472396358206"
"6 on scale 1-7","2005","West Germany","1706","0.107925331214255","0.103061068662314","0.112789593766196"
"6 on scale 1-7","2005","East Germany","629","0.120696008367108","0.11170298507285","0.129689031661365"
"7 Strongly agree","2005","West Germany","981","0.0703971452209499","0.0663868074028833","0.0744074830390165"
"7 Strongly agree","2005","East Germany","290","0.0628701113762634","0.0561695413255423","0.0695706814269845"
"1 Strongly disagree","2006","West Germany","","","",""
"1 Strongly disagree","2006","East Germany","","","",""
"2 on scale 1-7 ","2006","West Germany","","","",""
"2 on scale 1-7 ","2006","East Germany","","","",""
"3 on scale 1-7 ","2006","West Germany","","","",""
"3 on scale 1-7 ","2006","East Germany","","","",""
"4 on scale 1-7","2006","West Germany","","","",""
"4 on scale 1-7","2006","East Germany","","","",""
"5 on scale 1-7","2006","West Germany","","","",""
"5 on scale 1-7","2006","East Germany","","","",""
"6 on scale 1-7","2006","West Germany","","","",""
"6 on scale 1-7","2006","East Germany","","","",""
"7 Strongly agree","2006","West Germany","","","",""
"7 Strongly agree","2006","East Germany","","","",""
"1 Strongly disagree","2007","West Germany","","","",""
"1 Strongly disagree","2007","East Germany","","","",""
"2 on scale 1-7 ","2007","West Germany","","","",""
"2 on scale 1-7 ","2007","East Germany","","","",""
"3 on scale 1-7 ","2007","West Germany","","","",""
"3 on scale 1-7 ","2007","East Germany","","","",""
"4 on scale 1-7","2007","West Germany","","","",""
"4 on scale 1-7","2007","East Germany","","","",""
"5 on scale 1-7","2007","West Germany","","","",""
"5 on scale 1-7","2007","East Germany","","","",""
"6 on scale 1-7","2007","West Germany","","","",""
"6 on scale 1-7","2007","East Germany","","","",""
"7 Strongly agree","2007","West Germany","","","",""
"7 Strongly agree","2007","East Germany","","","",""
"1 Strongly disagree","2008","West Germany","","","",""
"1 Strongly disagree","2008","East Germany","","","",""
"2 on scale 1-7 ","2008","West Germany","","","",""
"2 on scale 1-7 ","2008","East Germany","","","",""
"3 on scale 1-7 ","2008","West Germany","","","",""
"3 on scale 1-7 ","2008","East Germany","","","",""
"4 on scale 1-7","2008","West Germany","","","",""
"4 on scale 1-7","2008","East Germany","","","",""
"5 on scale 1-7","2008","West Germany","","","",""
"5 on scale 1-7","2008","East Germany","","","",""
"6 on scale 1-7","2008","West Germany","","","",""
"6 on scale 1-7","2008","East Germany","","","",""
"7 Strongly agree","2008","West Germany","","","",""
"7 Strongly agree","2008","East Germany","","","",""
"1 Strongly disagree","2009","West Germany","1449","0.107451026360012","0.102217722241575","0.112684330478448"
"1 Strongly disagree","2009","East Germany","397","0.0930105019199351","0.0845562641804986","0.101464739659372"
"2 on scale 1-7 ","2009","West Germany","2694","0.198616331000637","0.191874429810843","0.205358232190431"
