"plh0221","year","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","1903","0.11471038746076","0.109986937375994","0.119433837545525"
"1 Strongly disagree","2005","direct migration background","271","0.11269680864231","0.099936065961002","0.125457551323618"
"1 Strongly disagree","2005","indirect migration background","86","0.0983198228488301","0.078039272911424","0.118600372786236"
"2 on scale 1-7 ","2005","no migration background","3256","0.182273561466551","0.176551122990259","0.187995999942843"
"2 on scale 1-7 ","2005","direct migration background","404","0.16015254441506","0.145352901141004","0.174952187689115"
"2 on scale 1-7 ","2005","indirect migration background","157","0.187116571681571","0.160551977634659","0.213681165728483"
"3 on scale 1-7 ","2005","no migration background","2941","0.161460529696202","0.156006591477044","0.16691446791536"
"3 on scale 1-7 ","2005","direct migration background","410","0.176061400303777","0.160691762932119","0.191431037675434"
"3 on scale 1-7 ","2005","indirect migration background","152","0.185833841809157","0.159339578479518","0.212328105138796"
"4 on scale 1-7","2005","no migration background","3336","0.193682321079246","0.187824806823636","0.199539835334857"
"4 on scale 1-7","2005","direct migration background","445","0.188011403023197","0.172244326300317","0.203778479746077"
"4 on scale 1-7","2005","indirect migration background","173","0.205284996587986","0.177773308846494","0.232796684329479"
"5 on scale 1-7","2005","no migration background","3014","0.168578238750643","0.163029085454213","0.174127392047073"
"5 on scale 1-7","2005","direct migration background","384","0.173921055440425","0.158625298346413","0.189216812534437"
"5 on scale 1-7","2005","indirect migration background","134","0.17816282021079","0.152099223061074","0.204226417360507"
"6 on scale 1-7","2005","no migration background","1992","0.110277111901688","0.105634254491376","0.114919969311999"
"6 on scale 1-7","2005","direct migration background","260","0.113492871347093","0.100692884347528","0.126292858346658"
"6 on scale 1-7","2005","indirect migration background","83","0.0996372530470683","0.0792362014497426","0.120038304644394"
"7 Strongly agree","2005","no migration background","1043","0.0690178496449104","0.0652606293294968","0.072775069960324"
"7 Strongly agree","2005","direct migration background","185","0.0756639168281387","0.0649919741553862","0.0863358595008913"
"7 Strongly agree","2005","indirect migration background","43","0.0456446938145973","0.0314285071283633","0.0598608805008313"
"1 Strongly disagree","2006","no migration background","","","",""
"1 Strongly disagree","2006","direct migration background","","","",""
"1 Strongly disagree","2006","indirect migration background","","","",""
"2 on scale 1-7 ","2006","no migration background","","","",""
"2 on scale 1-7 ","2006","direct migration background","","","",""
"2 on scale 1-7 ","2006","indirect migration background","","","",""
"3 on scale 1-7 ","2006","no migration background","","","",""
"3 on scale 1-7 ","2006","direct migration background","","","",""
"3 on scale 1-7 ","2006","indirect migration background","","","",""
"4 on scale 1-7","2006","no migration background","","","",""
"4 on scale 1-7","2006","direct migration background","","","",""
"4 on scale 1-7","2006","indirect migration background","","","",""
"5 on scale 1-7","2006","no migration background","","","",""
"5 on scale 1-7","2006","direct migration background","","","",""
"5 on scale 1-7","2006","indirect migration background","","","",""
"6 on scale 1-7","2006","no migration background","","","",""
"6 on scale 1-7","2006","direct migration background","","","",""
"6 on scale 1-7","2006","indirect migration background","","","",""
"7 Strongly agree","2006","no migration background","","","",""
"7 Strongly agree","2006","direct migration background","","","",""
"7 Strongly agree","2006","indirect migration background","","","",""
"1 Strongly disagree","2007","no migration background","","","",""
"1 Strongly disagree","2007","direct migration background","","","",""
"1 Strongly disagree","2007","indirect migration background","","","",""
"2 on scale 1-7 ","2007","no migration background","","","",""
"2 on scale 1-7 ","2007","direct migration background","","","",""
"2 on scale 1-7 ","2007","indirect migration background","","","",""
"3 on scale 1-7 ","2007","no migration background","","","",""
"3 on scale 1-7 ","2007","direct migration background","","","",""
