"plh0221","year","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Urban Area","1561","0.11701495437635","0.111658572112329","0.12237133664037"
"1 Strongly disagree","2005","Rural Area","699","0.106766867668732","0.0994473206406486","0.114086414696815"
"2 on scale 1-7 ","2005","Urban Area","2628","0.185008481463688","0.178537851430508","0.191479111496868"
"2 on scale 1-7 ","2005","Rural Area","1189","0.167495888693396","0.158645164407913","0.176346612978878"
"3 on scale 1-7 ","2005","Urban Area","2352","0.164593069098521","0.158413915169345","0.170772223027697"
"3 on scale 1-7 ","2005","Rural Area","1151","0.163677368317565","0.154908071212486","0.172446665422643"
"4 on scale 1-7","2005","Urban Area","2621","0.191396785744683","0.184841233889248","0.197952337600119"
"4 on scale 1-7","2005","Rural Area","1333","0.197758006443423","0.188317326462104","0.207198686424741"
"5 on scale 1-7","2005","Urban Area","2324","0.167787923934074","0.161561028650729","0.17401481921742"
"5 on scale 1-7","2005","Rural Area","1208","0.173748722859164","0.164768224762064","0.182729220956264"
"6 on scale 1-7","2005","Urban Area","1501","0.107657535675904","0.102492632281467","0.112822439070341"
"6 on scale 1-7","2005","Rural Area","834","0.116119134217344","0.108525803707529","0.123712464727159"
"7 Strongly agree","2005","Urban Area","847","0.0665412497067788","0.062388198868137","0.0706943005454207"
"7 Strongly agree","2005","Rural Area","424","0.0744340118003775","0.0682128291828188","0.0806551944179362"
"1 Strongly disagree","2006","Urban Area","","","",""
"1 Strongly disagree","2006","Rural Area","","","",""
"2 on scale 1-7 ","2006","Urban Area","","","",""
"2 on scale 1-7 ","2006","Rural Area","","","",""
"3 on scale 1-7 ","2006","Urban Area","","","",""
"3 on scale 1-7 ","2006","Rural Area","","","",""
"4 on scale 1-7","2006","Urban Area","","","",""
"4 on scale 1-7","2006","Rural Area","","","",""
"5 on scale 1-7","2006","Urban Area","","","",""
"5 on scale 1-7","2006","Rural Area","","","",""
"6 on scale 1-7","2006","Urban Area","","","",""
"6 on scale 1-7","2006","Rural Area","","","",""
"7 Strongly agree","2006","Urban Area","","","",""
"7 Strongly agree","2006","Rural Area","","","",""
"1 Strongly disagree","2007","Urban Area","","","",""
"1 Strongly disagree","2007","Rural Area","","","",""
"2 on scale 1-7 ","2007","Urban Area","","","",""
"2 on scale 1-7 ","2007","Rural Area","","","",""
"3 on scale 1-7 ","2007","Urban Area","","","",""
"3 on scale 1-7 ","2007","Rural Area","","","",""
"4 on scale 1-7","2007","Urban Area","","","",""
"4 on scale 1-7","2007","Rural Area","","","",""
"5 on scale 1-7","2007","Urban Area","","","",""
"5 on scale 1-7","2007","Rural Area","","","",""
"6 on scale 1-7","2007","Urban Area","","","",""
"6 on scale 1-7","2007","Rural Area","","","",""
"7 Strongly agree","2007","Urban Area","","","",""
"7 Strongly agree","2007","Rural Area","","","",""
"1 Strongly disagree","2008","Urban Area","","","",""
"1 Strongly disagree","2008","Rural Area","","","",""
"2 on scale 1-7 ","2008","Urban Area","","","",""
"2 on scale 1-7 ","2008","Rural Area","","","",""
"3 on scale 1-7 ","2008","Urban Area","","","",""
"3 on scale 1-7 ","2008","Rural Area","","","",""
"4 on scale 1-7","2008","Urban Area","","","",""
"4 on scale 1-7","2008","Rural Area","","","",""
"5 on scale 1-7","2008","Urban Area","","","",""
"5 on scale 1-7","2008","Rural Area","","","",""
"6 on scale 1-7","2008","Urban Area","","","",""
"6 on scale 1-7","2008","Rural Area","","","",""
"7 Strongly agree","2008","Urban Area","","","",""
"7 Strongly agree","2008","Rural Area","","","",""
"1 Strongly disagree","2009","Urban Area","1229","0.106337164994839","0.100768483847169","0.111905846142509"
"1 Strongly disagree","2009","Rural Area","617","0.1013644432612","0.0938603696514833","0.108868516870917"
"2 on scale 1-7 ","2009","Urban Area","2354","0.199838566836164","0.192615004497413","0.207062129174915"
"2 on scale 1-7 ","2009","Rural Area","1190","0.18512958078643","0.175472526967357","0.194786634605502"
"3 on scale 1-7 ","2009","Urban Area","2274","0.185230905453263","0.178213170483332","0.192248640423194"
"3 on scale 1-7 ","2009","Rural Area","1147","0.184103059804372","0.174466752927252","0.193739366681493"
"4 on scale 1-7","2009","Urban Area","2315","0.194910137055063","0.187754268459704","0.202066005650422"
"4 on scale 1-7","2009","Rural Area","1255","0.208817407376608","0.198711293723828","0.218923521029389"
"5 on scale 1-7","2009","Urban Area","1818","0.156011565673237","0.149456612258069","0.162566519088405"
"5 on scale 1-7","2009","Rural Area","1029","0.151764517733721","0.142843676559223","0.160685358908219"
"6 on scale 1-7","2009","Urban Area","1218","0.105056437090125","0.0995174274296504","0.1105954467506"
"6 on scale 1-7","2009","Rural Area","666","0.106779638945572","0.0991009690504875","0.114458308840656"
"7 Strongly agree","2009","Urban Area","564","0.0526152228973093","0.0485820961312881","0.0566483496633305"
"7 Strongly agree","2009","Rural Area","310","0.062041352092097","0.0560435112179249","0.0680391929662691"
"1 Strongly disagree","2010","Urban Area","","","",""
"1 Strongly disagree","2010","Rural Area","","","",""
"2 on scale 1-7 ","2010","Urban Area","","","",""
"2 on scale 1-7 ","2010","Rural Area","","","",""
"3 on scale 1-7 ","2010","Urban Area","","","",""
"3 on scale 1-7 ","2010","Rural Area","","","",""
"4 on scale 1-7","2010","Urban Area","","","",""
"4 on scale 1-7","2010","Rural Area","","","",""
"5 on scale 1-7","2010","Urban Area","","","",""
"5 on scale 1-7","2010","Rural Area","","","",""
"6 on scale 1-7","2010","Urban Area","","","",""
"6 on scale 1-7","2010","Rural Area","","","",""
"7 Strongly agree","2010","Urban Area","","","",""
"7 Strongly agree","2010","Rural Area","","","",""
"1 Strongly disagree","2011","Urban Area","","","",""
"1 Strongly disagree","2011","Rural Area","","","",""
"2 on scale 1-7 ","2011","Urban Area","","","",""
"2 on scale 1-7 ","2011","Rural Area","","","",""
"3 on scale 1-7 ","2011","Urban Area","","","",""
"3 on scale 1-7 ","2011","Rural Area","","","",""
"4 on scale 1-7","2011","Urban Area","","","",""
"4 on scale 1-7","2011","Rural Area","","","",""
"5 on scale 1-7","2011","Urban Area","","","",""
"5 on scale 1-7","2011","Rural Area","","","",""
"6 on scale 1-7","2011","Urban Area","","","",""
"6 on scale 1-7","2011","Rural Area","","","",""
"7 Strongly agree","2011","Urban Area","","","",""
"7 Strongly agree","2011","Rural Area","","","",""
"1 Strongly disagree","2012","Urban Area","509","0.106512894985066","0.0974388308418083","0.115586959128324"
"1 Strongly disagree","2012","Rural Area","322","0.129094016671564","0.116401773679172","0.141786259663957"
"2 on scale 1-7 ","2012","Urban Area","940","0.203112450152179","0.191278672652345","0.214946227652013"
"2 on scale 1-7 ","2012","Rural Area","533","0.197533618571843","0.182462911889348","0.212604325254338"
"3 on scale 1-7 ","2012","Urban Area","771","0.169852936883754","0.15880781140311","0.180898062364397"
"3 on scale 1-7 ","2012","Rural Area","471","0.169849099610136","0.155635311723358","0.184062887496914"
"4 on scale 1-7","2012","Urban Area","815","0.188994159395121","0.177478394535136","0.200509924255106"
"4 on scale 1-7","2012","Rural Area","502","0.177389370175358","0.162929625031279","0.191849115319437"
"5 on scale 1-7","2012","Urban Area","736","0.166831944693429","0.155865584225709","0.177798305161148"
"5 on scale 1-7","2012","Rural Area","471","0.182295854571286","0.167681279913339","0.196910429229232"
"6 on scale 1-7","2012","Urban Area","442","0.103286426994291","0.0943347355369598","0.112238118451621"
"6 on scale 1-7","2012","Rural Area","247","0.0903374382812748","0.0794863391731143","0.101188537389435"
"7 Strongly agree","2012","Urban Area","227","0.0614091868961615","0.0543474516866896","0.0684709221056334"
"7 Strongly agree","2012","Rural Area","135","0.0535006021185386","0.044982571635428","0.0620186326016492"
"1 Strongly disagree","2013","Urban Area","1275","0.105357812028477","0.09991017157817","0.110805452478784"
"1 Strongly disagree","2013","Rural Area","706","0.102855934325343","0.0955505271548369","0.11016134149585"
"2 on scale 1-7 ","2013","Urban Area","2496","0.195478823351132","0.188442124327497","0.202515522374766"
"2 on scale 1-7 ","2013","Rural Area","1309","0.204981516128766","0.195273184146395","0.214689848111136"
"3 on scale 1-7 ","2013","Urban Area","2118","0.177841735838797","0.171056812655372","0.184626659022222"
"3 on scale 1-7 ","2013","Rural Area","1117","0.169299350772628","0.160280554499985","0.178318147045271"
"4 on scale 1-7","2013","Urban Area","2286","0.192272951824106","0.185280301884902","0.19926560176331"
"4 on scale 1-7","2013","Rural Area","1338","0.20308495988574","0.19341012531472","0.212759794456761"
"5 on scale 1-7","2013","Urban Area","2070","0.170538924856487","0.163865325310389","0.177212524402585"
"5 on scale 1-7","2013","Rural Area","1116","0.156152825533351","0.147423001712179","0.164882649354524"
"6 on scale 1-7","2013","Urban Area","1326","0.106309178307843","0.100839907761315","0.11177844885437"
"6 on scale 1-7","2013","Rural Area","775","0.117114519832795","0.10938137376","0.12484766590559"
"7 Strongly agree","2013","Urban Area","630","0.0522005737931583","0.0482537636414357","0.0561473839448808"
"7 Strongly agree","2013","Rural Area","281","0.0465108935213767","0.0414464251336665","0.0515753619090869"
"1 Strongly disagree","2014","Urban Area","","","",""
"1 Strongly disagree","2014","Rural Area","","","",""
"2 on scale 1-7 ","2014","Urban Area","","","",""
"2 on scale 1-7 ","2014","Rural Area","","","",""
"3 on scale 1-7 ","2014","Urban Area","","","",""
"3 on scale 1-7 ","2014","Rural Area","","","",""
"4 on scale 1-7","2014","Urban Area","","","",""
"4 on scale 1-7","2014","Rural Area","","","",""
"5 on scale 1-7","2014","Urban Area","","","",""
"5 on scale 1-7","2014","Rural Area","","","",""
"6 on scale 1-7","2014","Urban Area","","","",""
"6 on scale 1-7","2014","Rural Area","","","",""
"7 Strongly agree","2014","Urban Area","","","",""
"7 Strongly agree","2014","Rural Area","","","",""
"1 Strongly disagree","2015","Urban Area","","","",""
"1 Strongly disagree","2015","Rural Area","","","",""
"2 on scale 1-7 ","2015","Urban Area","","","",""
"2 on scale 1-7 ","2015","Rural Area","","","",""
"3 on scale 1-7 ","2015","Urban Area","","","",""
"3 on scale 1-7 ","2015","Rural Area","","","",""
"4 on scale 1-7","2015","Urban Area","","","",""
"4 on scale 1-7","2015","Rural Area","","","",""
"5 on scale 1-7","2015","Urban Area","","","",""
"5 on scale 1-7","2015","Rural Area","","","",""
"6 on scale 1-7","2015","Urban Area","","","",""
"6 on scale 1-7","2015","Rural Area","","","",""
"7 Strongly agree","2015","Urban Area","","","",""
"7 Strongly agree","2015","Rural Area","","","",""
"1 Strongly disagree","2016","Urban Area","","","",""
"1 Strongly disagree","2016","Rural Area","","","",""
"2 on scale 1-7 ","2016","Urban Area","","","",""
"2 on scale 1-7 ","2016","Rural Area","","","",""
"3 on scale 1-7 ","2016","Urban Area","","","",""
"3 on scale 1-7 ","2016","Rural Area","","","",""
"4 on scale 1-7","2016","Urban Area","","","",""
"4 on scale 1-7","2016","Rural Area","","","",""
"5 on scale 1-7","2016","Urban Area","","","",""
"5 on scale 1-7","2016","Rural Area","","","",""
"6 on scale 1-7","2016","Urban Area","","","",""
"6 on scale 1-7","2016","Rural Area","","","",""
"7 Strongly agree","2016","Urban Area","","","",""
"7 Strongly agree","2016","Rural Area","","","",""
"1 Strongly disagree","2017","Urban Area","2367","0.109370424703883","0.104940639815314","0.113800209592451"
"1 Strongly disagree","2017","Rural Area","1194","0.102101320099554","0.0962282583759966","0.107974381823111"
"2 on scale 1-7 ","2017","Urban Area","3767","0.197144065384003","0.19149736432205","0.202790766445956"
"2 on scale 1-7 ","2017","Rural Area","2012","0.193456127466133","0.185794157186792","0.201118097745473"
"3 on scale 1-7 ","2017","Urban Area","3294","0.181818460365742","0.17634416838182","0.187292752349664"
"3 on scale 1-7 ","2017","Rural Area","1716","0.175384625889224","0.16800801807877","0.182761233699677"
"4 on scale 1-7","2017","Urban Area","3516","0.188785808282694","0.183231415686077","0.194340200879311"
"4 on scale 1-7","2017","Rural Area","1912","0.188487272971679","0.180901079695491","0.196073466247867"
"5 on scale 1-7","2017","Urban Area","3109","0.16243738533572","0.157202155306377","0.167672615365063"
"5 on scale 1-7","2017","Rural Area","1780","0.186175615772804","0.178625354705837","0.193725876839771"
"6 on scale 1-7","2017","Urban Area","1999","0.111316219845003","0.10685208830107","0.115780351388935"
"6 on scale 1-7","2017","Rural Area","1092","0.10434368917673","0.0984139033334799","0.110273475019979"
"7 Strongly agree","2017","Urban Area","1017","0.0491276360829559","0.0460599693411615","0.0521953028247503"
"7 Strongly agree","2017","Rural Area","504","0.0500513486238769","0.0458218082279912","0.0542808890197626"
"1 Strongly disagree","2018","Urban Area","","","",""
"1 Strongly disagree","2018","Rural Area","","","",""
"2 on scale 1-7 ","2018","Urban Area","","","",""
"2 on scale 1-7 ","2018","Rural Area","","","",""
"3 on scale 1-7 ","2018","Urban Area","","","",""
"3 on scale 1-7 ","2018","Rural Area","","","",""
"4 on scale 1-7","2018","Urban Area","","","",""
"4 on scale 1-7","2018","Rural Area","","","",""
"5 on scale 1-7","2018","Urban Area","","","",""
