"plh0221","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","in school","","","",""
"1 Strongly disagree","2005","lower secondary degree","inadequately","","","",""
"1 Strongly disagree","2005","lower secondary degree","general elemantary","135","0.0916547902987612","0.0770335120018651","0.106276068595657"
"1 Strongly disagree","2005","lower secondary degree","middle vocational","619","0.133317936290075","0.123821700667356","0.142814171912794"
"1 Strongly disagree","2005","lower secondary degree","vocational + Abi","2","","",""
"1 Strongly disagree","2005","lower secondary degree","higher vocational","62","0.153209509607543","0.119893286031912","0.186525733183173"
"1 Strongly disagree","2005","lower secondary degree","higher education","25","","",""
"1 Strongly disagree","2005","secondary school degree","in school","","","",""
"1 Strongly disagree","2005","secondary school degree","inadequately","","","",""
"1 Strongly disagree","2005","secondary school degree","general elemantary","58","0.104324390302748","0.0793392110071045","0.129309569598391"
"1 Strongly disagree","2005","secondary school degree","middle vocational","430","0.108152945019083","0.0986301754365553","0.11767571460161"
"1 Strongly disagree","2005","secondary school degree","vocational + Abi","5","","",""
"1 Strongly disagree","2005","secondary school degree","higher vocational","82","0.109711950885833","0.0864263588441232","0.132997542927543"
"1 Strongly disagree","2005","secondary school degree","higher education","48","0.0677935783931438","0.0480214867307005","0.087565670055587"
"1 Strongly disagree","2005","college entrance qualification","in school","","","",""
"1 Strongly disagree","2005","college entrance qualification","inadequately","","","",""
"1 Strongly disagree","2005","college entrance qualification","general elemantary","","","",""
"1 Strongly disagree","2005","college entrance qualification","middle vocational","55","0.0634921691132368","0.0458153063058674","0.0811690319206063"
"1 Strongly disagree","2005","college entrance qualification","vocational + Abi","79","0.0880345990976532","0.0700262579648985","0.106042940230408"
"1 Strongly disagree","2005","college entrance qualification","higher vocational","44","0.115913047129196","0.0821824760829496","0.149643618175443"
"1 Strongly disagree","2005","college entrance qualification","higher education","340","0.117447898596222","0.10622083765338","0.128674959539064"
"1 Strongly disagree","2005","Other degree","in school","","","",""
"1 Strongly disagree","2005","Other degree","inadequately","7","","",""
"1 Strongly disagree","2005","Other degree","general elemantary","44","0.127635851346494","0.0915792003377718","0.163692502355216"
"1 Strongly disagree","2005","Other degree","middle vocational","52","0.12552313396158","0.0925569803799661","0.158489287543193"
"1 Strongly disagree","2005","Other degree","vocational + Abi","8","","",""
"1 Strongly disagree","2005","Other degree","higher vocational","8","","",""
"1 Strongly disagree","2005","Other degree","higher education","26","","",""
"1 Strongly disagree","2005","no degree/no degree yet","in school","58","0.100846293785036","0.0776969676695938","0.123995619900478"
