"plh0034","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Big worries","2009","16-34 y.","lower secondary degree","215","0.407464221367217","0.36723211139715","0.447696331337283"
"Big worries","2009","16-34 y.","secondary school degree","391","0.379380796766452","0.351238125617415","0.407523467915489"
"Big worries","2009","16-34 y.","college entrance qualification","504","0.374548346882787","0.34898416283551","0.400112530930063"
"Big worries","2009","16-34 y.","Other degree","37","0.451653926416198","0.351581010950129","0.551726841882268"
"Big worries","2009","16-34 y.","no degree/no degree yet","80","0.245057903495746","0.198509761823021","0.291606045168471"
"Big worries","2009","35-65 y.","lower secondary degree","1532","0.535479137159863","0.517191109903569","0.553767164416158"
"Big worries","2009","35-65 y.","secondary school degree","1794","0.502465332479246","0.486008606017746","0.518922058940747"
"Big worries","2009","35-65 y.","college entrance qualification","1461","0.537965417249851","0.519462583161252","0.55646825133845"
"Big worries","2009","35-65 y.","Other degree","241","0.437182560297076","0.394629771566301","0.479735349027851"
"Big worries","2009","35-65 y.","no degree/no degree yet","32","0.301314679413421","0.207557370853706","0.395071987973137"
"Big worries","2009","66 and older","lower secondary degree","1357","0.538604068272675","0.518956548793396","0.558251587751954"
"Big worries","2009","66 and older","secondary school degree","424","0.578647897128622","0.542378706287602","0.614917087969643"
"Big worries","2009","66 and older","college entrance qualification","421","0.606902529054373","0.571250023422561","0.642555034686184"
"Big worries","2009","66 and older","Other degree","79","0.489689469539189","0.41541302368716","0.563965915391218"
"Big worries","2009","66 and older","no degree/no degree yet","","","",""
"Some worries","2009","16-34 y.","lower secondary degree","270","0.449961741231306","0.409227932136108","0.490695550326503"
"Some worries","2009","16-34 y.","secondary school degree","592","0.494230706226455","0.465233501771932","0.523227910680977"
"Some worries","2009","16-34 y.","college entrance qualification","688","0.489159016295896","0.462756275104384","0.515561757487409"
"Some worries","2009","16-34 y.","Other degree","43","0.392268577822312","0.294086121129725","0.490451034514898"
"Some worries","2009","16-34 y.","no degree/no degree yet","169","0.548497294973394","0.494641977234694","0.602352612712095"
"Some worries","2009","35-65 y.","lower secondary degree","1139","0.388950790197703","0.371074458958824","0.406827121436582"
"Some worries","2009","35-65 y.","secondary school degree","1496","0.427345793673147","0.411063534260745","0.44362805308555"
"Some worries","2009","35-65 y.","college entrance qualification","1155","0.400989825813734","0.382800876608799","0.419178775018669"
"Some worries","2009","35-65 y.","Other degree","226","0.463126923960289","0.4203510721372","0.505902775783378"
"Some worries","2009","35-65 y.","no degree/no degree yet","43","0.548418068194428","0.446728048087056","0.6501080883018"
"Some worries","2009","66 and older","lower secondary degree","834","0.342459940845261","0.323757338943283","0.361162542747238"
"Some worries","2009","66 and older","secondary school degree","242","0.340775626080932","0.305961220488557","0.375590031673306"
"Some worries","2009","66 and older","college entrance qualification","256","0.322271936421655","0.288158973856016","0.356384898987294"
"Some worries","2009","66 and older","Other degree","69","0.371661090834505","0.299857858957337","0.443464322711673"
"Some worries","2009","66 and older","no degree/no degree yet","","","",""
"No worries","2009","16-34 y.","lower secondary degree","88","0.142574037401478","0.113946148778125","0.17120192602483"
"No worries","2009","16-34 y.","secondary school degree","159","0.126388497007093","0.107116443816619","0.145660550197568"
"No worries","2009","16-34 y.","college entrance qualification","185","0.136292636821317","0.118170866206814","0.154414407435819"
"No worries","2009","16-34 y.","Other degree","","","",""
"No worries","2009","16-34 y.","no degree/no degree yet","79","0.20644480153086","0.162642017402741","0.250247585658979"
"No worries","2009","35-65 y.","lower secondary degree","186","0.0755700726424336","0.0658782626977482","0.085261882587119"
"No worries","2009","35-65 y.","secondary school degree","256","0.0701888738476064","0.0617805344790435","0.0785972132161694"
"No worries","2009","35-65 y.","college entrance qualification","173","0.0610447569364149","0.0521594903209231","0.0699300235519067"
