"plh0034","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"Big worries","2009","Full Time","Urban Area","2259","0.490567850418474","0.476026227430101","0.505109473406847"
"Big worries","2009","Full Time","Rural Area","1193","0.515592984868347","0.495767541287623","0.535418428449072"
"Big worries","2009","Part Time","Urban Area","1244","0.440518416173988","0.422152955899962","0.458883876448013"
"Big worries","2009","Part Time","Rural Area","644","0.456171386786831","0.430081083920977","0.482261689652686"
"Big worries","2009","Not Working","Urban Area","2212","0.514036736934715","0.499272130642774","0.528801343226656"
"Big worries","2009","Not Working","Rural Area","1200","0.485834110021654","0.46572490720211","0.505943312841198"
"Some worries","2009","Full Time","Urban Area","1948","0.434711410624356","0.420291724930769","0.449131096317943"
"Some worries","2009","Full Time","Rural Area","1035","0.400471888281015","0.381033735333298","0.419910041228732"
"Some worries","2009","Part Time","Urban Area","1307","0.469549940990664","0.451087461287137","0.48801242069419"
"Some worries","2009","Part Time","Rural Area","610","0.437836887718825","0.411848973794235","0.463824801643414"
"Some worries","2009","Not Working","Urban Area","1696","0.362988653783854","0.348783590235289","0.377193717332418"
"Some worries","2009","Not Working","Rural Area","884","0.385518819736713","0.365935951268859","0.405101688204568"
"No worries","2009","Full Time","Urban Area","333","0.0747207389571701","0.0670722233403923","0.0823692545739479"
"No worries","2009","Full Time","Rural Area","213","0.0839351268506378","0.072934962041137","0.0949352916601387"
"No worries","2009","Part Time","Urban Area","256","0.0899316428353485","0.0793483660268025","0.100514919643895"
"No worries","2009","Part Time","Rural Area","146","0.105991725494344","0.0898670559314592","0.122116395057229"
"No worries","2009","Not Working","Urban Area","494","0.122974609281431","0.113273154115202","0.132676064447661"
"No worries","2009","Not Working","Rural Area","289","0.128647070241632","0.115176182410094","0.142117958073171"
"Big worries","2010","Full Time","Urban Area","1585","0.353940961844529","0.339494544909868","0.368387378779189"
"Big worries","2010","Full Time","Rural Area","818","0.358902571956049","0.339011563170699","0.378793580741398"
"Big worries","2010","Part Time","Urban Area","904","0.338093479635302","0.319996747237574","0.35619021203303"
"Big worries","2010","Part Time","Rural Area","471","0.391531304816651","0.364623583591204","0.418439026042098"
"Big worries","2010","Not Working","Urban Area","1713","0.425777118567241","0.410704307299509","0.440849929834973"
"Big worries","2010","Not Working","Rural Area","886","0.419368374140071","0.39849073369945","0.440246014580692"
"Some worries","2010","Full Time","Urban Area","2148","0.509044351770693","0.493941548336125","0.52414715520526"
"Some worries","2010","Full Time","Rural Area","1155","0.531134007028971","0.510440555777767","0.551827458280174"
"Some worries","2010","Part Time","Urban Area","1369","0.506595570243367","0.487469944494274","0.52572119599246"
