"plh0034","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Big worries","2009","Full Time","lower secondary degree","826","0.510972422443696","0.486394138983391","0.535550705904"
"Big worries","2009","Full Time","secondary school degree","1224","0.491596625266706","0.472275995976362","0.510917254557051"
"Big worries","2009","Full Time","college entrance qualification","1214","0.517764416795263","0.497613079560683","0.537915754029843"
"Big worries","2009","Full Time","Other degree","119","0.441230759078829","0.379182489652714","0.503279028504943"
"Big worries","2009","Full Time","no degree/no degree yet","12","","",""
"Big worries","2009","Part Time","lower secondary degree","530","0.496895287735256","0.467006693403907","0.526783882066605"
"Big worries","2009","Part Time","secondary school degree","641","0.430603531836273","0.40467516266069","0.456531901011857"
"Big worries","2009","Part Time","college entrance qualification","556","0.451333539692683","0.423965150252051","0.478701929133315"
"Big worries","2009","Part Time","Other degree","95","0.454477031472968","0.387608654916156","0.52134540802978"
"Big worries","2009","Part Time","no degree/no degree yet","23","","",""
"Big worries","2009","Not Working","lower secondary degree","1748","0.536979759016956","0.519807731996525","0.554151786037387"
"Big worries","2009","Not Working","secondary school degree","744","0.524026569423567","0.498114379785096","0.549938759062039"
"Big worries","2009","Not Working","college entrance qualification","616","0.49293089221202","0.465270851007399","0.52059093341664"
"Big worries","2009","Not Working","Other degree","143","0.449740878241678","0.396229780990561","0.503251975492795"
"Big worries","2009","Not Working","no degree/no degree yet","102","0.293744842665651","0.245890163343724","0.341599521987579"
"Some worries","2009","Full Time","lower secondary degree","667","0.423483172451448","0.39918854658311","0.447777798319786"
"Some worries","2009","Full Time","secondary school degree","1120","0.426348426721508","0.407235859066024","0.445460994376992"
"Some worries","2009","Full Time","college entrance qualification","991","0.414145289789945","0.394280705975117","0.434009873604774"
"Some worries","2009","Full Time","Other degree","97","0.431112415660662","0.369226897662595","0.49299793365873"
"Some worries","2009","Full Time","no degree/no degree yet","20","","",""
"Some worries","2009","Part Time","lower secondary degree","461","0.421524345850852","0.392005611453053","0.451043080248652"
"Some worries","2009","Part Time","secondary school degree","649","0.482442650948446","0.456277026072481","0.508608275824411"
"Some worries","2009","Part Time","college entrance qualification","584","0.446987491098566","0.419643532183953","0.47433145001318"
"Some worries","2009","Part Time","Other degree","102","0.492855402857457","0.425714998613419","0.559995807101495"
"Some worries","2009","Part Time","no degree/no degree yet","48","0.592409216750355","0.49307308480108","0.691745348699629"
"Some worries","2009","Not Working","lower secondary degree","1115","0.336351343948366","0.320080566295561","0.352622121601171"
"Some worries","2009","Not Working","secondary school degree","561","0.387933100471422","0.362650952434271","0.413215248508574"
"Some worries","2009","Not Working","college entrance qualification","524","0.396834256220412","0.369766694251249","0.423901818189574"
"Some worries","2009","Not Working","Other degree","139","0.398899354973268","0.346226808717804","0.451571901228732"
"Some worries","2009","Not Working","no degree/no degree yet","164","0.489079403767598","0.436559386373716","0.54159942116148"
"No worries","2009","Full Time","lower secondary degree","96","0.0655444051048563","0.0533760103626437","0.077712799847069"
"No worries","2009","Full Time","secondary school degree","228","0.0820549480117853","0.0714484176664361","0.0926614783571345"
"No worries","2009","Full Time","college entrance qualification","157","0.0680902934147915","0.0579316044173862","0.0782489824121969"
"No worries","2009","Full Time","Other degree","30","0.127656825260509","0.0859558472079208","0.169357803313098"
"No worries","2009","Full Time","no degree/no degree yet","3","","",""
"No worries","2009","Part Time","lower secondary degree","84","0.0815803664138915","0.0652175798928732","0.0979431529349098"
"No worries","2009","Part Time","secondary school degree","111","0.0869538172152806","0.0721994794304521","0.101708155000109"
"No worries","2009","Part Time","college entrance qualification","130","0.101678969208751","0.0850571872304342","0.118300751187067"
"No worries","2009","Part Time","Other degree","16","","",""
"No worries","2009","Part Time","no degree/no degree yet","23","","",""
"No worries","2009","Not Working","lower secondary degree","376","0.126668897034678","0.115214636024502","0.138123158044854"
"No worries","2009","Not Working","secondary school degree","122","0.0880403301050102","0.0733387250400637","0.102741935169957"
"No worries","2009","Not Working","college entrance qualification","115","0.110234851567569","0.0929078512129551","0.127561851922182"
"No worries","2009","Not Working","Other degree","50","0.151359766785054","0.112807840505682","0.189911693064426"
"No worries","2009","Not Working","no degree/no degree yet","82","0.217175753566751","0.173854973135587","0.260496533997914"
"Big worries","2010","Full Time","lower secondary degree","564","0.399295362709213","0.373650129726569","0.424940595691856"
"Big worries","2010","Full Time","secondary school degree","875","0.36037331243999","0.340949648970387","0.379796975909593"
"Big worries","2010","Full Time","college entrance qualification","835","0.332029033488239","0.312698337480367","0.351359729496111"
"Big worries","2010","Full Time","Other degree","78","0.333799440943683","0.269713653880646","0.397885228006721"
"Big worries","2010","Full Time","no degree/no degree yet","10","","",""
"Big worries","2010","Part Time","lower secondary degree","420","0.434801551159442","0.403572669252451","0.466030433066432"
"Big worries","2010","Part Time","secondary school degree","470","0.365642171805822","0.339768721029917","0.391515622581726"
"Big worries","2010","Part Time","college entrance qualification","376","0.3259357928625","0.299135112524937","0.352736473200063"
"Big worries","2010","Part Time","Other degree","57","0.248547350603562","0.186271795716433","0.310822905490691"
"Big worries","2010","Part Time","no degree/no degree yet","15","","",""
"Big worries","2010","Not Working","lower secondary degree","1264","0.437850893268236","0.419956983212679","0.455744803323792"
"Big worries","2010","Not Working","secondary school degree","622","0.466228986989728","0.439735649878886","0.492722324100569"
"Big worries","2010","Not Working","college entrance qualification","506","0.439152159059271","0.411096149910592","0.467208168207949"
"Big worries","2010","Not Working","Other degree","95","0.343953979598171","0.291412706828155","0.396495252368187"
"Big worries","2010","Not Working","no degree/no degree yet","75","0.250831897277987","0.20202201081681","0.299641783739164"
"Some worries","2010","Full Time","lower secondary degree","703","0.495407362469519","0.46922669549431","0.521588029444728"
"Some worries","2010","Full Time","secondary school degree","1179","0.508936605384691","0.488711435816738","0.529161774952645"
"Some worries","2010","Full Time","college entrance qualification","1221","0.544358730230859","0.523916193326703","0.564801267135015"
"Some worries","2010","Full Time","Other degree","98","0.482948810637459","0.415038808411442","0.550858812863476"
"Some worries","2010","Full Time","no degree/no degree yet","12","","",""
"Some worries","2010","Part Time","lower secondary degree","449","0.463407836642877","0.431994485991348","0.494821187294405"
"Some worries","2010","Part Time","secondary school degree","703","0.491963278964394","0.465105322892099","0.518821235036688"
"Some worries","2010","Part Time","college entrance qualification","624","0.51317011054094","0.484591016899852","0.541749204182029"
"Some worries","2010","Part Time","Other degree","101","0.603728338828596","0.533246128433145","0.674210549224046"
"Some worries","2010","Part Time","no degree/no degree yet","50","0.630788370623451","0.527586404091197","0.733990337155704"
"Some worries","2010","Not Working","lower secondary degree","1304","0.428907279870806","0.411056738644355","0.446757821097257"
"Some worries","2010","Not Working","secondary school degree","592","0.43655362338135","0.410214298990136","0.462892947772565"
"Some worries","2010","Not Working","college entrance qualification","569","0.443145632072604","0.415062864277889","0.471228399867319"
"Some worries","2010","Not Working","Other degree","143","0.468301581181475","0.413109246756195","0.523493915606756"
"Some worries","2010","Not Working","no degree/no degree yet","133","0.480226396827123","0.423971944491036","0.536480849163209"
"No worries","2010","Full Time","lower secondary degree","134","0.105297274821268","0.089225014087573","0.121369535554963"
"No worries","2010","Full Time","secondary school degree","293","0.130690082175318","0.117053668141464","0.144326496209173"
"No worries","2010","Full Time","college entrance qualification","224","0.123612236280902","0.110102105540034","0.137122367021771"
"No worries","2010","Full Time","Other degree","32","0.183251748418858","0.130676105305338","0.235827391532377"
"No worries","2010","Full Time","no degree/no degree yet","3","","",""
