"plh0034","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","2009","no migration background","in school","60","0.216288258224244","0.164522854840193","0.268053661608296"
"Big worries","2009","no migration background","inadequately","","","",""
"Big worries","2009","no migration background","general elemantary","559","0.481708968636564","0.45421759167076","0.509200345602368"
"Big worries","2009","no migration background","middle vocational","4039","0.494445052074771","0.483593148211423","0.50529695593812"
"Big worries","2009","no migration background","vocational + Abi","387","0.50742118232051","0.472690467689419","0.542151896951602"
"Big worries","2009","no migration background","higher vocational","663","0.555204805404659","0.527123200233378","0.583286410575941"
"Big worries","2009","no migration background","higher education","1962","0.543489899201057","0.527321735674637","0.559658062727477"
"Big worries","2009","direct migration background","in school","","","",""
"Big worries","2009","direct migration background","inadequately","35","0.421566950046799","0.320108733858876","0.523025166234722"
"Big worries","2009","direct migration background","general elemantary","156","0.451502536194815","0.399589294703371","0.503415777686258"
"Big worries","2009","direct migration background","middle vocational","267","0.428542206353825","0.389141803748452","0.467942608959198"
"Big worries","2009","direct migration background","vocational + Abi","80","0.506442663166355","0.430841687869845","0.582043638462864"
"Big worries","2009","direct migration background","higher vocational","52","0.537259051728589","0.436994567270226","0.637523536186952"
"Big worries","2009","direct migration background","higher education","134","0.445854020852318","0.3888421749936","0.502865866711036"
"Big worries","2009","indirect migration background","in school","","","",""
"Big worries","2009","indirect migration background","inadequately","","","",""
"Big worries","2009","indirect migration background","general elemantary","53","0.360256331513513","0.282116422851455","0.438396240175571"
"Big worries","2009","indirect migration background","middle vocational","119","0.450220243860349","0.39245953125009","0.507980956470607"
"Big worries","2009","indirect migration background","vocational + Abi","","","",""
"Big worries","2009","indirect migration background","higher vocational","","","",""
"Big worries","2009","indirect migration background","higher education","32","0.344351525037453","0.244506829327736","0.44419622074717"
"Some worries","2009","no migration background","in school","122","0.550621003108563","0.488078144687398","0.613163861529728"
"Some worries","2009","no migration background","inadequately","","","",""
"Some worries","2009","no migration background","general elemantary","521","0.374703755660323","0.348071729232554","0.401335782088092"
"Some worries","2009","no migration background","middle vocational","3361","0.411108762265629","0.400429072173864","0.421788452357395"
