"m11104","year","bula_h","migback","n","percent","lower_confidence","upper_confidence","value"
"Almost never or never","1984","Schleswig-Holstein","no migration background","189","0.575678805295737","0.52322120926968","0.628136401321794","1"
"Almost never or never","1984","Schleswig-Holstein","direct migration background","29","","","","1"
"Almost never or never","1984","Schleswig-Holstein","indirect migration background","2","","","","1"
"Almost never or never","1984","Hamburg","no migration background","125","0.61449066178658","0.54928034660485","0.679700976968309","1"
"Almost never or never","1984","Hamburg","direct migration background","66","0.656528220862334","0.558421430962066","0.754635010762602","1"
"Almost never or never","1984","Hamburg","indirect migration background","1","","","","1"
"Almost never or never","1984","Lower Saxony","no migration background","597","0.619395098264007","0.589376795691711","0.649413400836303","1"
"Almost never or never","1984","Lower Saxony","direct migration background","150","0.774877911624316","0.716702268780979","0.833053554467652","1"
"Almost never or never","1984","Lower Saxony","indirect migration background","2","","","","1"
"Almost never or never","1984","Bremen","no migration background","70","0.727655328485873","0.639518513668061","0.815792143303684","1"
"Almost never or never","1984","Bremen","direct migration background","28","","","","1"
"Almost never or never","1984","Bremen","indirect migration background","","","","","1"
"Almost never or never","1984","North Rhine-Westphalia","no migration background","1356","0.631998317997062","0.612004663159451","0.651991972834673","1"
"Almost never or never","1984","North Rhine-Westphalia","direct migration background","691","0.703453086753045","0.674348140839335","0.732558032666755","1"
"Almost never or never","1984","North Rhine-Westphalia","indirect migration background","20","","","","1"
"Almost never or never","1984","Hesse","no migration background","455","0.621931548631219","0.58747972020665","0.656383377055789","1"
"Almost never or never","1984","Hesse","direct migration background","338","0.770041917551521","0.731998398318734","0.808085436784307","1"
"Almost never or never","1984","Hesse","indirect migration background","4","","","","1"
"Almost never or never","1984","Rhineland-Palatinate,Saarland","no migration background","449","0.668099788822091","0.63301495083563","0.703184626808552","1"
"Almost never or never","1984","Rhineland-Palatinate,Saarland","direct migration background","109","0.714524212244377","0.642960066660091","0.786088357828663","1"
"Almost never or never","1984","Rhineland-Palatinate,Saarland","indirect migration background","3","","","","1"
"Almost never or never","1984","Baden-Württemberg","no migration background","848","0.658731812798","0.63320230901368","0.684261316582319","1"
"Almost never or never","1984","Baden-Württemberg","direct migration background","663","0.73243437075257","0.703169057727089","0.761699683778051","1"
"Almost never or never","1984","Baden-Württemberg","indirect migration background","14","","","","1"
"Almost never or never","1984","Bavaria","no migration background","920","0.605419105101718","0.581326806141608","0.629511404061827","1"
"Almost never or never","1984","Bavaria","direct migration background","319","0.663057830400344","0.619289248861425","0.706826411939264","1"
"Almost never or never","1984","Bavaria","indirect migration background","13","","","","1"
"Almost never or never","1984","Berlin","no migration background","164","0.611952573924295","0.555377263253167","0.668527884595423","1"
"Almost never or never","1984","Berlin","direct migration background","77","0.727968359151564","0.647333817369025","0.808602900934102","1"
"Almost never or never","1984","Berlin","indirect migration background","2","","","","1"
