"m11104","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1984","no migration background","in school","42","0.265898720697666","0.197008803632268","0.334788637763063"
"Almost never or never","1984","no migration background","inadequately","55","0.709669443682656","0.608283638482631","0.811055248882681"
"Almost never or never","1984","no migration background","general elemantary","1698","0.758258577248948","0.740765187009826","0.77575196748807"
"Almost never or never","1984","no migration background","middle vocational","2703","0.61292296177403","0.598779429567377","0.627066493980682"
"Almost never or never","1984","no migration background","vocational + Abi","84","0.470928404547139","0.399000585367177","0.542856223727101"
"Almost never or never","1984","no migration background","higher vocational","323","0.566000254273662","0.525974134159829","0.606026374387494"
"Almost never or never","1984","no migration background","higher education","263","0.422657631499877","0.384999528969063","0.460315734030691"
"Almost never or never","1984","direct migration background","in school","3","","",""
"Almost never or never","1984","direct migration background","inadequately","804","0.858828098175303","0.836413266645838","0.881242929704769"
"Almost never or never","1984","direct migration background","general elemantary","782","0.755038625267648","0.729124375092114","0.780952875443182"
"Almost never or never","1984","direct migration background","middle vocational","676","0.687205166490814","0.658766566442635","0.715643766538992"
"Almost never or never","1984","direct migration background","vocational + Abi","74","0.603550706766838","0.517453719682624","0.689647693851052"
"Almost never or never","1984","direct migration background","higher vocational","28","","",""
"Almost never or never","1984","direct migration background","higher education","65","0.579784573523401","0.491471135571095","0.668098011475706"
"Almost never or never","1984","indirect migration background","in school","3","","",""
"Almost never or never","1984","indirect migration background","inadequately","3","","",""
"Almost never or never","1984","indirect migration background","general elemantary","22","","",""
"Almost never or never","1984","indirect migration background","middle vocational","30","0.667227933710229","0.540369104816023","0.794086762604434"
"Almost never or never","1984","indirect migration background","vocational + Abi","","","",""
"Almost never or never","1984","indirect migration background","higher vocational","2","","",""
"Almost never or never","1984","indirect migration background","higher education","1","","",""
"Several times a year","1984","no migration background","in school","36","0.230599311820951","0.164920568246015","0.296278055395886"
"Several times a year","1984","no migration background","inadequately","12","","",""
"Several times a year","1984","no migration background","general elemantary","305","0.121267534844793","0.107929544698357","0.134605524991229"
"Several times a year","1984","no migration background","middle vocational","913","0.18867296264346","0.177312159297104","0.200033765989816"
"Several times a year","1984","no migration background","vocational + Abi","48","0.245896922559373","0.183845158838176","0.30794868628057"
"Several times a year","1984","no migration background","higher vocational","139","0.223714276857788","0.190059393213898","0.257369160501678"
"Several times a year","1984","no migration background","higher education","188","0.269578736180844","0.235750692583199","0.303406779778489"
"Several times a year","1984","direct migration background","in school","10","","",""
"Several times a year","1984","direct migration background","inadequately","83","0.0947024909613012","0.0758536526997655","0.113551329222837"
"Several times a year","1984","direct migration background","general elemantary","169","0.142532271467981","0.12146682091572","0.163597722020241"
"Several times a year","1984","direct migration background","middle vocational","204","0.169199243900539","0.146201625125601","0.192196862675478"
"Several times a year","1984","direct migration background","vocational + Abi","28","","",""
"Several times a year","1984","direct migration background","higher vocational","13","","",""
"Several times a year","1984","direct migration background","higher education","30","0.215494063838422","0.141928724823624","0.289059402853219"
"Several times a year","1984","indirect migration background","in school","2","","",""
"Several times a year","1984","indirect migration background","inadequately","1","","",""
"Several times a year","1984","indirect migration background","general elemantary","10","","",""
"Several times a year","1984","indirect migration background","middle vocational","7","","",""
"Several times a year","1984","indirect migration background","vocational + Abi","1","","",""
"Several times a year","1984","indirect migration background","higher vocational","1","","",""
"Several times a year","1984","indirect migration background","higher education","1","","",""
"At least once a month","1984","no migration background","in school","80","0.503501967481384","0.425540698519708","0.581463236443059"
"At least once a month","1984","no migration background","inadequately","10","","",""
"At least once a month","1984","no migration background","general elemantary","298","0.120473887906259","0.107173613124078","0.13377416268844"
"At least once a month","1984","no migration background","middle vocational","940","0.198404075582511","0.186824056419218","0.209984094745803"
"At least once a month","1984","no migration background","vocational + Abi","53","0.283174672893488","0.218252043389852","0.348097302397124"
"At least once a month","1984","no migration background","higher vocational","127","0.21028546886855","0.177375297794645","0.243195639942455"
"At least once a month","1984","no migration background","higher education","210","0.307763632319279","0.272576553266053","0.342950711372505"
"At least once a month","1984","direct migration background","in school","8","","",""
"At least once a month","1984","direct migration background","inadequately","40","0.0464694108633954","0.0329187922503268","0.060020029476464"
"At least once a month","1984","direct migration background","general elemantary","107","0.102429103264371","0.084158565779641","0.120699640749101"
