"ple0011","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2011","in school","Urban Area","233","0.983708515526745","0.967557284310619","0.999859746742871","2"
"No","2011","in school","Rural Area","76","0.996233454293385","0.982551286562166","1.0099156220246","2"
"No","2011","general elemantary","Urban Area","1232","0.855169292040231","0.836966951018058","0.873371633062405","2"
"No","2011","general elemantary","Rural Area","665","0.87806292983244","0.854676180009346","0.901449679655534","2"
"No","2011","vocational + Abi","Urban Area","826","0.94659010592943","0.931801288524102","0.961378923334759","2"
"No","2011","vocational + Abi","Rural Area","299","0.931885618842179","0.904324535316456","0.959446702367902","2"
"No","2011","inadequately","Rural Area","60","0.925023004480665","0.861487511119063","0.988558497842266","2"
"No","2011","middle vocational","Rural Area","3678","0.911549731654985","0.90278739560083","0.920312067709139","2"
"No","2011","higher vocational","Rural Area","526","0.897179442463982","0.872418691855377","0.921940193072586","2"
"No","2011","higher education","Urban Area","3014","0.917160584376518","0.907697186164095","0.926623982588942","2"
"No","2011","higher education","Rural Area","1226","0.907503032481661","0.89199625724827","0.923009807715052","2"
"No","2011","inadequately","Urban Area","149","0.868681268090654","0.817456096256429","0.91990643992488","2"
"No","2011","middle vocational","Urban Area","5899","0.8970596013435","0.889680086914581","0.904439115772419","2"
"No","2011","higher vocational","Urban Area","804","0.921704977593233","0.903915668516726","0.939494286669741","2"
"Yes","2011","in school","Urban Area","3","","","","1"
"Yes","2011","in school","Rural Area","1","","","","1"
"Yes","2011","inadequately","Urban Area","18","","","","1"
"Yes","2011","inadequately","Rural Area","6","","","","1"
"Yes","2011","general elemantary","Urban Area","204","0.144830707959769","0.126628366937595","0.163033048981942","1"
"Yes","2011","general elemantary","Rural Area","87","0.12193707016756","0.0985503203444658","0.145323819990654","1"
"Yes","2011","middle vocational","Urban Area","615","0.1029403986565","0.0955608842275813","0.110319913085419","1"
"Yes","2011","middle vocational","Rural Area","356","0.0884502683450155","0.0796879322908609","0.0972126043991701","1"
"Yes","2011","vocational + Abi","Urban Area","62","0.0534098940705695","0.038621076665241","0.0681987114758979","1"
"Yes","2011","vocational + Abi","Rural Area","22","","","","1"
"Yes","2011","higher vocational","Urban Area","72","0.0782950224067667","0.060505713330259","0.0960843314832743","1"
"Yes","2011","higher vocational","Rural Area","52","0.102820557536018","0.0780598069274135","0.127581308144623","1"
"Yes","2011","higher education","Urban Area","245","0.0828394156234817","0.0733760174110584","0.092302813835905","1"
"Yes","2011","higher education","Rural Area","115","0.0924969675183391","0.0769901922849482","0.10800374275173","1"
"No","2012","higher vocational","Urban Area","","","","","2"
"No","2012","higher vocational","Rural Area","","","","","2"
"No","2012","higher education","Urban Area","","","","","2"
"No","2012","in school","Urban Area","","","","","2"
"No","2012","in school","Rural Area","","","","","2"
"No","2012","general elemantary","Urban Area","","","","","2"
"No","2012","general elemantary","Rural Area","","","","","2"
"No","2012","vocational + Abi","Urban Area","","","","","2"
"No","2012","vocational + Abi","Rural Area","","","","","2"
"No","2012","higher education","Rural Area","","","","","2"
"No","2012","inadequately","Urban Area","","","","","2"
"No","2012","inadequately","Rural Area","","","","","2"
"No","2012","middle vocational","Urban Area","","","","","2"
"No","2012","middle vocational","Rural Area","","","","","2"
"Yes","2012","in school","Urban Area","","","","","1"
"Yes","2012","in school","Rural Area","","","","","1"
"Yes","2012","inadequately","Urban Area","","","","","1"
"Yes","2012","inadequately","Rural Area","","","","","1"
"Yes","2012","general elemantary","Urban Area","","","","","1"
"Yes","2012","general elemantary","Rural Area","","","","","1"
"Yes","2012","middle vocational","Urban Area","","","","","1"
"Yes","2012","middle vocational","Rural Area","","","","","1"
"Yes","2012","vocational + Abi","Urban Area","","","","","1"
"Yes","2012","vocational + Abi","Rural Area","","","","","1"
"Yes","2012","higher vocational","Urban Area","","","","","1"
"Yes","2012","higher vocational","Rural Area","","","","","1"
"Yes","2012","higher education","Urban Area","","","","","1"
"Yes","2012","higher education","Rural Area","","","","","1"
"No","2013","in school","Urban Area","183","0.99516453059961","0.985168467456843","1.00516059374238","2"
"No","2013","in school","Rural Area","73","0.93422345632785","0.878121453271528","0.990325459384171","2"
"No","2013","general elemantary","Urban Area","1074","0.856642573386793","0.837121769698843","0.876163377074742","2"
"No","2013","general elemantary","Rural Area","555","0.892323464191395","0.868080263137967","0.916566665244824","2"
"No","2013","vocational + Abi","Urban Area","727","0.882845162352921","0.860615009406981","0.90507531529886","2"
"No","2013","vocational + Abi","Rural Area","281","0.947912631732856","0.922726419436834","0.973098844028879","2"
"No","2013","higher vocational","Urban Area","732","0.901115579081876","0.88043049531907","0.921800662844683","2"
"No","2013","higher vocational","Rural Area","490","0.899237653141312","0.873682948527761","0.924792357754862","2"
"No","2013","higher education","Urban Area","2943","0.919037630149762","0.909574715943799","0.928500544355725","2"
"No","2013","higher education","Rural Area","1189","0.924653493370223","0.910227402122809","0.939079584617636","2"
