"ple0011","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2011","16-34 y.","(0) in school","4","","",""
"Yes","2011","16-34 y.","(1a) inadequately completed","2","","",""
"Yes","2011","16-34 y.","(1b) general elementary school","8","","",""
"Yes","2011","16-34 y.","(1c) basic vocational qualification","17","","",""
"Yes","2011","16-34 y.","(2b) intermediate general qualification","8","","",""
"Yes","2011","16-34 y.","(2a) intermediate vocational","29","","",""
"Yes","2011","16-34 y.","(2c_gen) general maturity certificate","14","","",""
"Yes","2011","16-34 y.","(2c_voc) vocational maturity certificate","16","","",""
"Yes","2011","16-34 y.","(3a) lower tertiary education","4","","",""
"Yes","2011","16-34 y.","(3b) higher tertiary education","15","","",""
"Yes","2011","35-65 y.","(0) in school","","","",""
"Yes","2011","35-65 y.","(1a) inadequately completed","20","","",""
"Yes","2011","35-65 y.","(1b) general elementary school","107","1","1","1"
"Yes","2011","35-65 y.","(1c) basic vocational qualification","324","1","1","1"
"Yes","2011","35-65 y.","(2b) intermediate general qualification","15","","",""
"Yes","2011","35-65 y.","(2a) intermediate vocational","289","1","1","1"
"Yes","2011","35-65 y.","(2c_gen) general maturity certificate","14","","",""
"Yes","2011","35-65 y.","(2c_voc) vocational maturity certificate","72","1","1","1"
"Yes","2011","35-65 y.","(3a) lower tertiary education","102","1","1","1"
"Yes","2011","35-65 y.","(3b) higher tertiary education","137","1","1","1"
"Yes","2011","66 and older","(0) in school","","","",""
"Yes","2011","66 and older","(1a) inadequately completed","12","","",""
"Yes","2011","66 and older","(1b) general elementary school","149","1","1","1"
"Yes","2011","66 and older","(1c) basic vocational qualification","281","1","1","1"
"Yes","2011","66 and older","(2b) intermediate general qualification","6","","",""
"Yes","2011","66 and older","(2a) intermediate vocational","82","1","1","1"
"Yes","2011","66 and older","(2c_gen) general maturity certificate","3","","",""
"Yes","2011","66 and older","(2c_voc) vocational maturity certificate","23","","",""
"Yes","2011","66 and older","(3a) lower tertiary education","46","1","1","1"
"Yes","2011","66 and older","(3b) higher tertiary education","56","1","1","1"
"Yes","2012","16-34 y.","(0) in school","","","",""
"Yes","2012","16-34 y.","(1a) inadequately completed","","","",""
"Yes","2012","16-34 y.","(1b) general elementary school","","","",""
"Yes","2012","16-34 y.","(1c) basic vocational qualification","","","",""
"Yes","2012","16-34 y.","(2b) intermediate general qualification","","","",""
"Yes","2012","16-34 y.","(2a) intermediate vocational","","","",""
"Yes","2012","16-34 y.","(2c_gen) general maturity certificate","","","",""
"Yes","2012","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","16-34 y.","(3a) lower tertiary education","","","",""
"Yes","2012","16-34 y.","(3b) higher tertiary education","","","",""
"Yes","2012","35-65 y.","(0) in school","","","",""
"Yes","2012","35-65 y.","(1a) inadequately completed","","","",""
"Yes","2012","35-65 y.","(1b) general elementary school","","","",""
"Yes","2012","35-65 y.","(1c) basic vocational qualification","","","",""
"Yes","2012","35-65 y.","(2b) intermediate general qualification","","","",""
"Yes","2012","35-65 y.","(2a) intermediate vocational","","","",""
"Yes","2012","35-65 y.","(2c_gen) general maturity certificate","","","",""
"Yes","2012","35-65 y.","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","35-65 y.","(3a) lower tertiary education","","","",""
"Yes","2012","35-65 y.","(3b) higher tertiary education","","","",""
"Yes","2012","66 and older","(0) in school","","","",""
"Yes","2012","66 and older","(1a) inadequately completed","","","",""
"Yes","2012","66 and older","(1b) general elementary school","","","",""
"Yes","2012","66 and older","(1c) basic vocational qualification","","","",""
"Yes","2012","66 and older","(2b) intermediate general qualification","","","",""
"Yes","2012","66 and older","(2a) intermediate vocational","","","",""
"Yes","2012","66 and older","(2c_gen) general maturity certificate","","","",""
"Yes","2012","66 and older","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","66 and older","(3a) lower tertiary education","","","",""
"Yes","2012","66 and older","(3b) higher tertiary education","","","",""
"Yes","2013","16-34 y.","(0) in school","4","","",""
"Yes","2013","16-34 y.","(1a) inadequately completed","2","","",""
"Yes","2013","16-34 y.","(1b) general elementary school","8","","",""
"Yes","2013","16-34 y.","(1c) basic vocational qualification","6","","",""
"Yes","2013","16-34 y.","(2b) intermediate general qualification","11","","",""
"Yes","2013","16-34 y.","(2a) intermediate vocational","23","","",""
"Yes","2013","16-34 y.","(2c_gen) general maturity certificate","11","","",""
"Yes","2013","16-34 y.","(2c_voc) vocational maturity certificate","11","","",""
"Yes","2013","16-34 y.","(3a) lower tertiary education","7","","",""
"Yes","2013","16-34 y.","(3b) higher tertiary education","11","","",""
"Yes","2013","35-65 y.","(0) in school","","","",""
"Yes","2013","35-65 y.","(1a) inadequately completed","22","","",""
"Yes","2013","35-65 y.","(1b) general elementary school","85","1","1","1"
"Yes","2013","35-65 y.","(1c) basic vocational qualification","298","1","1","1"
"Yes","2013","35-65 y.","(2b) intermediate general qualification","21","","",""
"Yes","2013","35-65 y.","(2a) intermediate vocational","301","1","1","1"
"Yes","2013","35-65 y.","(2c_gen) general maturity certificate","12","","",""
"Yes","2013","35-65 y.","(2c_voc) vocational maturity certificate","100","1","1","1"
"Yes","2013","35-65 y.","(3a) lower tertiary education","91","1","1","1"
"Yes","2013","35-65 y.","(3b) higher tertiary education","129","1","1","1"
"Yes","2013","66 and older","(0) in school","","","",""
"Yes","2013","66 and older","(1a) inadequately completed","9","","",""
"Yes","2013","66 and older","(1b) general elementary school","104","1","1","1"
"Yes","2013","66 and older","(1c) basic vocational qualification","234","1","1","1"
"Yes","2013","66 and older","(2b) intermediate general qualification","9","","",""
"Yes","2013","66 and older","(2a) intermediate vocational","89","1","1","1"
"Yes","2013","66 and older","(2c_gen) general maturity certificate","5","","",""
"Yes","2013","66 and older","(2c_voc) vocational maturity certificate","16","","",""
"Yes","2013","66 and older","(3a) lower tertiary education","50","1","1","1"
"Yes","2013","66 and older","(3b) higher tertiary education","58","1","1","1"
"Yes","2014","16-34 y.","(0) in school","","","",""
"Yes","2014","16-34 y.","(1a) inadequately completed","","","",""
"Yes","2014","16-34 y.","(1b) general elementary school","","","",""
"Yes","2014","16-34 y.","(1c) basic vocational qualification","","","",""
"Yes","2014","16-34 y.","(2b) intermediate general qualification","","","",""
"Yes","2014","16-34 y.","(2a) intermediate vocational","","","",""
"Yes","2014","16-34 y.","(2c_gen) general maturity certificate","","","",""
"Yes","2014","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
"Yes","2014","16-34 y.","(3a) lower tertiary education","","","",""
"Yes","2014","16-34 y.","(3b) higher tertiary education","","","",""
"Yes","2014","35-65 y.","(0) in school","","","",""
"Yes","2014","35-65 y.","(1a) inadequately completed","","","",""
"Yes","2014","35-65 y.","(1b) general elementary school","","","",""
"Yes","2014","35-65 y.","(1c) basic vocational qualification","","","",""
"Yes","2014","35-65 y.","(2b) intermediate general qualification","","","",""
"Yes","2014","35-65 y.","(2a) intermediate vocational","","","",""
"Yes","2014","35-65 y.","(2c_gen) general maturity certificate","","","",""
"Yes","2014","35-65 y.","(2c_voc) vocational maturity certificate","","","",""
"Yes","2014","35-65 y.","(3a) lower tertiary education","","","",""
"Yes","2014","35-65 y.","(3b) higher tertiary education","","","",""
"Yes","2014","66 and older","(0) in school","","","",""
"Yes","2014","66 and older","(1a) inadequately completed","","","",""
"Yes","2014","66 and older","(1b) general elementary school","","","",""
"Yes","2014","66 and older","(1c) basic vocational qualification","","","",""
"Yes","2014","66 and older","(2b) intermediate general qualification","","","",""
"Yes","2014","66 and older","(2a) intermediate vocational","","","",""
"Yes","2014","66 and older","(2c_gen) general maturity certificate","","","",""
"Yes","2014","66 and older","(2c_voc) vocational maturity certificate","","","",""
"Yes","2014","66 and older","(3a) lower tertiary education","","","",""
"Yes","2014","66 and older","(3b) higher tertiary education","","","",""
"Yes","2015","16-34 y.","(0) in school","6","","",""
"Yes","2015","16-34 y.","(1a) inadequately completed","9","","",""
"Yes","2015","16-34 y.","(1b) general elementary school","25","","",""
"Yes","2015","16-34 y.","(1c) basic vocational qualification","24","","",""
"Yes","2015","16-34 y.","(2b) intermediate general qualification","19","","",""
"Yes","2015","16-34 y.","(2a) intermediate vocational","44","1","1","1"
"Yes","2015","16-34 y.","(2c_gen) general maturity certificate","24","","",""
"Yes","2015","16-34 y.","(2c_voc) vocational maturity certificate","18","","",""
"Yes","2015","16-34 y.","(3a) lower tertiary education","4","","",""
"Yes","2015","16-34 y.","(3b) higher tertiary education","14","","",""
"Yes","2015","35-65 y.","(0) in school","","","",""
"Yes","2015","35-65 y.","(1a) inadequately completed","44","1","1","1"
"Yes","2015","35-65 y.","(1b) general elementary school","121","1","1","1"
"Yes","2015","35-65 y.","(1c) basic vocational qualification","325","1","1","1"
"Yes","2015","35-65 y.","(2b) intermediate general qualification","21","","",""
"Yes","2015","35-65 y.","(2a) intermediate vocational","392","1","1","1"
"Yes","2015","35-65 y.","(2c_gen) general maturity certificate","27","","",""
"Yes","2015","35-65 y.","(2c_voc) vocational maturity certificate","161","1","1","1"
"Yes","2015","35-65 y.","(3a) lower tertiary education","109","1","1","1"
"Yes","2015","35-65 y.","(3b) higher tertiary education","192","1","1","1"
"Yes","2015","66 and older","(0) in school","","","",""
"Yes","2015","66 and older","(1a) inadequately completed","14","","",""
"Yes","2015","66 and older","(1b) general elementary school","100","1","1","1"
"Yes","2015","66 and older","(1c) basic vocational qualification","216","1","1","1"
"Yes","2015","66 and older","(2b) intermediate general qualification","10","","",""
"Yes","2015","66 and older","(2a) intermediate vocational","91","1","1","1"
"Yes","2015","66 and older","(2c_gen) general maturity certificate","6","","",""
"Yes","2015","66 and older","(2c_voc) vocational maturity certificate","18","","",""
"Yes","2015","66 and older","(3a) lower tertiary education","48","1","1","1"
"Yes","2015","66 and older","(3b) higher tertiary education","62","1","1","1"
"Yes","2016","16-34 y.","(0) in school","","","",""
"Yes","2016","16-34 y.","(1a) inadequately completed","","","",""
"Yes","2016","16-34 y.","(1b) general elementary school","","","",""
"Yes","2016","16-34 y.","(1c) basic vocational qualification","","","",""
"Yes","2016","16-34 y.","(2b) intermediate general qualification","","","",""
"Yes","2016","16-34 y.","(2a) intermediate vocational","","","",""
"Yes","2016","16-34 y.","(2c_gen) general maturity certificate","","","",""
"Yes","2016","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
"Yes","2016","16-34 y.","(3a) lower tertiary education","","","",""
"Yes","2016","16-34 y.","(3b) higher tertiary education","","","",""
"Yes","2016","35-65 y.","(0) in school","","","",""
