"ple0011","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2011","Not Employed","in school","245","0.981758272120128","0.965136256406658","0.998380287833597","2"
"No","2011","Not Employed","inadequately","120","0.844862138893427","0.784676549926153","0.905047727860701","2"
"No","2011","Not Employed","vocational + Abi","243","0.915937444748073","0.883082025741636","0.94879286375451","2"
"No","2011","Not Employed","higher vocational","421","0.868458411573261","0.838063048170838","0.898853774975683","2"
"No","2011","Employed","inadequately","89","0.942130542178327","0.894928106131786","0.989332978224869","2"
"No","2011","Employed","general elemantary","848","0.928686237427475","0.911974943313637","0.945397531541313","2"
"No","2011","Not Employed","middle vocational","3724","0.862718044337861","0.852387300468111","0.873048788207611","2"
"No","2011","Employed","in school","64","1","1","1","2"
"No","2011","Employed","vocational + Abi","882","0.950878883433503","0.937026037565328","0.964731729301679","2"
"No","2011","Employed","higher vocational","909","0.93476654602753","0.91929821303304","0.950234879022019","2"
"No","2011","Employed","higher education","3042","0.92375143355253","0.914643926487555","0.932858940617505","2"
"No","2011","Not Employed","general elemantary","1049","0.815593370983299","0.794322868455534","0.836863873511064","2"
"No","2011","Not Employed","higher education","1198","0.891231843796214","0.874549146666839","0.907914540925589","2"
"No","2011","Employed","middle vocational","5853","0.928240660830164","0.92186001028993","0.934621311370399","2"
"Yes","2011","Not Employed","in school","4","","","","1"
"Yes","2011","Not Employed","inadequately","19","","","","1"
"Yes","2011","Not Employed","general elemantary","228","0.184406629016701","0.163136126488936","0.205677131544466","1"
"Yes","2011","Not Employed","middle vocational","539","0.137281955662139","0.126951211792389","0.147612699531889","1"
"Yes","2011","Not Employed","vocational + Abi","31","0.0840625552519267","0.0512071362454897","0.116917974258364","1"
"Yes","2011","Not Employed","higher vocational","54","0.131541588426739","0.101146225024316","0.161936951829162","1"
"Yes","2011","Not Employed","higher education","140","0.108768156203786","0.0920854590744113","0.125450853333161","1"
"Yes","2011","Employed","in school","","","","","1"
"Yes","2011","Employed","inadequately","5","","","","1"
